C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:15:33

dec >=0&rah >=7.25&rah< 7.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 6226

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
63  |HD 56098                                                                                                                                                                       |Star                              |07 27 11.1321725832 +79 18 48.333739824|134.9373568310490 +28.2755984798240|-13.039 -15.176   |8.93     |K2              |    ~     ~          |    1|  392.866   pc  |  -2.5621     +2.5621  |paral   |2020yCat.1350....0G
64  |BD+79 235                                                                                                                                                                      |Star                              |07 27 51.8559243840 +79 40 46.399437660|134.5202329767805 +28.2839817133119|  -8.366 -0.675   |10.46    |A2              |    ~     ~          |    1|  698.422   pc  | -10.2436    +10.2436  |paral   |2020yCat.1350....0G
65  |BD+79 236                                                                                                                                                                      |Double or Multiple Star           |07 26 59.45871 +79 00 40.6472          |135.28047970 +28.28351440          |     4.34 -7.05   |10.12    |G5              |    ~     ~          |    0|                |                       |        |                   
66  |TYC 4535-300-1                                                                                                                                                                 |Star                              |07 28 38.6118064056 +79 11 05.172559152|135.0785299099723 +28.3512869882863|  -1.956 -2.041   |10.22    |A0              |    ~     ~          |    1|  601.468   pc  |  -9.1164     +9.1164  |paral   |2020yCat.1350....0G
67  |HD 56840                                                                                                                                                                       |Star                              |07 29 28.1592566904 +78 52 50.864280348|135.4204859921654 +28.4098392675898| -6.606 -14.200   |8.82     |A0              |    ~     ~          |    1|  394.260   pc  |  -3.4352     +3.4352  |paral   |2020yCat.1350....0G
68  |BD+78 242                                                                                                                                                                      |Spectroscopic Binary              |07 15 29.3480602488 +78 30 32.718690216|135.8664373418679 +27.7371600245583|   -4.085 4.117   |10.16    |F2              |    ~     ~          |    1|  340.681   pc  |  -6.1862     +6.1862  |paral   |2020yCat.1350....0G
69  |TYC 4530-230-1                                                                                                                                                                 |Star                              |07 18 05.7915993912 +78 29 43.945697904|135.8808563320113 +27.8671714273664| -8.166 -11.298   |10.47    |F5              |    ~     ~          |    1|  255.617   pc  |  -3.7048     +3.7048  |paral   |2020yCat.1350....0G
70  |BD+78 244                                                                                                                                                                      |Star                              |07 21 56.5455057600 +78 36 20.555609940|135.7517551666201 +28.0557403986569|  11.508 10.176   |10.06    |F8              |    ~     ~          |    1|  157.721   pc  |  -0.3159     +0.3159  |paral   |2020yCat.1350....0G
71  |BD+78 249                                                                                                                                                                      |Star                              |07 25 25.7426118456 +78 40 19.290083628|135.6694164093766 +28.2248834100349| -15.495 -9.063   |9.47     |K0              |    ~     ~          |    1|  665.247   pc  |  -4.7796     +4.7796  |paral   |2020yCat.1350....0G
72  |HD 55967                                                                                                                                                                       |High Proper Motion Star           |07 25 26.2202635296 +78 15 14.387570388|136.1434442889055 +28.2431572993563|  7.819 -78.763   |7.23     |K0              |    ~     ~          |    1|  145.290   pc  |  -0.3209     +0.3209  |paral   |2020yCat.1350....0G
73  |HD 56195                                                                                                                                                                       |High Proper Motion Star           |07 26 12.9679664160 +78 02 42.351490932|136.3785379682689 +28.2917955731517| -1.558 -51.978   |7.50     |A0              |    ~     ~          |    1|  125.940   pc  |  -0.3426     +0.3426  |paral   |2020yCat.1350....0G
74  |BD+78 252                                                                                                                                                                      |Star                              |07 28 17.6693838072 +78 22 35.299937136|135.9966754006998 +28.3818512202111|  -2.134 -8.023   |9.78     |K2              |    ~     ~          |    1| 1042.209   pc  | -17.1620    +17.1620  |paral   |2020yCat.1350....0G
75  |TYC 4531-16-1                                                                                                                                                                  |Star                              |07 23 47.1323964312 +78 24 03.241318824|135.9804772356107 +28.1541093450841|   -6.402 1.631   |10.08    |~               |    ~     ~          |    1|  938.791   pc  |  -9.0777     +9.0777  |paral   |2020yCat.1350....0G
76  |TYC 4531-176-1                                                                                                                                                                 |Star                              |07 23 42.0464389272 +78 09 30.750187608|136.2553724916065 +28.1579996994254| -1.982 -20.375   |10.12    |~               |    ~     ~          |    1|  215.829   pc  |  -0.5031     +0.5031  |paral   |2020yCat.1350....0G
77  |TYC 4531-193-1                                                                                                                                                                 |Star                              |07 24 08.6084181888 +78 16 10.394395752|136.1286490342996 +28.1768229431282|   3.587 -4.937   |10.73    |~               |    ~     ~          |    1|  423.603   pc  |  -1.9379     +1.9379  |paral   |2020yCat.1350....0G
78  |TYC 4531-758-1                                                                                                                                                                 |Star                              |07 29 17.4803348160 +78 03 35.962972776|136.3527940129178 +28.4500296200717|   -2.283 3.933   |10.64    |~               |    ~     ~          |    1|  362.660   pc  |  -2.4200     +2.4200  |paral   |2020yCat.1350....0G
79  |TYC 4535-120-1                                                                                                                                                                 |Star                              |07 28 05.1104275728 +78 54 22.039078248|135.3963892686349 +28.3417565954343| -7.893 -17.722   |10.98    |~               |    ~     ~          |    1|  783.392   pc  |  -6.6280     +6.6280  |paral   |2020yCat.1350....0G
80  |TYC 4535-614-1                                                                                                                                                                 |Star                              |07 23 03.8442933288 +79 02 26.863334448|135.2568559361812 +28.0954670607755|  4.354 -25.608   |10.82    |~               |    ~     ~          |    1|  774.773   pc  |  -6.0628     +6.0628  |paral   |2020yCat.1350....0G
81  |TYC 4535-702-1                                                                                                                                                                 |Star                              |07 26 08.4974588136 +79 30 30.537465516|134.7193919661052 +28.2166158549385|   1.533 -9.438   |10.93    |~               |    ~     ~          |    1| 1027.221   pc  | -16.2498    +16.2498  |paral   |2020yCat.1350....0G
82  |TYC 4535-735-1                                                                                                                                                                 |Star                              |07 29 57.5736374688 +80 08 06.130846212|133.9967461099165 +28.3430895520527|    0.216 2.395   |10.70    |~               |    ~     ~          |    1| 1175.226   pc  | -17.4026    +17.4026  |paral   |2020yCat.1350....0G
83  |TYC 4535-786-1                                                                                                                                                                 |Star                              |07 29 35.0079291648 +79 55 34.530137832|134.2346804592478 +28.3427503283665|   -8.832 0.418   |10.98    |~               |    ~     ~          |    1|  297.956   pc  |  -1.1097     +1.1097  |paral   |2020yCat.1350....0G
84  |TYC 4535-803-1                                                                                                                                                                 |Star                              |07 25 51.4011736008 +80 08 39.955255656|133.9998835655109 +28.1672123474307|  -4.856 -6.949   |10.79    |~               |    ~     ~          |    1|  856.678   pc  |  -8.3664     +8.3664  |paral   |2020yCat.1350....0G
85  |TYC 4535-903-1                                                                                                                                                                 |Star                              |07 26 52.5391078872 +79 44 26.683534248|134.4540453300464 +28.2360801181703|  8.686 -35.325   |10.65    |~               |    ~     ~          |    1|  509.269   pc  |  -2.6714     +2.6714  |paral   |2020yCat.1350....0G
86  |TYC 4539-31-1                                                                                                                                                                  |Star                              |07 29 50.9093277624 +80 44 20.787763056|133.3132142499453 +28.2898715692831|   -2.676 0.839   |10.69    |~               |    ~     ~          |    1| 1457.089   pc  | -20.8065    +20.8065  |paral   |2020yCat.1350....0G
87  |TYC 4539-50-1                                                                                                                                                                  |Star                              |07 26 04.9019372976 +80 50 01.238006976|133.2191013035410 +28.1323942423061| -4.166 -15.641   |10.77    |~               |    ~     ~          |    1|  581.125   pc  |  -5.0656     +5.0656  |paral   |2020yCat.1350....0G
88  |NGC 2336                           NGC 2336                                                                                                                                    |Galaxy in Pair of Galaxies        |07 27 04.050 +80 10 41.05              |133.958094 +28.216713              |            ~ ~   |12.51    |~               | 5.89  3.24          |    1|   25.82    Mpc |  -2.09       +2.09    |T-F     |2020ApJ...902..145K
89  |BD+75 298                                                                                                                                                                      |High Proper Motion Star           |07 24 33.4285368912 +74 59 59.235884124|139.8383555754282 +28.2694118314801|   61.383 6.611   |10.15    |G5              |    ~     ~          |    1|  135.457   pc  |  -0.2661     +0.2661  |paral   |2020yCat.1350....0G
90  |BD+78 245                                                                                                                                                                      |Star                              |07 21 11.4320173248 +77 55 58.721658348|136.5148177450894 +28.0339377582960| 10.065 -10.230   |9.84     |F8              |    ~     ~          |    1|  185.598   pc  |  -0.4202     +0.4202  |paral   |2020yCat.1350....0G
91  |BD+78 243                                                                                                                                                                      |Star                              |07 19 45.0304044504 +77 46 24.241511964|136.6968809851595 +27.9607219089289|  4.081 -21.954   |8.54     |K0              |    ~     ~          |    1|  375.686   pc  |  -2.3994     +2.3994  |paral   |2020yCat.1350....0G
