C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST14:04:57

cat='M'
-------

Number of objects : 110

 # |                                                                                                                                       identifier                                                                                                                                       |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
---|----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
50 |M 61                               NGC 4303                           M 61                                                                                                                                                                                                              |Seyfert 2 Galaxy                    |12 21 54.9282582888 +04 28 25.597367184|284.3709132172433 +66.2758459242981|   -0.110 0.144   |9.65     |~              | 6.17  5.50    |    1|   16.5     Mpc |                         |redshift|2011MNRAS.413..813C
51 |M 85                               NGC 4382                           M 85                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |12 25 24.053 +18 11 27.89              |267.711985 +79.237220              |            ~ ~   |     ~   |~              | 7.76  6.03    |    1|   15.85    Mpc |                         |        |2016AJ....152...50T
52 |M 100                              NGC 4321                           M 100                                                                                                                                                                                                             |Active Galaxy Nucleus               |12 22 54.9299993592 +15 49 20.296257960|271.1368029341339 +76.8989325058207|    2.189 0.260   |9.35     |~              | 7.59  6.76    |    1|   14.26    Mpc |  -1.31       +1.31      |Cep     |2010ApJ...715..277B
53 |M 88                               NGC 4501                           M 88                                                                                                                                                                                                              |Seyfert 2 Galaxy                    |12 31 59.1525062448 +14 25 13.148971824|282.3285090311871 +76.5076990788288|            ~ ~   |13.18    |~              | 7.76  4.57    |    1|   14.32    Mpc |  -1.16       +1.16      |T-F     |2020ApJ...902..145K
54 |M 86                               NGC 4406                           NAME FAUST V051                    M 86                                                                                                                                                                           |Galaxy towards a Group of Galaxies  |12 26 11.814 +12 56 45.49              |279.083509 +74.636861              |            ~ ~   |8.90     |~              |10.47  7.59    |    1|   17.06    Mpc |                         |        |2016AJ....152...50T
55 |M 84                               NGC 4374                           M 84                                                                                                                                                                                                              |Seyfert 2 Galaxy                    |12 25 03.74333 +12 53 13.1393          |278.20446880 +74.47836102          |-0.08289 -0.05116 |10.49    |~              | 6.46  5.75    |    1|   15.075   Mpc |                         |        |2019MNRAS.490..718B
56 |M 87                               NGC 4486                           NAME M 87*                         NAME SMOKING GUN                   NAME Vir A                         NAME Virgo A                       NAME Virgo Galaxy                  M 87                               |Active Galaxy Nucleus               |12 30 49.42338414 +12 23 28.0436859    |283.77775499474 +74.49115452365    |  -8.029 10.734   |8.63     |~              | 9.12  7.94    |    1|   16.52    Mpc |                         |        |2016AJ....152...50T
57 |M 49                               NGC 4472                           M 49                                                                                                                                                                                                              |Seyfert 2 Galaxy                    |12 29 46.798 +08 00 01.48              |286.922259 +70.196055              |            ~ ~   |12.17    |~              |10.96  8.91    |    1|   16.5959  Mpc |                         |redshift|2019A&A...631A..38L
58 |M 91                               NGC 4548                           M 91                                                                                                                                                                                                              |LINER-type Active Galaxy Nucleus    |12 35 26.4446761320 +14 29 46.760333748|285.6931148428629 +76.8296241643731|            ~ ~   |13.57    |~              | 5.37  4.47    |    1|   14.79    Mpc |  -1.22       +1.22      |Cep     |2010ApJ...715..277B
59 |M 60                               NGC 4649                           M 60                                                                                                                                                                                                              |Galaxy in Pair of Galaxies          |12 43 39.9708251928 +11 33 09.688174056|295.8730179356188 +74.3178255249929|            ~ ~   |     ~   |~              | 7.94  6.61    |    1|   17.387   Mpc |                         |        |2019MNRAS.490..718B
60 |M 58                               NGC 4579                           NAME OKM2018 SWIFT J1237.5+1182    M 58                                                                                                                                                                           |Seyfert Galaxy                      |12 37 43.597 +11 49 05.12              |290.397997 +74.355216              |            ~ ~   |9.66     |~              | 5.62  4.37    |    1|   16.500   Mpc |  +0.600      +0.600     |Mem     |2010ApJS..190..233M
61 |M 90                               NGC 4569                           M 90                                                                                                                                                                                                              |Seyfert 2 Galaxy                    |12 36 49.8009839880 +13 09 46.523813040|288.4672049668234 +75.6228301778323|  -0.238 -0.395   |9.54     |~              | 9.77  4.37    |    1|    8.91    Mpc |  -0.72       +0.72      |T-F     |2020ApJ...902..145K
