C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:50:21

Vmag< 11&dec >=0&rah >=20.0&rah< 20.25
--------------------------------------

Number of objects : 10230

  #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |      spec. type       |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------------|---------------
144  |HD 228447                                                                                                |Star                           |20 13 45.9110488824 +39 54 18.530476344|076.9487074592216 +03.0103741108274|-15.208 -22.615    |10.03    |~                      |    ~     ~    
145  |HD 228481                                                                                                |Emission-line Star             |20 14 11.7429895800 +39 56 10.754399004|077.0203481734341 +02.9587275890756|  -2.055 -6.957    |10.52    |B5:                    |    ~     ~    
146  |HD 228489                                                                                                |Star                           |20 14 15.5321050920 +39 59 42.687483072|077.0761840848970 +02.9811519353664|   1.304 -1.023    |9.54     |B8                     |    ~     ~    
147  |HD 228518                                                                                                |Star                           |20 14 31.1336792808 +39 48 02.119494096|076.9413923563312 +02.8320372806137|   1.549 -2.329    |10.71    |~                      |    ~     ~    
148  |HD 228548                                                                                                |Emission-line Star             |20 14 57.3536634768 +39 57 54.083624796|077.1249701572620 +02.8532236096337|  -2.987 -6.252    |10.13    |B0pe                   |    ~     ~    
149  |BD+42 3644                                                                                               |Star                           |20 13 54.5872972176 +42 34 57.397424376|079.2038808123579 +04.4614457147524|  18.006 10.267    |10.96    |B5                     |    ~     ~    
150  |BD+42 3650                                                                                               |Star                           |20 14 44.6518764216 +42 31 05.806514136|079.2348587710774 +04.2977386623587| -7.345 -13.728    |10.28    |A3                     |    ~     ~    
151  |HD 228384                                                                                                |Star                           |20 13 07.4137237608 +41 18 11.870415648|078.0513732641944 +03.8811188065774| -2.062 -10.949    |10.33    |A2                     |    ~     ~    
152  |TYC 3154-232-1                                                                                           |Star                           |20 07 00.2818777800 +40 53 17.962867356|077.0752104243194 +04.6250849936862|   -3.384 0.221    |10.83    |~                      |    ~     ~    
153  |TYC 3154-238-1                                                                                           |Star                           |20 05 12.1837210080 +40 46 44.956863696|076.8002419452255 +04.8552150711360|   0.555 -3.786    |10.84    |~                      |    ~     ~    
154  |TYC 3154-1238-1                                                                                          |Star                           |20 08 07.9530672936 +41 11 42.319642308|077.4493944644105 +04.6100756805424|  -0.792 -6.803    |10.43    |~                      |    ~     ~    
