C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:50:29

Vmag< 11&dec >=0&rah >=14.25&rah< 14.5
--------------------------------------

Number of objects : 2331

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------
146 |HD 127242                                                             |High Proper Motion Star        |14 26 31.5478001856 +70 18 48.963415932|111.9135043444359 +44.7251554179446| -45.784 22.830    |9.49     |K0                  |    ~     ~    
147 |UCAC3 321-49559                                                       |Star                           |14 26 34.8783091368 +70 19 02.663604084|111.9105313524093 +44.7195100420750|  4.526 -24.497    |10.8     |~                   |    ~     ~    
148 |HD 126288                                                             |Star                           |14 21 09.5895369048 +69 39 20.441402784|112.0175861039843 +45.5240486259537|-29.074 -15.040    |9.64     |A5                  |    ~     ~    
149 |BD+70 783                                                             |Star                           |14 22 38.8035134520 +69 36 28.852829964|111.8232539710358 +45.5024495842426|   5.530 -2.205    |10.43    |F0                  |    ~     ~    
150 |BD+70 786                                                             |Star                           |14 26 20.7327762360 +69 37 36.245256312|111.4394864889459 +45.3249716568843|  -11.857 7.507    |10.08    |K0                  |    ~     ~    
151 |BD+70 789                                                             |Star                           |14 27 12.1416152616 +69 29 45.980507796|111.2528704621755 +45.3989057688272|   -8.558 2.400    |9.47     |G5                  |    ~     ~    
152 |HD 127455                                                             |Star                           |14 27 58.0835384040 +69 15 11.456606124|110.9913831029257 +45.5719665750322|    5.530 1.227    |7.68     |G0                  |    ~     ~    
153 |HD 127686                                                             |Double or Multiple Star        |14 29 04.6218091512 +69 16 46.490838240|110.8915734490443 +45.4981937761501|  -25.437 9.622    |8.42     |K5                  |    ~     ~    
154 |TYC 4406-66-1                                                         |Star                           |14 20 43.4350121424 +70 20 29.474345220|112.5325455030747 +44.9407322811327|  9.995 -12.220    |10.26    |~                   |    ~     ~    
155 |TYC 4406-122-1                                                        |High Proper Motion Star        |14 18 40.2770049744 +70 17 41.960349492|112.7168066524118 +45.0634520376329| -66.866 49.193    |10.65    |~                   |    ~     ~    
156 |TYC 4406-268-1                                                        |Star                           |14 16 36.2510541288 +70 05 51.722665872|112.8070445514588 +45.3194429033468| 10.597 -16.954    |10.95    |~                   |    ~     ~    
157 |TYC 4406-616-1                                                        |Star                           |14 22 26.2854208272 +70 05 47.923872036|112.1857258203349 +45.0852386277047| -2.146 -17.084    |10.59    |~                   |    ~     ~    
158 |TYC 4406-626-1                                                        |Star                           |14 15 17.7128281416 +70 04 12.424566072|112.9302662175328 +45.3948742629434|-20.608 -13.804    |10.40    |~                   |    ~     ~    
159 |TYC 4410-184-1                                                        |Star                           |14 27 09.5077183896 +69 27 04.417594344|111.2246812935552 +45.4393704900586|   -7.311 7.615    |10.59    |~                   |    ~     ~    
160 |TYC 4410-452-1                                                        |Star                           |14 26 02.5648629600 +69 57 01.168037172|111.7044453564180 +45.0593998644507|    1.557 3.766    |10.25    |~                   |    ~     ~    
161 |TYC 4410-545-1                                                        |Star                           |14 29 53.3675463168 +69 25 38.966442600|110.9156409121816 +45.3347291874265|  -44.666 6.390    |10.40    |~                   |    ~     ~    
162 |TYC 4410-584-1                                                        |Star                           |14 27 14.9413046136 +69 38 41.220443976|111.3565850325222 +45.2692676951943| -33.650 11.205    |9.88     |~                   |    ~     ~    
163 |TYC 4413-128-1                                                        |Star                           |14 29 41.7273503640 +70 08 27.984900156|111.4650561916851 +44.7357366447238| -21.053 10.361    |10.96    |~                   |    ~     ~    
164 |TYC 4413-168-1                                                        |Star                           |14 24 17.8388595552 +70 05 49.857600588|111.9911025171514 +45.0069472363084|   -6.488 0.950    |10.13    |~                   |    ~     ~    
165 |TYC 4413-819-1                                                        |Star                           |14 26 55.6473389136 +70 45 53.684820540|112.1921215336893 +44.3185349208778|-14.193 -15.474    |10.57    |~                   |    ~     ~    
166 |TYC 4413-1434-1                                                       |Star                           |14 25 08.1739381032 +70 20 02.602350384|112.0704196315013 +44.7661353413923|   3.649 -4.996    |10.69    |~                   |    ~     ~    
167 |BD+73 624                                                             |High Proper Motion Star        |14 17 25.1639778600 +72 55 13.340883864|114.5014990024383 +42.7720492291639| -69.394 60.151    |9.67     |F2                  |    ~     ~    
168 |BD+73 627                                                             |Star                           |14 23 52.7224185408 +72 30 58.164306372|113.6668972083963 +42.9097980008549| -13.173 -2.144    |10.44    |A5                  |    ~     ~    
169 |BD+72 637                                                             |Star                           |14 20 31.0737178008 +72 05 15.719853948|113.6994354261888 +43.4080371160252| 10.093 -21.385    |9.84     |M0                  |    ~     ~    
170 |BD+72 639                                                             |Star                           |14 21 40.5763735608 +71 49 42.459291732|113.4229404231703 +43.5951894635590|-19.980 -14.400    |10.06    |G5                  |    ~     ~    
171 |BD+72 641                                                             |Star                           |14 22 00.4649230632 +72 05 13.570460160|113.5597375843532 +43.3549814416634| -17.461 12.556    |10.32    |G0                  |    ~     ~    
172 |HD 127910                                                             |Star                           |14 29 49.5225560808 +72 15 31.195691964|112.9592457994087 +42.9129736312304|  2.584 -15.583    |8.42     |K5                  |    ~     ~    
173 |HD 125641                                                             |Star                           |14 17 11.0827772784 +71 30 40.189910940|113.6538453471702 +44.0397285375616|   -3.219 1.488    |9.06     |K0                  |    ~     ~    
174 |BD+72 638                                                             |Star                           |14 21 38.8249295208 +71 27 37.290284460|113.1848522896188 +43.9206638916703|   -3.178 9.300    |10.02    |F0                  |    ~     ~    
175 |BD+72 640                                                             |Star                           |14 22 04.9710362448 +71 27 48.356628768|113.1445672562911 +43.9015102669620| -35.965 23.122    |9.48     |F8                  |    ~     ~    
176 |BD+72 642                                                             |Star                           |14 25 19.8690000552 +71 32 23.205138792|112.8831086665054 +43.7101770136665|    1.073 8.442    |9.82     |G5                  |    ~     ~    
177 |TYC 4406-445-1                                                        |Star                           |14 23 07.0510626672 +71 28 25.089835980|113.0511763420607 +43.8532303213254|  6.246 -11.348    |10.81    |G5                  |    ~     ~    
178 |TYC 4406-207-1                                                        |Star                           |14 17 11.8382801616 +72 03 25.489487844|113.9934763696037 +43.5519487237087| -23.869 21.642    |10.77    |~                   |    ~     ~    
