C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:59:55

dec< 0&rah >=11.5&rah< 11.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5947

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------|-----|----------------|-------------------------|--------|-------------------
81  |BD-04 3086                                                                                               |Star                                  |11 32 09.7693163448 -04 48 04.901270724|268.9886392099715 +52.7658291319794|  1.630 -16.314   |10.39    |~                   |    ~     ~    |    1|  327.514   pc  |  -1.9415     +1.9415    |paral   |2020yCat.1350....0G
82  |BD-02 3366                                                                                               |Star                                  |11 32 26.8454822880 -03 33 45.156864600|268.0452642241140 +53.8713590816764| 23.767 -16.842   |10.56    |~                   |    ~     ~    |    1|  871.536   pc  | -65.9311    +65.9311    |paral   |2020yCat.1350....0G
83  |BD-03 3138                                                                                               |Star                                  |11 33 31.9563417048 -04 41 16.420746552|269.3865617667171 +53.0336485649256| 12.163 -20.969   |10.31    |~                   |    ~     ~    |    1|  484.943   pc  |  -3.9508     +3.9508    |paral   |2020yCat.1350....0G
84  |BD-02 3370                                                                                               |Star                                  |11 33 36.9286899936 -03 31 59.679295536|268.4468315429388 +54.0445030108334|  41.562 24.289   |10.274   |~                   |    ~     ~    |    1|  203.071   pc  |  -2.4650     +2.4650    |ST-L    |2020AJ....160...83S
85  |BD-02 3372                                                                                               |Star                                  |11 33 53.3208549360 -03 06 27.490789764|268.1785443096883 +54.4460213092207|  -13.401 7.161   |10.899   |~                   |    ~     ~    |    1|  278.248   pc  |  -4.6900     +4.6900    |ST-L    |2020AJ....160...83S
86  |BD-03 3142                                                                                               |Eclipsing Binary                      |11 34 50.4668583672 -03 55 23.582553024|269.2281460257228 +53.8596257010325| -11.222 -2.126   |10.92    |~                   |    ~     ~    |    1|  103.633   pc  |  -0.7561     +0.7561    |paral   |2020yCat.1350....0G
87  |BD-03 3143                                                                                               |High Proper Motion Star               |11 34 52.3306112232 -04 38 45.818842920|269.8371839644692 +53.2338288110356| 49.784 -12.739   |10.45    |~                   |    ~     ~    |    1|  184.086   pc  |  -2.4960     +2.4960    |ST-L    |2020AJ....160...83S
88  |BD-03 3146                                                                                               |High Proper Motion Star               |11 35 13.7122847664 -04 00 52.632185112|269.4470477649683 +53.8278304930563| 58.526 -82.565   |10.413   |~                   |    ~     ~    |    1|  114.770   pc  |  -1.2230     +1.2230    |ST-L    |2020AJ....160...83S
89  |BD-04 3102                                                                                               |Star                                  |11 35 36.9573359760 -05 13 12.630731160|270.5679413243324 +52.8205851068423|  -25.317 9.164   |10.448   |~                   |    ~     ~    |    1|  198.610   pc  |  -3.1680     +3.1680    |ST-L    |2020AJ....160...83S
90  |BD-03 3148                                                                                               |High Proper Motion Star               |11 35 52.7645058096 -04 01 03.546848928|269.6894271340267 +53.9048309550849|-106.846 74.582   |10.33    |~                   |    ~     ~    |    1|   84.148   pc  |  -0.4367     +0.4367    |ST-L    |2020AJ....160...83S
91  |BD-03 3149                                                                                               |Variable Star                         |11 36 06.3800687616 -04 07 32.905276860|269.8627162942239 +53.8380414391797| -15.119 -7.688   |9.73     |~                   |    ~     ~    |    1|  577.234   pc  |  -5.7310     +5.7310    |paral   |2020yCat.1350....0G
92  |BD-04 3104                                                                                               |Star                                  |11 36 26.1808099944 -04 59 21.275655288|270.6828564996397 +53.1210388036948|  -20.040 2.015   |9.77     |~                   |    ~     ~    |    1|  951.656   pc  | -16.8451    +16.8451    |paral   |2020yCat.1350....0G
