C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
137 |TYC 7891-1815-1                                                                                          |Star                           |17 22 01.7783640120 -42 11 27.454236792|346.2697478828435 -03.1799499788433| -0.092 -19.445    |10.6     |~                   |    ~     ~          
138 |[SC96] Mis 382                                                                                           |Star                           |17 18 48.0 -42 55 00                   |345.3331 -03.1044                  |            ~ ~    |5.38     |~                   |    ~     ~          
139 |HD 327288                                                                                                |Star                           |17 18 33.5966211408 -42 07 53.417668584|345.9516285555109 -02.6177920282467|     -7.4 -16.5    |9.959    |K0                  |    ~     ~          
140 |HD 327324                                                                                                |Star                           |17 19 11.2203076248 -42 57 46.675634256|345.3357041702200 -03.1889994199813|  -0.850 -3.063    |9.98     |K0                  |    ~     ~          
141 |HD 327323                                                                                                |Star                           |17 19 25.9893379296 -42 55 40.641355560|345.3902699388691 -03.2059293160236|  -0.738 -1.117    |9.41     |K2                  |    ~     ~          
142 |CD-42 12029                                                                                              |Star                           |17 19 33.3668927304 -42 45 02.790354240|345.5487846213002 -03.1231598348045|   0.403 -9.292    |9.95     |~                   |    ~     ~          
143 |HD 329803                                                                                                |Star                           |17 20 13.3055380200 -44 13 09.819394788|344.4088349324727 -04.0596749635047| -9.902 -13.490    |10.17    |K5                  |    ~     ~          
144 |CD-44 11618                                                                                              |Star                           |17 21 11.2134682056 -44 32 10.340205036|344.2454015966475 -04.3814579822161|  -0.778 -7.107    |10.41    |~                   |    ~     ~          
145 |HD 329796                                                                                                |Star                           |17 21 12.5204199648 -44 29 22.685790120|344.2861058481211 -04.3582914145454|   -2.348 0.371    |10.24    |G5                  |    ~     ~          
146 |CD-42 12057                                                                                              |Star                           |17 21 14.7430603848 -42 53 58.544898216|345.6029421629613 -03.4625725989999|  -1.663 -6.533    |10.21    |~                   |    ~     ~          
147 |CD-43 11611                                                                                              |Star                           |17 21 15.7503290952 -43 12 23.848374852|345.3513452017213 -03.6392584720239|  -1.813 -3.496    |10.42    |~                   |    ~     ~          
148 |CD-42 12059                                                                                              |Star                           |17 21 20.2930365576 -42 25 24.289107024|346.0053708359973 -03.2063735337994|   6.910 -5.325    |9.21     |~                   |    ~     ~          
149 |CD-44 11624                                                                                              |Star                           |17 21 20.5188564456 -44 28 22.831333896|344.3133501947697 -04.3684828950844| -6.272 -19.372    |10.29    |~                   |    ~     ~          
150 |CD-42 12064                                                                                              |Star                           |17 21 37.3927500432 -43 00 17.204761584|345.5553609177904 -03.5791030066814|-16.856 -21.849    |10.36    |~                   |    ~     ~          
151 |CD-42 12094                                                                                              |Star                           |17 23 27.8384310768 -42 43 20.293402764|345.9797682324559 -03.6981499046255|  -3.987 -7.106    |10.34    |~                   |    ~     ~          
152 |CD-43 11670                                                                                              |Star                           |17 25 11.0693865960 -43 32 23.141509332|345.4769636977105 -04.4159406546203|  -1.138 -3.439    |10.09    |~                   |    ~     ~          
153 |CD-42 12116                                                                                              |Star                           |17 25 21.8102635464 -42 31 56.664994908|346.3335653054410 -03.8812327474962| -5.474 -12.122    |9.57     |~                   |    ~     ~          
