C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:16:32

Vmag< 11&dec< 0&rah >=17.25&rah< 17.5
-------------------------------------

Number of objects : 7045

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |      ang. size      
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------------
88  |HD 157130                                                                                                |Star                           |17 23 34.6642883808 -43 50 23.415507348|345.0645557286580 -04.3429937303346| -9.482 -15.367    |9.45     |M1                  |    ~     ~          
89  |CD-43 11651                                                                                              |Star                           |17 24 05.4996881976 -43 16 22.425235500|345.5876153350264 -04.1021941278848|   6.407 10.297    |10.12    |F2                  |    ~     ~          
90  |HD 157242                                                                                                |Star                           |17 24 18.3578982792 -43 59 39.031369908|345.0099967810632 -04.5380832644508| -1.733 -10.855    |8.36     |A8/9V               |    ~     ~          
91  |CD-43 11666                                                                                              |Star                           |17 25 01.8855606072 -44 01 42.070842120|345.0546101419818 -04.6653811769603|   0.936 -2.980    |9.55     |K2                  |    ~     ~          
92  |HD 157402                                                                                                |Star                           |17 25 03.5481174696 -43 12 00.188700336|345.7469649234176 -04.2075354066046|   0.060 -3.373    |9.76     |B9IV/V              |    ~     ~          
93  |HD 157452                                                                                                |Star                           |17 25 25.8363898128 -43 36 36.007483824|345.4433733410232 -04.4920936117643|   2.254 -3.470    |9.57     |B3II/III            |    ~     ~          
94  |CD-43 11677                                                                                              |Star                           |17 25 40.3414840896 -43 42 40.586820840|345.3833789917982 -04.5847810678923|    1.739 0.805    |10.55    |B3                  |    ~     ~          
95  |V* V638 Sco                                                                                              |Eclipsing Binary               |17 24 07.2533075400 -43 02 03.499918548|345.7887039649914 -03.9728974735795|  -4.318 -7.460    |10.94    |A                   |    ~     ~          
96  |V* SW Sco                                                                                                |Mira Variable                  |17 25 21.7122279144 -43 49 56.126159832|345.2512435532468 -04.6055393724783| -15.265 -5.656    |9.92     |M4e                 |    ~     ~          
97  |HD 156622                                                                                                |Star                           |17 20 38.2434347208 -43 19 12.670871772|345.1929300004224 -03.6100608454126| -6.795 -33.396    |9.04     |A8V                 |    ~     ~          
98  |HD 323483                                                                                                |Star                           |17 24 28.4287462152 -42 09 34.405465716|346.5512137616424 -03.5364596173244| -10.437 -2.218    |10.12    |K                   |    ~     ~          
99  |HD 323282                                                                                                |Star                           |17 21 50.6794075896 -42 18 02.925589392|346.1596449688594 -03.2139314307092|    1.583 0.524    |10.31    |B9                  |    ~     ~          
100 |HD 156293                                                                                                |Star                           |17 18 47.8284399264 -44 07 47.087356152|344.3365540227678 -03.7987405357654|-12.565 -16.291    |5.736    |B9V                 |    ~     ~          
