C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:06:03

Vmag< 11&dec >=0&rah >=4.5&rah< 4.75
------------------------------------

Number of objects : 3770

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |   spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|-----------------|---------------
145 |TYC 3350-877-1                                                                                           |Star                           |04 36 53.0864591256 +49 12 56.899654200|155.8868432861063 +01.3306219050267| -8.311 -35.188    |10.14    |~                |    ~     ~    
146 |TYC 3354-537-1                                                                                           |Star                           |04 32 18.0506512776 +50 45 58.081715424|154.2462471775179 +01.8372476527888|  9.943 -20.312    |10.70    |~                |    ~     ~    
147 |GSC 03354-00610                                                                                          |Double or Multiple Star        |04 31 23.7174220392 +51 07 30.628619616|153.8863901615067 +01.9783218831583|   6.839 -3.811    |10.549   |~                |    ~     ~    
148 |TYC 3354-634-1                                                                                           |Star                           |04 30 20.2242330168 +51 07 16.331331180|153.7754111706048 +01.8546896693396|  -5.356 -3.818    |10.80    |~                |    ~     ~    
149 |BD+47 998                                                                                                |Star                           |04 30 28.3841458872 +47 38 50.309538720|156.3158928297085 -00.5151606609424| 19.294 -26.503    |10.13    |F2               |    ~     ~    
150 |BD+46 891                                                                                                |Star                           |04 31 16.8337337976 +47 17 46.733368308|156.6649488801153 -00.6565438805194|    1.611 3.097    |9.34     |F8               |    ~     ~    
151 |BD+46 892                                                                                                |Double or Multiple Star        |04 32 01.646208 +47 14 47.92200        |156.787841013 -00.598083488        |      -4.3 -1.6    |10.276   |A2               |    ~     ~    
152 |BD+46 893                                                                                                |Double or Multiple Star        |04 32 06.3643537560 +46 59 02.303120472|156.9888698963498 -00.7676967876908|  -0.272 -3.819    |8.63     |K5               |0.0017  0.0    
153 |BD+46 894                                                                                                |Star                           |04 32 32.4579368448 +47 11 26.896105176|156.8881689200286 -00.5724533294679| 17.854 -23.865    |9.90     |A2               |    ~     ~    
154 |BD+45 951                                                                                                |Star                           |04 33 11.0463706320 +46 11 49.485545232|157.6910533450991 -01.1684244686270|    2.042 0.660    |8.98     |F2               |    ~     ~    
155 |BD+45 954                                                                                                |Star                           |04 33 45.4175456976 +45 56 24.944407872|157.9470508561672 -01.2700237106725| 13.920 -21.373    |10.43    |A2               |    ~     ~    
156 |HD 28772                                                                                                 |High Proper Motion Star        |04 34 16.5897525624 +45 54 48.539645928|158.0280187544717 -01.2217897741286| 39.047 -54.485    |7.43     |F5               |    ~     ~    
157 |BD+45 964                                                                                                |Spectroscopic Binary           |04 36 23.5265771352 +46 05 08.606188788|158.1490098888914 -00.8344632523229| -16.223 -4.279    |9.75     |G0               |    ~     ~    
158 |BD+47 997                                                                                                |Star                           |04 30 28.7199543384 +48 06 53.888578452|155.9765871343016 -00.1933161418469|    2.899 4.604    |8.89     |K0               |    ~     ~    
