C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
78  |HD 23745                                                              |Star                           |03 47 26.9711319672 -04 36 03.944005920|192.6760486816069 -42.4298932206278|  1.366 -15.640   |9.35     |F0V                 |    ~     ~    
79  |BD-05 740                                                             |Star                           |03 46 09.0316257024 -04 39 44.433525492|192.5052832795223 -42.7343851765958| -4.156 -12.360   |10.05    |~                   |    ~     ~    
80  |BD-05 742                                                             |Star                           |03 46 27.3400575312 -04 36 24.435565164|192.4986872529300 -42.6403411619159|    4.007 5.347   |10.84    |~                   |    ~     ~    
81  |HD 24156                                                              |High Proper Motion Star        |03 50 41.6162862432 -04 37 20.309146428|193.2923400259720 -41.7629298418391|33.121 -237.194   |8.15     |G5/6V               |    ~     ~    
82  |BD-05 770                                                             |High Proper Motion Star        |03 53 13.4737298232 -04 42 23.936032944|193.8410779619026 -41.2771024753079| 20.275 -88.605   |10.62    |~                   |    ~     ~    
83  |HD 23736                                                              |Star                           |03 47 16.5067210104 -03 17 37.473073260|191.1764637194914 -41.7424314468562|   8.854 -1.191   |8.51     |K3/4III             |    ~     ~    
84  |HD 23704                                                              |High Proper Motion Star        |03 47 09.3558950544 -03 34 12.153229140|191.4615099558307 -41.9216447824167| 32.169 -78.016   |10.05    |G5V                 |    ~     ~    
85  |BD-03 608                                                             |Star                           |03 45 25.9783240200 -03 20 18.747864024|190.8788725833797 -42.1478908946928| 28.815 -10.733   |10.87    |~                   |    ~     ~    
86  |BD-04 661                                                             |Star                           |03 45 31.9983214248 -03 52 34.878056556|191.5000202699830 -42.4284739081215|   14.901 2.968   |10.405   |~                   |    ~     ~    
87  |BD-04 662                                                             |Star                           |03 45 55.6367278800 -03 52 30.541140768|191.5727639291316 -42.3461860564067|-17.300 -27.522   |10.577   |~                   |    ~     ~    
88  |BD-03 610                                                             |Star                           |03 46 07.8956232864 -03 01 11.963018964|190.6575118875086 -41.8241430273803|  -8.892 -1.475   |10.56    |~                   |    ~     ~    
89  |BD-03 609                                                             |Star                           |03 46 08.6921528424 -02 33 23.011168248|190.1490616751470 -41.5581022849093|   23.503 8.676   |10.759   |~                   |    ~     ~    
90  |BD-04 663                                                             |High Proper Motion Star        |03 46 44.3137454808 -03 55 07.714800372|191.7738000231617 -42.2022245516086|-68.781 -56.525   |10.47    |~                   |    ~     ~    
91  |BD-03 611                                                             |Star                           |03 47 14.5230216264 -02 58 05.154502152|190.8099112118493 -41.5660681406127|   -2.924 3.007   |10.37    |~                   |    ~     ~    
92  |BD-04 665                                                             |Star                           |03 47 15.7942395048 -04 04 57.329641956|192.0556680073533 -42.1839154813673| -2.365 -10.004   |10.61    |~                   |    ~     ~    
93  |BD-03 613                                                             |Star                           |03 47 17.2887787560 -03 21 02.447724708|191.2421194763647 -41.7716486772595|   4.743 -3.559   |10.07    |~                   |    ~     ~    
94  |BD-04 660                                                             |Star                           |03 45 26.2983763800 -04 16 31.917695916|191.9328654172997 -42.6697679277634|   2.917 -9.547   |10.984   |~                   |    ~     ~    
95  |TYC 4720-1100-1                                                       |Star                           |03 46 24.0323232000 -04 08 38.428436904|191.9641710841638 -42.3971455609765|  10.224 -3.826   |10.95    |~                   |    ~     ~    
96  |HD 23915                                                              |Star                           |03 48 44.9841099000 -02 25 43.121447760|190.5016757139921 -40.9503782746505|   16.011 7.090   |7.90     |K0III               |    ~     ~    
