C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:01:59

Vmag< 11&dec< 0&rah >=3.75&rah< 4.0
-----------------------------------

Number of objects : 2900

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type     |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|--------------------|---------------
133 |BD-04 678                                                             |Star                           |03 51 14.9314092072 -04 01 31.535158836|192.7237654775865 -41.3220993295377|  -4.599 23.617   |10.67    |~                   |    ~     ~    
134 |BD-04 679                                                             |Spectroscopic Binary           |03 51 25.4071850928 -03 49 43.819842216|192.5367213703302 -41.1779915891351|   56.254 6.380   |10.265   |~                   |    ~     ~    
135 |BD-02 743                                                             |Star                           |03 52 47.0345180544 -02 27 08.174928708|191.2753754893463 -40.1317264148426| -4.341 -18.886   |10.75    |~                   |    ~     ~    
136 |BD-03 627                                                             |Star                           |03 53 01.9136631816 -03 28 51.257727624|192.4436514109197 -40.6515442905748|  3.365 -11.755   |10.550   |~                   |    ~     ~    
137 |BD-04 685                                                             |Star                           |03 53 32.2396752000 -03 35 20.749187400|192.6540293057406 -40.6055210241327|   9.840 -4.436   |9.86     |~                   |    ~     ~    
138 |BD-04 687                                                             |Star                           |03 54 16.6729286376 -04 17 21.870834252|193.5619846257054 -40.8313309030265|   4.035 -6.402   |10.48    |~                   |    ~     ~    
139 |BD-03 633                                                             |Star                           |03 54 24.0764336928 -02 50 36.406369716|191.9940454666735 -40.0145714676776| -6.530 -16.714   |10.98    |~                   |    ~     ~    
140 |BD-04 688                                                             |Star                           |03 54 31.7184488088 -04 05 25.149485184|193.3854584320203 -40.6711356343556| -31.506 33.271   |10.66    |~                   |    ~     ~    
141 |BD-02 753                                                             |Star                           |03 55 08.2492335768 -02 29 56.128229952|191.7540005818953 -39.6702928000141|    2.488 4.372   |10.31    |~                   |    ~     ~    
142 |BD-04 693                                                             |Star                           |03 55 22.9473699312 -04 28 25.151246796|193.9625681028840 -40.6982722230767|   -0.549 6.744   |10.71    |~                   |    ~     ~    
143 |BD-05 777                                                             |Star                           |03 56 03.0941169936 -04 35 53.052423000|194.2187247132894 -40.6239186058281|   3.408 -1.840   |10.72    |~                   |    ~     ~    
144 |BD-04 673                                                             |Star                           |03 49 47.0836650384 -04 30 00.258352992|192.9896560238529 -41.8868993624705|  14.028 -1.480   |10.66    |~                   |    ~     ~    
145 |TYC 4721-767-1                                                        |Star                           |03 51 42.1545330504 -03 08 02.017857300|191.8203796528353 -40.7362391917896| 10.404 -12.153   |10.64    |~                   |    ~     ~    
146 |BD-04 681                                                             |Spectroscopic Binary           |03 52 04.2062460816 -03 50 29.702585868|192.6682136152004 -41.0500611772520|  10.698 17.044   |9.90     |~                   |    ~     ~    
147 |TYC 4721-658-1                                                        |Star                           |03 52 14.8087047552 -03 36 59.753537424|192.4511100920214 -40.8897780438485| 12.797 -10.461   |10.49    |~                   |    ~     ~    
148 |TYC 4717-9-1                                                          |Star                           |03 49 52.7328527904 -02 24 40.698210204|190.6940043681341 -40.7081675180295|   -2.943 0.432   |10.51    |~                   |    ~     ~    
149 |TYC 4717-1251-1                                                       |Star                           |03 47 32.0795538528 -02 21 22.511897928|190.1937779831896 -41.1588193035181|   9.751 -2.875   |10.96    |~                   |    ~     ~    
150 |TYC 4720-50-1                                                         |Star                           |03 49 40.3151387496 -02 30 17.621588196|190.7573097572492 -40.8037272179192| -3.390 -16.913   |10.678   |~                   |    ~     ~    
151 |TYC 4720-934-1                                                        |Star                           |03 45 22.9392252768 -03 17 26.542947840|190.8159749635787 -42.1313759207980| -13.088 11.643   |10.57    |~                   |    ~     ~    
152 |TYC 4721-49-1                                                         |High Proper Motion Star        |03 51 11.3873145408 -02 48 17.044373520|191.3658296769035 -40.6589613903157| 67.267 -39.980   |10.84    |~                   |    ~     ~    
153 |TYC 4721-141-1                                                        |Star                           |03 52 55.8342415488 -02 52 09.963715620|191.7554080081137 -40.3343807195211| -6.056 -16.362   |10.827   |~                   |    ~     ~    
154 |TYC 4721-393-1                                                        |Star                           |03 52 22.9221626352 -03 20 37.194783360|192.1747846969435 -40.7112370875055|  47.599 -1.711   |10.75    |~                   |    ~     ~    
155 |TYC 4721-449-1                                                        |Star                           |03 55 11.7649012344 -03 54 59.274330264|193.3118020987312 -40.4370416683474|   12.546 1.905   |10.836   |~                   |    ~     ~    
156 |TYC 4721-681-1                                                        |Star                           |03 53 13.8910754928 -03 32 27.890380320|192.5459897429767 -40.6429869594645|   39.462 2.439   |10.88    |~                   |    ~     ~    
157 |TYC 4720-289-1                                                        |Star                           |03 45 17.8721364312 -04 02 59.860707720|191.6513471700727 -42.5738686776794| 37.037 -17.487   |10.982   |~                   |    ~     ~    
158 |TYC 4720-1352-1                                                       |Star                           |03 47 26.7418870680 -04 29 23.915833008|192.5493602308465 -42.3699265841098|   2.198 -7.270   |10.890   |~                   |    ~     ~    
159 |BD-07 676                                                             |Star                           |03 46 22.4756761440 -06 57 45.699715656|195.2200054640527 -43.9156524299864|  -5.093 -2.897   |9.770    |~                   |    ~     ~    
160 |HD 23810                                                              |Star                           |03 47 49.5421104240 -07 01 33.252931632|195.5535379503822 -43.6405927758049|   10.177 0.623   |8.03     |A0V                 |    ~     ~    
161 |BD-07 689                                                             |Star                           |03 50 42.4631297160 -07 04 00.698587428|196.1083222849608 -43.0488009598602|  1.709 -18.212   |10.17    |~                   |    ~     ~    
162 |BD-07 702                                                             |Star                           |03 55 04.3 -07 06 51                   |196.9135 -42.1416                  |            ~ ~   |9.5      |~                   |    ~     ~    
163 |V* BR Eri                                                             |Long-Period Variable           |03 48 47.5279017456 -07 00 53.913087864|195.7115547569308 -43.4296452810997| -5.827 -24.354   |7.15     |M5V                 |    ~     ~    
164 |BD-07 701                                                             |Star                           |03 54 59.3657559984 -07 06 45.116766540|196.8976072138566 -42.1583171610476|   5.634 -4.613   |10.17    |~                   |    ~     ~    
165 |HD 23540                                                              |Star                           |03 45 52.1539401504 -05 18 27.299256624|193.1927488856817 -43.1442155376428|  -5.864 -1.278   |9.95     |A2IV                |    ~     ~    
166 |HD 23516                                                              |Star                           |03 45 38.5361487024 -06 19 24.484951740|194.3334280795640 -43.7351904879944|-12.741 -23.386   |9.16     |K0III               |    ~     ~    
167 |HD 23556                                                              |Star                           |03 45 54.3260362056 -06 28 44.042434824|194.5639541549454 -43.7616933895503| -17.980 10.553   |9.470    |G2/3V               |    ~     ~    
168 |HD 23555                                                              |Star                           |03 45 57.8860697832 -05 57 50.845953816|193.9716214398808 -43.4765041199134|   2.651 23.103   |9.02     |G8III/IV            |    ~     ~    
169 |BD-07 677                                                             |Star                           |03 46 28.7 -06 41 57                   |194.9269 -43.7562                  |            ~ ~   |9.9      |~                   |    ~     ~    
170 |BD-07 678                                                             |Star                           |03 46 31.6127362608 -06 44 30.529805640|194.9859959500146 -43.7682403352008|   5.397 -5.589   |10.322   |~                   |    ~     ~    
171 |BD-06 742                                                             |Star                           |03 45 21.8262943968 -06 05 12.020219736|194.0049882309022 -43.6682324279188|  -1.926 -0.490   |10.644   |~                   |    ~     ~    
172 |BD-05 736                                                             |Star                           |03 45 26.7893885904 -05 20 39.815710872|193.1571800771989 -43.2526400675951|   8.660 -7.839   |9.86     |~                   |    ~     ~    
173 |BD-05 739                                                             |Star                           |03 46 04.4753259144 -04 57 50.804255304|192.8359436682134 -42.9149613610802|    5.333 6.421   |10.59    |~                   |    ~     ~    
174 |BD-05 741                                                             |Star                           |03 46 24.4762155216 -05 23 38.433366276|193.3915402331247 -43.0779693524883|  -1.070 -5.733   |10.65    |~                   |    ~     ~    
175 |BD-06 747                                                             |Star                           |03 46 33.7348715328 -06 12 50.256574740|194.3720727357758 -43.4832462717604| -7.054 -12.003   |10.679   |~                   |    ~     ~    
176 |BD-05 743                                                             |Star                           |03 46 34.0064986872 -05 27 19.609332300|193.4915595837260 -43.0777244001568|   24.472 0.944   |10.54    |~                   |    ~     ~    
177 |BD-06 749                                                             |High Proper Motion Star        |03 46 59.3854995432 -05 49 27.852323196|193.9957796344807 -43.1863604448823| 45.653 -70.860   |9.98     |~                   |    ~     ~    
178 |HD 23796                                                              |Star                           |03 47 45.5116168368 -04 54 56.428946388|193.0907235900999 -42.5365037208458| -0.977 -43.401   |9.07     |F3/5V               |    ~     ~    
179 |HD 23795                                                              |Star                           |03 47 47.5184343528 -04 50 12.352444440|193.0069381370260 -42.4866868340443|   3.824 -5.448   |7.43     |K1III               |    ~     ~    
