C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:27:26

dec >=0&rah >=2.0&rah< 2.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4782

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1005|TYC 3685-269-1                                                                                           |Star                              |02 10 37.7102058960 +52 37 11.100606888|134.9285194093468 -08.3976494931104|  -1.163 -7.880     |10.43    |~                  |    ~     ~    |    1|  710.126   pc  |  -9.5813     +9.5813  |paral   |2020yCat.1350....0G
1006|TYC 3685-305-1                                                                                           |Star                              |02 07 37.8455267640 +52 36 07.447195548|134.4948510376244 -08.5506885188402| 22.521 -11.891     |10.03    |~                  |    ~     ~    |    1|  196.491   pc  |  -7.8182     +7.8182  |paral   |2020yCat.1350....0G
1007|TYC 3685-360-1                                                                                           |Star                              |02 07 24.2906342568 +53 32 17.520858240|134.1850404202091 -07.6655769765967| -9.051 -10.598     |10.98    |~                  |    ~     ~    |    1|  586.820   pc  |  -6.3706     +6.3706  |paral   |2020yCat.1350....0G
1008|TYC 3685-431-1                                                                                           |Star                              |02 11 31.8731246472 +52 47 36.788078148|135.0062647359874 -08.1903194180923|  -0.662 -2.342     |10.95    |~                  |    ~     ~    |    1|  700.820   pc  | -14.4398    +14.4398  |paral   |2020yCat.1350....0G
1009|TYC 3685-453-1                                                                                           |Star                              |02 10 27.3517730208 +52 39 51.776521164|134.8895720675843 -08.3631062597399|   0.432 -0.408     |10.69    |~                  |    ~     ~    |    1| 2291.476   pc  | -99.2413    +99.2413  |paral   |2020yCat.1350....0G
1010|TYC 3685-475-1                                                                                           |Star                              |02 09 47.9979994176 +52 56 23.619274296|134.7098233244895 -08.1305350930670|  -1.123 -4.418     |10.72    |~                  |    ~     ~    |    1| 1023.437   pc  | -21.6816    +21.6816  |paral   |2020yCat.1350....0G
1011|TYC 3685-488-1                                                                                           |Star                              |02 03 41.9186612040 +53 58 00.083239500|133.5320833759812 -07.4111936020913|   7.227 -7.243     |9.35     |~                  |    ~     ~    |    1|  822.301   pc  | -10.6836    +10.6836  |paral   |2020yCat.1350....0G
1012|TYC 3685-503-1                                                                                           |Star                              |02 00 43.4145009864 +52 52 07.342221288|133.4043350724437 -08.5884833549689|   4.502 -6.175     |10.64    |~                  |    ~     ~    |    1|  906.208   pc  | -22.3370    +22.3370  |paral   |2020yCat.1350....0G
1013|TYC 3685-513-1                                                                                           |Star                              |02 02 18.4618327368 +52 54 42.728798160|133.6250933129720 -08.4822022955106|   1.085 -1.552     |10.78    |~                  |    ~     ~    |    1| 1218.175   pc  | -20.4785    +20.4785  |paral   |2020yCat.1350....0G
1014|TYC 3685-532-1                                                                                           |Star                              |02 05 26.3935159968 +54 04 41.611091376|133.7478371693196 -07.2321825380424|  -5.744 -1.244     |10.79    |~                  |    ~     ~    |    1|  875.887   pc  | -11.0474    +11.0474  |paral   |2020yCat.1350....0G
1015|TYC 3685-555-1                                                                                           |Star                              |02 01 18.5516109216 +52 48 38.961606204|133.5062310669697 -08.6204346095038|  18.444 -4.216     |10.03    |~                  |    ~     ~    |    1|  568.796   pc  |  -5.5323     +5.5323  |paral   |2020yCat.1350....0G
1016|TYC 3685-591-1                                                                                           |Star                              |02 11 56.8540619232 +52 51 25.203922560|135.0469188588052 -08.1105577143888|   0.565 -1.625     |10.67    |~                  |    ~     ~    |    1| 1523.693   pc  | -47.3615    +47.3615  |paral   |2020yCat.1350....0G
1017|TYC 3685-606-1                                                                                           |Star                              |02 02 31.6841216544 +53 59 32.815352832|133.3581078522568 -07.4339582678180|  -10.742 1.307     |10.69    |~                  |    ~     ~    |    1|  173.166   pc  |  -1.1635     +1.1635  |paral   |2020yCat.1350....0G
1018|TYC 3685-643-1                                                                                           |High Proper Motion Star           |02 04 52.8087091632 +52 32 47.375966652|134.1063724783961 -08.7245385761950| 50.535 -18.428     |10.99    |~                  |    ~     ~    |    1|  303.693   pc  |  -3.0528     +3.0528  |paral   |2020yCat.1350....0G
1019|TYC 3685-655-1                                                                                           |Star                              |02 00 02.1195273024 +52 46 02.969924880|133.3302719799322 -08.7137674514240|  -2.509 -3.664     |9.85     |~                  |    ~     ~    |    1| 1163.332   pc  | -24.4955    +24.4955  |paral   |2020yCat.1350....0G
1020|TYC 3685-674-1                                                                                           |Star                              |02 13 19.1175327312 +54 17 19.939649640|134.7923966751274 -06.6864922640142|   7.784 -8.020     |10.40    |~                  |    ~     ~    |    1|  413.070   pc  |  -2.9518     +2.9518  |paral   |2020yCat.1350....0G
1021|TYC 3685-677-1                                                                                           |Star                              |02 12 17.2875962328 +52 49 32.282132448|135.1061286630236 -08.1244386733785|   0.747 -7.001     |10.63    |~                  |    ~     ~    |    1|  841.468   pc  | -12.3204    +12.3204  |paral   |2020yCat.1350....0G
1022|TYC 3685-691-1                                                                                           |Spectroscopic Binary              |02 04 35.0019477624 +52 34 35.942449584|134.0539718187428 -08.7083818983692|   26.190 0.581     |10.94    |~                  |    ~     ~    |    1|  177.699   pc  |  -1.4020     +1.4020  |paral   |2020yCat.1350....0G
1023|TYC 3685-731-1                                                                                           |Star                              |02 04 34.0843096248 +52 38 46.468709520|134.0318354005862 -08.6422806627069|  -0.895 -2.911     |10.93    |~                  |    ~     ~    |    1|  819.538   pc  | -11.2164    +11.2164  |paral   |2020yCat.1350....0G
1024|TYC 3685-743-1                                                                                           |Star                              |02 01 11.3048749728 +52 40 28.774167312|133.5256200270904 -08.7564758006009|   5.030 -6.631     |10.95    |~                  |    ~     ~    |    1|  656.168   pc  |  -7.0611     +7.0611  |paral   |2020yCat.1350....0G
