C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
86  |HD 136679                                                             |Star                              |15 23 13.6545368760 -36 10 43.198702716|334.2559237556192 +17.2971750670255|  -8.646 -5.286    |8.91     |K0Ib/II        |    ~     ~          |    1|  498.355   pc  |  -8.4938     +8.4938    |paral   |2020yCat.1350....0G
87  |HD 136962                                                             |Star                              |15 24 49.1751586056 -36 23 17.889931860|334.4043577511670 +16.9411483185765| -11.703 -5.972    |9.43     |K1/2(III)      |    ~     ~          |    1|  698.422   pc  | -10.2924    +10.2924    |paral   |2020yCat.1350....0G
88  |HD 137119                                                             |Star                              |15 25 30.1697232312 -36 11 57.922776060|334.6360085341592 +17.0155983220056|-23.812 -26.343    |7.63     |A2V            |    ~     ~          |    1|  125.933   pc  |  -0.4821     +0.4821    |paral   |2020yCat.1350....0G
89  |HD 136533                                                             |Star                              |15 22 30.0338960712 -37 01 42.457704132|333.6232125738138 +16.6829269772216|  -8.804 -7.248    |8.08     |G8III          |    ~     ~          |    1|  446.748   pc  |  -7.2848     +7.2848    |paral   |2020yCat.1350....0G
90  |HD 136552                                                             |Double or Multiple Star           |15 22 36.2090576040 -36 28 31.831882788|333.9702431271160 +17.1255704734252|       8.1 -0.2    |9.36     |F5             |    ~     ~          |    0|                |                         |        |                   
91  |HD 136569                                                             |Star                              |15 22 36.6204398832 -36 33 11.478858084|333.9250552093973 +17.0609910645569| -6.007 -13.621    |8.49     |F3IV           |    ~     ~          |    1|  232.813   pc  |  -1.4743     +1.4743    |paral   |2020yCat.1350....0G
92  |HD 136854                                                             |Star                              |15 24 12.0990210000 -36 31 27.764256576|334.2162561825748 +16.9015161549527|-14.583 -17.509    |9.89     |F3/5V          |    ~     ~          |    1|  161.509   pc  |  -5.1936     +5.1936    |paral   |2020yCat.1350....0G
93  |HD 136963                                                             |Star                              |15 24 48.4228218840 -37 24 23.323921848|333.7905512120077 +16.1102322407061|   2.625 -4.471    |10.14    |G5             |    ~     ~          |    1|  785.978   pc  | -33.0502    +33.0502    |paral   |2020yCat.1350....0G
94  |HD 136990                                                             |Star                              |15 24 55.0220832864 -36 41 01.571663724|334.2429705751069 +16.6885264401000|  5.357 -21.023    |8.90     |G8IV           |    ~     ~          |    1|  441.989   pc  |  -5.2941     +5.2941    |paral   |2020yCat.1350....0G
95  |HD 137056                                                             |Star                              |15 25 14.1598259424 -36 52 17.209287120|334.1844169252399 +16.4983867893914|-29.809 -13.425    |9.06     |M2/3III        |    ~     ~          |    1|  786.225   pc  | -17.5555    +17.5555    |paral   |2020yCat.1350....0G
96  |HD 137078                                                             |Star                              |15 25 19.7249940840 -37 17 32.136713664|333.9472438443992 +16.1439613454298|  -4.787 -4.249    |10.11    |G8/K0III       |    ~     ~          |    1|  729.767   pc  |  -8.5210     +8.5210    |paral   |2020yCat.1350....0G
97  |HD 137097                                                             |Star                              |15 25 24.6964854696 -36 52 59.412204192|334.2072594433251 +16.4685374072129|   13.927 2.130    |9.40     |G8/K0III       |    ~     ~          |    1|  499.700   pc  |  -5.2187     +5.2187    |paral   |2020yCat.1350....0G
