C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:28:33

dec< 0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6426

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
3612|HD 137103                                                             |Star                              |15 26 27.5158042344 -53 01 36.130481832|325.0818845357215 +03.0456256304178|  -5.629 -1.897    |10.09    |A1V            |    ~     ~          |    1|  671.592   pc  | -13.3506    +13.3506    |paral   |2020yCat.1350....0G
3613|HD 137266                                                             |Star                              |15 27 17.8344022680 -52 59 39.827941080|325.2047018217193 +03.0018714093974| -11.348 -8.678    |9.87     |A2V            |    ~     ~          |    1|  380.561   pc  |  -2.7807     +2.7807    |paral   |2020yCat.1350....0G
3614|CD-52 6666                                                            |Star                              |15 28 30.5425773576 -52 48 46.651150476|325.4581787236954 +03.0491689434653|  -3.636 -6.699    |9.81     |~              |    ~     ~          |    1|  733.460   pc  | -26.6830    +26.6830    |paral   |2020yCat.1350....0G
3615|CD-52 6669                                                            |Star                              |15 28 37.5987769536 -52 49 32.608049232|325.4656544501146 +03.0286036466526|  -4.970 -7.699    |10.64    |~              |    ~     ~          |    1|  754.660   pc  | -15.0921    +15.0921    |paral   |2020yCat.1350....0G
3616|HD 135605                                                             |Star                              |15 18 22.2216136152 -53 57 58.184547372|323.5593054419841 +02.9145199607000|-15.731 -11.317    |9.86     |A8/9IV/V       |    ~     ~          |    1|  289.184   pc  |  -5.2184     +5.2184    |paral   |2020yCat.1350....0G
3617|HD 135938                                                             |Star                              |15 20 08.4349875912 -53 45 46.556968860|323.8889755373850 +02.9463083644834|  -2.614 -2.421    |9.24     |B5/6IVp        |    ~     ~          |    1| 1395.479   pc  | -59.1998    +59.1998    |paral   |2020yCat.1350....0G
3618|HD 136223                                                             |Spectroscopic Binary              |15 21 40.3847620992 -53 32 27.918014280|324.2003777443943 +03.0100805115823|-66.036 -36.888    |8.25     |K0IIICNIV/V    |    ~     ~          |    1|  288.559   pc  |  -2.4230     +2.4230    |paral   |2020yCat.1350....0G
3619|HD 136301                                                             |High Proper Motion Star           |15 22 14.0837697984 -53 36 16.058662848|324.2358987726003 +02.9115440942829|-95.412 -77.178    |7.24     |F5V            |    ~     ~          |    1|   73.969   pc  |  -0.2249     +0.2249    |paral   |2020yCat.1350....0G
3620|HD 136428                                                             |Star                              |15 22 55.7804657976 -53 44 28.442511744|324.2474653778321 +02.7407633578448|  -3.319 -4.310    |9.88     |B9.5V          |    ~     ~          |    0|                |                         |        |                   
3621|V* FV Lup                                                             |Eclipsing Binary                  |15 23 00.3944358960 -53 31 14.124927468|324.3778941364633 +02.9192107060215|  -3.934 -8.027    |10.22    |~              |    ~     ~          |    1|  730.460   pc  | -11.8987    +11.8987    |paral   |2020yCat.1350....0G
3622|HD 135353                                                             |Star                              |15 16 55.6672195872 -54 11 46.170709692|323.2575507985983 +02.8318676995833|  -3.205 -3.611    |9.20     |B8IV           |    ~     ~          |    0|                |                         |        |                   
3623|HD 135460                                                             |Double or Multiple Star           |15 17 25.3980783576 -54 14 14.599458672|323.2972396913285 +02.7585519835131|  -2.442 -4.550    |8.40     |B8III/IV       |    ~     ~          |    1|  851.426   pc  | -24.2850    +24.2850    |paral   |2020yCat.1350....0G
3624|HD 135514                                                             |Star                              |15 17 46.1324009832 -54 12 35.566643412|323.3547141347464 +02.7550773861469|   -0.903 1.272    |8.60     |K2III          |    ~     ~          |    1|  478.217   pc  |  -5.7630     +5.7630    |paral   |2020yCat.1350....0G
3625|HD 135648                                                             |Double or Multiple Star           |15 18 33.1993786896 -54 11 31.086791700|323.4614850643546 +02.7091843033053|      -6.0 -7.5    |9.60     |A0V            |    ~     ~          |    0|                |                         |        |                   
3626|HD 135689                                                             |Variable Star                     |15 18 46.0354303368 -54 21 51.309270396|323.3958648816944 +02.5468269281457|  -7.594 -6.190    |7.03     |M1/2III        |    ~     ~          |    1|  619.963   pc  |  -9.0323     +9.0323    |paral   |2020yCat.1350....0G
3627|HD 135712                                                             |Star                              |15 18 50.9884423104 -54 21 38.933628192|323.4078782791046 +02.5433097438073|-12.190 -10.870    |9.35     |A7/8IV/V       |    ~     ~          |    1|  429.719   pc  |  -3.4347     +3.4347    |paral   |2020yCat.1350....0G
3628|HD 135751                                                             |Star                              |15 19 05.8339797864 -54 19 51.407484348|323.4543631874821 +02.5492711681146| -29.735 -6.050    |9.08     |A3mA5-A7       |    ~     ~          |    1|  249.594   pc  |  -2.7162     +2.7162    |paral   |2020yCat.1350....0G
3629|HD 135515                                                             |Star                              |15 17 47.1059879016 -54 29 57.269212188|323.2029049558528 +02.5086256554445|  -4.959 -4.964    |9.02     |B9IV           |    ~     ~          |    1|  738.062   pc  | -18.6299    +18.6299    |paral   |2020yCat.1350....0G
3630|IRAS 15153-5415                                                       |Long-Period Variable Candidate    |15 19 03.0302809224 -54 26 45.888591516|323.3869567023439 +02.4556386134879|  -0.632 -3.995    |10.73    |~              |    ~     ~          |    1| 1508.98    pc  |-126.374    +126.374     |paral   |2020yCat.1350....0G
3631|CD-53 5955                                                            |Star                              |15 16 02.3217189432 -54 20 37.832111808|323.0691816959558 +02.7747679906793|-21.591 -14.807    |9.95     |~              |    ~     ~          |    1|  593.261   pc  |  -5.9129     +5.9129    |paral   |2020yCat.1350....0G
3632|CD-53 5970                                                            |Star                              |15 17 31.8762977136 -54 20 36.041700264|323.2543835100723 +02.6603563493775|   9.440 -5.927    |9.90     |~              |    ~     ~          |    1|  611.023   pc  |  -6.3469     +6.3469    |paral   |2020yCat.1350....0G
3633|CD-53 6000                                                            |Star                              |15 20 13.7861925768 -53 55 30.927096372|323.8125346166658 +02.8024544633148|  -8.944 -7.279    |10.01    |~              |    ~     ~          |    1|  495.417   pc  | -17.7943    +17.7943    |paral   |2020yCat.1350....0G
3634|HD 135038                                                             |Star                              |15 15 20.8459988712 -54 34 11.464871016|322.8648781063857 +02.6350349101231|  -6.262 -5.424    |8.38     |B8II           |    ~     ~          |    1|  709.824   pc  | -14.9140    +14.9140    |paral   |2020yCat.1350....0G
3635|HD 135215                                                             |Star                              |15 16 12.0 -54 36 00                   |322.9543 +02.5446                  |            ~ ~    |10.8     |B9V            |    ~     ~          |    0|                |                         |        |                   
3636|HD 137159                                                             |Star                              |15 26 48.1982013984 -53 24 19.643328468|324.9130036650300 +02.7025978422174|  5.758 -38.804    |9.32     |F5IV/V         |    ~     ~          |    1|  143.240   pc  |  -0.3283     +0.3283    |paral   |2020yCat.1350....0G
3637|HD 137436                                                             |Star                              |15 28 25.0143908688 -53 25 12.139864104|325.1040333714729 +02.5555910594722|  -3.782 -2.182    |8.90     |ApSi           |    ~     ~          |    1|  682.361   pc  | -13.2701    +13.2701    |paral   |2020yCat.1350....0G
3638|HD 137542                                                             |Pulsating Variable                |15 28 55.7259952608 -53 05 16.637827164|325.3549380259810 +02.7865116353100| -6.936 -10.262    |8.16     |B9.5/A0III     |    ~     ~          |    1|  355.316   pc  |  -3.5097     +3.5097    |paral   |2020yCat.1350....0G
3639|CD-52 6674                                                            |High Proper Motion Star           |15 29 03.3557628000 -53 03 27.833222844|325.3878199752917 +02.8006399410888|-112.133 -76.059   |9.49     |~              |    ~     ~          |    1|  111.739   pc  |  -0.2023     +0.2023    |paral   |2020yCat.1350....0G
3640|HD 137601                                                             |Star                              |15 29 19.4335402008 -53 21 18.551951784|325.2524191668777 +02.5327296200610|   14.222 7.767    |8.77     |F2V            |    ~     ~          |    1|  113.861   pc  |  -0.2243     +0.2243    |paral   |2020yCat.1350....0G
3641|HD 136572                                                             |Star                              |15 23 48.8413284096 -54 06 22.327660836|324.1561496488902 +02.3641618864364|  -4.194 -2.781    |9.80     |B8/9III/IV     |    ~     ~          |    1|  848.104   pc  | -15.5365    +15.5365    |paral   |2020yCat.1350....0G
