C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
108 |BD-02 3840                                                            |Star                                  |14 24 24.6228294384 -03 11 35.115344628|343.0329152781422 +52.2872155034166| -10.176 -7.988   |10.564   |~              |    ~     ~          
109 |BD-02 3841                                                            |Star                                  |14 24 57.5407347912 -03 01 27.918378084|343.3750034769068 +52.3461660524598|  -27.836 0.163   |10.77    |~              |    ~     ~          
110 |BD-02 3821                                                            |Star                                  |14 19 07.4334839520 -02 45 30.426081948|341.6381685031413 +53.3923151360746|   -5.769 0.434   |10.56    |~              |    ~     ~          
111 |BD-02 3823                                                            |Star                                  |14 19 24.3733566672 -02 45 34.056753228|341.7353050838897 +53.3521547778557|  -9.341 -9.307   |10.415   |~              |    ~     ~          
112 |BD-02 3831                                                            |Star                                  |14 21 53.8732192392 -03 17 20.677102368|342.0974073618135 +52.5648425861741| -1.043 -19.203   |10.768   |~              |    ~     ~          
113 |BD-01 2952                                                            |High Proper Motion Star               |14 26 07.8441062664 -02 39 37.969047144|344.1122744493947 +52.4715752419295| -64.900 10.220   |10.363   |~              |    ~     ~          
114 |TYC 4976-952-1                                                        |Star                                  |14 19 21.0786206016 -02 23 31.561447632|342.0622812106167 +53.6641308011624|-22.322 -17.884   |10.35    |~              |    ~     ~          
115 |TYC 4977-946-1                                                        |Star                                  |14 22 31.9486337952 -02 17 29.315086728|343.2563122256372 +53.2944660731280|   -5.155 5.661   |10.524   |~              |    ~     ~          
116 |TYC 4977-1181-1                                                       |Star                                  |14 21 22.2339808560 -02 26 08.710447308|342.7197601498941 +53.3426150481014|   6.266 -7.367   |10.34    |~              |    ~     ~          
117 |TYC 4977-1226-1                                                       |High Proper Motion Star               |14 23 59.4099349800 -02 27 33.460132212|343.5895078046383 +52.9469684767459|-25.730 -54.429   |10.730   |~              |    ~     ~          
118 |TYC 4979-153-1                                                        |High Proper Motion Star               |14 18 08.2650649368 -02 50 35.220122988|341.2155017483883 +53.4584386020645|-40.104 -65.106   |10.374   |~              |    ~     ~          
119 |TYC 4979-226-1                                                        |High Proper Motion Star               |14 18 09.3897171696 -02 42 44.491191192|341.3436199834719 +53.5648113588939|  -61.120 6.782   |10.87    |~              |    ~     ~          
120 |TYC 4979-341-1                                                        |High Proper Motion Star               |14 18 15.9786035256 -02 34 44.565411144|341.5067049172062 +53.6605406599192|-60.902 -24.889   |10.94    |~              |    ~     ~          
