C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:51:40

Vmag< 11&dec< 0&rah >=14.25&rah< 14.5
-------------------------------------

Number of objects : 5563

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------
136 |HD 125022                                                             |High Proper Motion Star               |14 17 05.6949349680 -05 08 59.980302924|338.8136029756682 +51.6534318853003| -63.224 -4.304   |8.96     |G8/K0V         |    ~     ~          
137 |HD 124799                                                             |Star                                  |14 15 40.2043543128 -06 06 30.933295092|337.5358045472189 +51.0152429351307| -20.981 -0.927   |9.820    |A5/7II         |    ~     ~          
138 |NAME Syrma                         * iot Vir                          |High Proper Motion Star               |14 16 00.8695049 -06 00 01.963348      |337.7405373994 +51.0645776756      | -26.31 -419.38   |4.08     |F7III          |    ~     ~          
139 |BD-05 3847                                                            |Spectroscopic Binary                  |14 17 01.0850067000 -05 40 23.815250580|338.3500586648891 +51.2167487919915|-30.637 -64.541   |9.42     |G0             |    ~     ~          
140 |HD 125043                                                             |High Proper Motion Star               |14 17 05.5312123368 -05 44 21.410652948|338.3206534843186 +51.1507494650962|-115.187 13.663   |7.34     |K0III          |    ~     ~          
141 |HD 124800                                                             |High Proper Motion Star               |14 15 41.7371378016 -06 24 13.977815472|337.3071733675476 +50.7574964816872| 25.010 -47.901   |10.094   |G3/5(V)        |    ~     ~          
142 |HD 124915                                                             |Star                                  |14 16 21.3821876712 -06 37 17.554350000|337.3566652012824 +50.4867088544553| -43.073 -8.430   |6.434    |A7IV/V         |    ~     ~          
143 |HD 124916                                                             |High Proper Motion Star               |14 16 26.8514974080 -06 53 31.549380324|337.1728935020124 +50.2418226903295|-52.423 -63.770   |10.02    |G1V            |    ~     ~          
144 |BD-04 3648                                                            |Star                                  |14 15 24.9293467632 -05 27 45.916140132|337.9764974831152 +51.6028039834418| -15.071 -7.135   |10.226   |~              |    ~     ~          
145 |BD-05 3846                                                            |High Proper Motion Star               |14 16 25.0060152024 -05 47 50.113594752|338.0434548667977 +51.1878328603560|  57.429 -9.775   |10.50    |~              |    ~     ~          
146 |HD 125710                                                             |Star                                  |14 21 18.9604224936 -04 39 32.586163524|340.6656850543992 +51.5054557162805| -24.699 -2.416   |8.61     |K3III          |    ~     ~          
147 |BD-04 3666                                                            |High Proper Motion Star               |14 20 09.2615327496 -04 52 08.620753152|340.0921567312951 +51.4862577386352| -1.195 -87.162   |9.73     |G0             |    ~     ~          
148 |BD-04 3675                                                            |Star                                  |14 22 11.8365707784 -04 47 56.511333564|340.8372593911053 +51.2680963254385|  -19.167 5.712   |10.34    |F0             |    ~     ~          
149 |BD-04 3678                                                            |High Proper Motion Star               |14 22 48.8893602960 -04 41 53.248032240|341.1313299540284 +51.2676469967147|-56.157 -15.887   |9.96     |F8             |    ~     ~          
150 |BD-03 3608                                                            |Star                                  |14 19 25.1006098152 -04 37 25.931247312|340.0563580378831 +51.7916277253820|-22.786 -19.400   |10.801   |~              |    ~     ~          
151 |BD-03 3614                                                            |High Proper Motion Star               |14 21 57.3559578600 -04 38 43.062362700|340.8919145359466 +51.4296053444126|-27.930 -70.184   |10.68    |~              |    ~     ~          
152 |BD-04 3684                                                            |Star                                  |14 25 48.0305809776 -04 43 20.689645584|342.0916879739700 +50.8323154148449| 14.474 -21.637   |10.088   |~              |    ~     ~          
153 |TYC 4980-552-1                                                        |Star                                  |14 22 57.1813790424 -04 42 47.567835360|341.1638703153167 +51.2360474057896|   7.138 -2.303   |10.98    |~              |    ~     ~          
154 |HD 125163                                                             |Star                                  |14 17 51.3998276040 -05 08 01.263414408|339.0872646749874 +51.5676426397338| -11.283 -1.145   |8.77     |F3V            |    ~     ~          
155 |HD 125182                                                             |High Proper Motion Star               |14 17 57.7799444280 -05 08 42.059985648|339.1138343177099 +51.5440513149519| 18.955 -51.092   |8.48     |G0V            |    ~     ~          
156 |HD 125455                                                             |High Proper Motion Star               |14 19 34.8632697767 -05 09 04.290123433|339.6562199702359 +51.3249103895191|-632.951 -120.707 |7.569    |K1V            |    ~     ~          
157 |HD 125711                                                             |Star                                  |14 21 19.3693838016 -05 12 55.991921652|340.1843164175644 +51.0374779417411|-18.145 -27.338   |7.76     |G8III          |    ~     ~          
158 |HD 125712                                                             |Star                                  |14 21 20.8019490936 -05 20 09.883995648|340.0887914868783 +50.9328570547144|  -5.043 -2.551   |9.43     |G5             |    ~     ~          
159 |BD-04 3674                                                            |Star                                  |14 22 08.5612242504 -05 13 21.260033364|340.4505850826550 +50.9208228075072|  37.071 -7.483   |9.69     |F2             |    ~     ~          
160 |BD-04 3676                                                            |Star                                  |14 22 17.2822266072 -05 18 40.505033304|340.4222251646152 +50.8267323366661| -16.160 -8.701   |10.02    |F0             |    ~     ~          
161 |BD-04 3682                                                            |Star                                  |14 24 16.3062932232 -05 19 15.436221528|341.0658077875393 +50.5480178016561| -37.224 -2.564   |9.506    |F5             |    ~     ~          
162 |BD-04 3685                                                            |Star                                  |14 26 02.2623264600 -05 03 50.939360388|341.8653218904773 +50.5165694502045| -31.165 -4.259   |9.54     |F2             |    ~     ~          
163 |HD 125124                                                             |Star                                  |14 17 37.8815523888 -05 58 36.726708144|338.3073278977042 +50.8780636482767|  -18.558 1.225   |9.95     |F3V            |    ~     ~          
164 |HD 125144                                                             |Star                                  |14 17 41.3114330352 -06 10 03.895570704|338.1703684359380 +50.7073537652854| -46.497 -8.232   |10.22    |F8/G0          |    ~     ~          
165 |HD 125183                                                             |Star                                  |14 17 57.0657358704 -05 58 17.259319416|338.4194455300802 +50.8414445541960| -18.832 14.219   |7.74     |K3III          |    ~     ~          
166 |HD 125562                                                             |High Proper Motion Star               |14 20 17.2936800144 -06 12 08.254658196|339.0089954522542 +50.3406910937440|-60.917 -30.021   |10.132   |G1/2V          |    ~     ~          
167 |HD 125674                                                             |High Proper Motion Star               |14 21 08.0853923328 -05 58 59.322633492|339.4709471110111 +50.4150043287416| 21.286 -54.037   |9.59     |G8/K0V         |    ~     ~          
168 |HD 125713                                                             |Star                                  |14 21 17.1846308664 -05 49 53.897852496|339.6481136559802 +50.5229879212159| -3.641 -15.168   |8.71     |F8/G0V         |    ~     ~          
169 |BD-04 3681                                                            |High Proper Motion Star               |14 24 08.5624885848 -05 26 01.181837472|340.9259814784761 +50.4716781932970|44.442 -223.946   |10.800   |~              |    ~     ~          
170 |HD 125354                                                             |Spectroscopic Binary                  |14 18 58.2664803479 -06 36 12.972559818|338.2446500174359 +50.1695129860906|  -6.89 -432.31   |9.112    |K5             |0.0017  0.0          
171 |HD 125518                                                             |Star                                  |14 20 04.2377428632 -06 32 09.740604660|338.6632137529449 +50.0850630373558|   -0.859 4.392   |9.51     |G8III          |    ~     ~          
172 |HD 126033                                                             |Star                                  |14 23 10.1702531976 -06 13 56.591129856|339.9292830840679 +49.9335595766334|  -19.056 0.196   |8.38     |K0III          |    ~     ~          
173 |HD 126034                                                             |High Proper Motion Star               |14 23 11.6954948280 -06 31 23.264800860|339.6953985554411 +49.6849827585739| -26.440 95.257   |8.69     |F5V            |    ~     ~          
