C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:56

dec >=0&rah >=9.25&rah< 9.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3041

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
64  |HD 78584                                                                                                                                    |Star                                |09 17 12.0478648440 +79 16 51.968800812|133.2226991014229 +33.1170060569385|   13.820 5.460   |8.20     |B3             |    ~     ~    |    1| 1043.406   pc  | -39.6285    +39.6285  |paral   |2020yCat.1350....0G
65  |AG+79 313                                                                                                                                   |Long-Period Variable Candidate      |09 18 06.1985469624 +79 35 16.589642424|132.8846667434186 +32.9921458980217|   0.491 -1.956   |10.43    |G5             |    ~     ~    |    1| 2366.86    pc  | -82.3501    +82.3501  |paral   |2020yCat.1350....0G
66  |TYC 4544-1767-1                                                                                                                             |Star                                |09 21 44.3351656032 +79 24 19.734706368|132.9641273485735 +33.2294448359256|  -0.392 -6.713   |10.66    |K2             |    ~     ~    |    1| 1418.239   pc  | -31.1767    +31.1767  |paral   |2020yCat.1350....0G
67  |TYC 4544-1265-1                                                                                                                             |Star                                |09 25 06.8542581360 +79 49 59.797563672|132.4367104695041 +33.1233978783582|   -0.635 4.326   |9.69     |~              |    ~     ~    |    1|  961.076   pc  | -13.6703    +13.6703  |paral   |2020yCat.1350....0G
68  |TYC 4547-301-1                                                                                                                              |Star                                |09 18 56.7948112008 +80 09 45.211254588|132.2808100226151 +32.7196686187330|   5.241 11.173   |9.95     |~              |    ~     ~    |    1|  113.4083  pc  | -11.0300    +11.0300  |paral   |2018yCat.1345....0G
69  |TYC 4547-440-1                                                                                                                              |Star                                |09 15 05.5191292104 +80 00 38.453499252|132.5378662651861 +32.6581582174542| -24.077 -3.674   |10.53    |~              |    ~     ~    |    1|  456.788   pc  |  -2.8377     +2.8377  |paral   |2020yCat.1350....0G
70  |TYC 4547-1995-1                                                                                                                             |Star                                |09 24 10.9680035520 +81 02 50.837110116|131.2629173065633 +32.4151597431404|   4.233 -1.497   |10.78    |~              |    ~     ~    |    1| 1839.926   pc  | -51.1185    +51.1185  |paral   |2020yCat.1350....0G
71  |BD+77 357                                                                                                                                   |Star                                |09 15 11.8596977976 +77 24 10.214865108|135.2269187890288 +33.9820196860149|   9.240 -5.239   |9.30     |K0             |    ~     ~    |    1|  563.889   pc  |  -3.9746     +3.9746  |paral   |2020yCat.1350....0G
72  |BD+77 361A                                                                                                                                  |High Proper Motion Star             |09 17 30.505 +77 14 40.24              |135.316260 +34.170861              |    -1071.1 5.0   |10.83    |~              |    ~     ~    |    0|                |                       |        |                   
73  |BD+77 361B                                                                                                                                  |High Proper Motion Star             |09 17 30.480 +77 14 40.98              |135.316060 +34.170738              |    -1071.1 5.0   |10.73    |~              |    ~     ~    |    0|                |                       |        |                   
