C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:55:11

Vmag< 11&dec< 0&rah >=14.75&rah< 15.0
-------------------------------------

Number of objects : 5804

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------
116 |BD-11 3801                                                            |Star                           |14 46 08.2565610792 -12 17 41.783592156|341.8623159266506 +41.7459220579900|  3.111 -38.813    |10.785   |~              |    ~     ~    
117 |BD-11 3807                                                            |Star                           |14 47 55.5140614728 -11 51 41.914589076|342.6764285459705 +41.8477191339609|  6.483 -14.948    |10.55    |~              |    ~     ~    
118 |BD-11 3809                                                            |Star                           |14 48 41.3274253584 -12 33 51.883890948|342.3349492748800 +41.1670576216042|  -6.620 -9.612    |10.54    |~              |    ~     ~    
119 |BD-11 3810                                                            |High Proper Motion Star        |14 48 41.6876939256 -11 56 58.495584768|342.8129227148195 +41.6665991780114|-10.617 -80.932    |10.14    |~              |    ~     ~    
120 |BD-11 3804                                                            |Star                           |14 47 35.2768838928 -12 17 35.826876744|342.2515333417787 +41.5436496034999|  16.249 -7.395    |10.82    |~              |    ~     ~    
121 |TYC 5573-247-1                                                        |High Proper Motion Star        |14 47 49.3100840976 -11 16 53.559789708|343.1047978844911 +42.3336267018112|  -61.043 8.112    |10.422   |~              |    ~     ~    
122 |HD 129852                                                             |Star                           |14 45 15.2790194472 -12 58 32.671178436|341.1086719655850 +41.3082465182161|-10.468 -18.707    |8.71     |F3V            |    ~     ~    
123 |HD 130293                                                             |Star                           |14 47 38.2947341856 -12 44 39.229955736|341.9190929103861 +41.1678378698564|   7.903 -3.455    |10.494   |F2/5V          |    ~     ~    
124 |HD 130294                                                             |Star                           |14 47 38.8940075304 -12 56 05.013043368|341.7768092719924 +41.0103750896684|  6.399 -11.954    |9.163    |F3V            |    ~     ~    
125 |BD-12 4129                                                            |Star                           |14 46 18.1342615464 -12 57 37.575482904|341.3999427293522 +41.1763273247012|   -0.344 4.581    |10.04    |~              |    ~     ~    
126 |TYC 5573-584-1                                                        |Star                           |14 48 02.2092485832 -12 43 31.315385784|342.0391115409229 +41.1274091572150|  11.556 -9.948    |10.76    |~              |    ~     ~    
127 |HD 130111                                                             |Star                           |14 46 43.5981695856 -13 13 19.643815380|341.3156918961892 +40.9022456610580|  -33.429 9.575    |10.34    |F5V            |    ~     ~    
128 |HD 129871                                                             |High Proper Motion Star        |14 45 19.5769135200 -13 37 17.931475884|340.6462374614894 +40.7643424580473|-50.508 -24.846    |10.025   |F5V            |    ~     ~    
129 |HD 129906                                                             |Star                           |14 45 35.0440760088 -14 02 16.944781560|340.4080012701256 +40.3841395187620| -17.527 -0.314    |10.01    |A2(II/III)     |    ~     ~    
130 |V* HT Lib                                                             |Long-Period Variable Candidate |14 46 06.2563828056 -13 45 54.614846052|340.7463040813798 +40.5395209532989| -27.958 15.388    |9.28     |K2III          |    ~     ~    
131 |BD-13 3975                                                            |Star                           |14 46 10.4274233112 -13 44 01.365837180|340.7879469699626 +40.5560531394321| -12.462 -4.907    |9.857    |K7             |    ~     ~    
