C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:56:34

Vmag< 11&dec >=0&rah >=20.5&rah< 20.75
--------------------------------------

Number of objects : 8539

 #  |                                                                                  identifier                                                                                   |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |      spec. type      |   ang. size   
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------------|---------------
103 |BD+38 4166                                                                                                                                                                     |Star                           |20 37 03.3381411960 +38 37 15.612583944|078.5051343151953 -01.4102668354291|    3.821 1.440   |8.56     |K5                    |    ~     ~    
104 |HD 196627                                                                                                                                                                      |Pulsating Variable             |20 37 10.4724976992 +38 57 17.958596904|078.7854655810013 -01.2271304455067|    6.818 9.922   |8.95     |A0                    |    ~     ~    
105 |HD 196653                                                                                                                                                                      |Star                           |20 37 22.3363217640 +39 29 38.859898776|079.2383242920054 -00.9319529103633|  -2.546 -6.946   |8.88     |A2                    |    ~     ~    
106 |HD 196791                                                                                                                                                                      |Star                           |20 38 11.2398432912 +38 32 48.164188560|078.5797306130604 -01.6313332989741|-12.729 -34.168   |8.29     |G5                    |    ~     ~    
107 |BD+38 4172B                                                                                                                                                                    |Star                           |20 38 37.4861390688 +38 38 48.923489508|078.7112976386135 -01.6385194816229|  23.234 -4.339   |8.61     |G0                    |    ~     ~    
108 |** STF 2708D                                                                                                                                                                   |Star                           |20 38 38.1 +38 38 10                   |078.7039 -01.6467                  |            ~ ~   |10.8     |~                     |    ~     ~    
109 |BD+38 4175                                                                                                                                                                     |Star                           |20 39 08.0447864832 +39 10 50.795171832|079.1956740606618 -01.3928399307053| -3.316 -12.889   |9.46     |G5                    |    ~     ~    
110 |BD+38 4177                                                                                                                                                                     |Star                           |20 39 15.4237470576 +38 49 13.557546840|078.9241135497577 -01.6310097847106|   4.460 -4.291   |8.95     |K2                    |    ~     ~    
111 |HD 196422                                                                                                                                                                      |Star                           |20 35 57.8855131560 +38 17 48.333946308|078.1175550656854 -01.4350481458192|    9.019 5.392   |8.16     |K5                    |    ~     ~    
112 |BD+37 3998                                                                                                                                                                     |Star                           |20 37 16.2727473048 +38 24 08.143575408|078.3561550719598 -01.5759366019664|  -7.854 -7.901   |9.47     |M0                    |    ~     ~    
113 |BD+37 3999                                                                                                                                                                     |Star                           |20 37 21.8189729664 +38 16 33.006622764|078.2663031502208 -01.6667408520506| 15.600 -15.720   |9.24     |K0                    |    ~     ~    
114 |HD 196642                                                                                                                                                                      |Star                           |20 37 23.5840930440 +38 19 43.199603724|078.3119108550088 -01.6394253866437| 13.164 -43.609   |6.202    |K0III                 |    ~     ~    
115 |BD+37 4010                                                                                                                                                                     |Star                           |20 38 40.2489915888 +38 11 44.016642060|078.3578768097779 -01.9196320425158|   -1.759 0.856   |8.81     |K0                    |    ~     ~    
116 |TYC 3153-1272-1                                                                                                                                                                |Star                           |20 32 44.4492507720 +39 16 25.045620924|078.5255190876749 -00.3475921336970|  -0.068 10.455   |10.28    |~                     |    ~     ~    
117 |BD+39 4272                                                                                                                                                                     |High Proper Motion Star        |20 40 15.5126081304 +39 58 06.072272760|079.9522624003967 -01.0845061585866| 97.793 -59.359   |9.24     |G0                    |    ~     ~    
118 |BD+39 4273                                                                                                                                                                     |Star                           |20 40 20.5230884880 +40 02 53.478574584|080.0252432732880 -01.0483816142691|  -4.255 -1.792   |8.77     |K0                    |    ~     ~    
119 |HD 197377                                                                                                                                                                      |Star                           |20 41 54.2762818464 +39 31 04.871802540|079.7902075575587 -01.6105042114899|  11.502 -0.312   |8.19     |A2                    |    ~     ~    
120 |BD+39 4292                                                                                                                                                                     |Double or Multiple Star        |20 43 25.7785258128 +39 42 56.153402388|080.1269419579928 -01.7200428185857|    7.784 1.743   |10.14    |~                     |    ~     ~    
121 |BD+38 4178                                                                                                                                                                     |High Proper Motion Star        |20 39 25.5746012496 +39 29 50.508079260|079.4813334361767 -01.2449872369743|-46.583 -19.519   |8.90     |K0                    |    ~     ~    
122 |HD 197074                                                                                                                                                                      |Star                           |20 39 54.2567878080 +38 45 30.601169856|078.9518291594341 -01.7687563003419|   4.329 -1.921   |8.12     |K0III                 |    ~     ~    
123 |BD+38 4184                                                                                                                                                                     |Star                           |20 40 24.5898192120 +38 54 24.664925520|079.1295169495233 -01.7561856517052|   -0.931 3.710   |8.87     |K2                    |    ~     ~    
124 |HD 197226                                                                                                                                                                      |Spectroscopic Binary           |20 41 00.3641113 +39 04 56.363555      |079.3392942063 -01.7405014065      |      5.75 0.14   |6.497    |B6III                 |    ~     ~    
125 |TYC 3166-830-1                                                                                                                                                                 |Star                           |20 41 01.0597652472 +39 05 44.807140572|079.3513156120700 -01.7340392980522|   15.968 2.596   |10.5     |~                     |    ~     ~    
