C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:11:56

dec >=0&rah >=7.0&rah< 7.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 7257

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
81  |TYC 4530-78-1                                                                                                                               |Star                                |07 11 30.1035264144 +78 23 31.866377064|135.9964807669507 +27.5365984624391|    0.974 0.325   |10.42    |~                 |    ~     ~    |    1| 1823.154   pc  | -47.5316    +47.5316  |paral   |2020yCat.1350....0G
82  |TYC 4530-233-1                                                                                                                              |Star                                |07 11 44.4181863912 +78 23 45.308400288|135.9925000604260 +27.5486593881394|  -6.847 -0.053   |10.22    |~                 |    ~     ~    |    1| 1161.440   pc  | -16.8618    +16.8618  |paral   |2020yCat.1350....0G
83  |TYC 4530-330-1                                                                                                                              |Spectroscopic Binary                |07 13 23.6360932344 +78 13 26.535140976|136.1877104874607 +27.6300575645904|-28.977 -46.702   |9.81     |~                 |    ~     ~    |    1|  361.952   pc  |  -4.4281     +4.4281  |paral   |2020yCat.1350....0G
84  |TYC 4530-389-1                                                                                                                              |Star                                |07 05 39.6227389032 +78 31 17.776089732|135.8411268459123 +27.2483116360143|    0.154 1.639   |10.57    |~                 |    ~     ~    |    1| 1519.757   pc  | -26.0992    +26.0992  |paral   |2020yCat.1350....0G
85  |TYC 4530-394-1                                                                                                                              |Star                                |07 04 06.8671277184 +78 34 13.790107200|135.7823815655808 +27.1738049943810|   0.109 -2.368   |10.90    |~                 |    ~     ~    |    1| 1067.122   pc  | -28.1271    +28.1271  |paral   |2020yCat.1350....0G
86  |TYC 4530-464-1                                                                                                                              |Star                                |07 09 54.5951250576 +78 31 08.597389188|135.8516578812834 +27.4595532101051| -2.899 -27.141   |10.09    |~                 |    ~     ~    |    1|  271.924   pc  |  -1.2348     +1.2348  |paral   |2020yCat.1350....0G
87  |TYC 4534-279-1                                                                                                                              |Star                                |07 13 07.8759830904 +80 03 54.452217456|134.1096452986512 +27.6234408794458| -14.989 -7.249   |10.99    |~                 |    ~     ~    |    1| 1103.266   pc  | -13.2674    +13.2674  |paral   |2020yCat.1350....0G
88  |TYC 4534-476-1                                                                                                                              |Star                                |07 03 11.4724669224 +79 01 36.422849820|135.2677284395801 +27.1505938345954| 10.254 -16.360   |10.11    |~                 |    ~     ~    |    1|  244.906   pc  |  -0.8397     +0.8397  |paral   |2020yCat.1350....0G
89  |TYC 4534-1132-1                                                                                                                             |Star                                |07 08 24.3874882800 +78 55 03.387332748|135.4007349929626 +27.3958281425311|  1.946 -12.241   |10.72    |~                 |    ~     ~    |    1|  681.199   pc  |  -5.8004     +5.8004  |paral   |2020yCat.1350....0G
90  |TYC 4534-1393-1                                                                                                                             |Star                                |07 11 07.3799826096 +79 44 49.605662652|134.4683193736659 +27.5351171054178|  -7.458 -2.336   |10.97    |~                 |    ~     ~    |    1|  184.966   pc  |  -0.4105     +0.4105  |paral   |2020yCat.1350....0G
91  |TYC 4534-1428-1                                                                                                                             |Star                                |07 10 19.9054506384 +79 19 39.778808448|134.9407561798136 +27.4948340454617|    0.891 2.617   |10.69    |~                 |    ~     ~    |    1|  777.484   pc  |  -6.1657     +6.1657  |paral   |2020yCat.1350....0G
92  |TYC 4534-1531-1                                                                                                                             |Star                                |07 02 44.9705066976 +79 27 45.642657240|134.7773090213774 +27.1501499084784|  20.186 22.226   |10.04    |~                 |    ~     ~    |    1|  189.721   pc  |  -0.4355     +0.4355  |paral   |2020yCat.1350....0G
