C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:46:59

Vmag< 11&dec >=0&rah >=19.75&rah< 20.0
--------------------------------------

Number of objects : 10261

  #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |      spec. type       |   ang. size   
-----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------------|---------------
148  |HD 226210                                                             |Red Giant Branch star          |19 51 24.0442483392 +41 49 28.469355492|076.3602136818672 +07.6155994162418| -4.102 -18.266  |10.34    |~                      |    ~     ~    
149  |HD 226324                                                             |Red Giant Branch star          |19 52 32.4844733304 +42 00 23.022326880|076.6259699627777 +07.5223945223446|    7.600 2.779  |9.720    |~                      |    ~     ~    
150  |HD 226325                                                             |Rotating Variable              |19 52 38.6726141352 +41 41 43.810657584|076.3642178275771 +07.3501844617045|    7.517 3.085  |10.23    |~                      |    ~     ~    
151  |HD 226332                                                             |Rotating Variable              |19 52 39.4972688664 +41 43 59.910511512|076.3985076830057 +07.3668976090838|   10.301 7.403  |8.71     |F2                     |    ~     ~    
152  |HD 226420                                                             |delta Sct Variable             |19 53 42.0981539448 +41 50 04.696571076|076.5852881363928 +07.2495347810709|   -7.942 1.409  |9.362    |F0                     |    ~     ~    
153  |HD 226446                                                             |gamma Dor Variable             |19 54 04.2405250560 +41 48 31.021976628|076.5975216173685 +07.1770300665027|  1.185 -11.589  |9.96     |F1V                    |    ~     ~    
154  |IRAS 19457+4209                                                       |Star                           |19 47 23.8325939616 +42 17 09.187909332|076.3959580380836 +08.4895655027473| -4.106 -15.273  |9.68     |~                      |    ~     ~    
155  |IRAS 19495+4207                                                       |Star                           |19 51 15.0333393072 +42 14 58.308766800|076.7183277945869 +07.8510591928653|  -6.812 -7.525  |9.48     |~                      |    ~     ~    
156  |BD+43 3368                                                            |Star                           |19 48 14.2913289840 +43 44 48.961091040|077.7629488197593 +09.0667678946358|  49.645 -4.438  |9.17     |F8V                    |    ~     ~    
157  |HD 225880                                                             |Eruptive Variable              |19 47 56.6871518784 +41 45 18.340561872|075.9781361523977 +08.1414873543365| -19.652 14.693  |8.28     |K2                     |    ~     ~    
158  |HD 226007                                                             |Red Giant Branch star          |19 49 27.3367976448 +41 46 43.873310712|076.1388637349499 +07.9078238143609|  -2.024 -5.986  |10.24    |~                      |    ~     ~    
159  |HD 226047                                                             |Star                           |19 49 44.9111664768 +41 47 23.032529484|076.1756215846182 +07.8657049349398|  -1.988 24.315  |10.38    |~                      |    ~     ~    
160  |HD 226062                                                             |Star                           |19 49 53.4023411232 +41 42 58.697643672|076.1243492064023 +07.8064757797727|  -0.989 -3.810  |9.460    |K2                     |    ~     ~    
161  |HD 226096                                                             |gamma Dor Variable             |19 50 16.3727662464 +41 44 32.424339660|076.1828547690808 +07.7572855793151|   2.634 -1.968  |10.46    |F0IV                   |    ~     ~    
162  |HD 187848                                                             |Spectroscopic Binary           |19 50 20.9649907056 +41 37 44.078824020|076.0905647611591 +07.6886796631403|   9.424 -6.320  |8.80     |F                      |    ~     ~    
163  |HD 226137                                                             |Star                           |19 50 43.0177959936 +41 36 49.410596124|076.1116393797799 +07.6215033394445| -2.955 -11.177  |10.99    |~                      |    ~     ~    
164  |TYC 3145-2164-1                                                       |Horizontal Branch Star         |19 51 04.7071441272 +41 41 16.198052496|076.2103727074555 +07.5997190742245|    1.602 0.181  |10.61    |~                      |    ~     ~    
165  |HD 226262                                                             |delta Sct Variable             |19 51 58.1253902832 +41 41 09.485753280|076.2922756292936 +07.4546715620417|   0.789 -0.543  |10.49    |B9IV                   |    ~     ~    
166  |TYC 3144-17-1                                                         |Star                           |19 49 43.6997544528 +41 59 15.150932232|076.3474265832535 +07.9666311737010|  -1.995 -0.139  |10.37    |~                      |    ~     ~    
167  |TYC 3144-31-1                                                         |gamma Dor Variable             |19 49 30.6411592656 +42 56 44.464026804|077.1700965235914 +08.4732883264037|   4.583 -1.669  |9.81     |~                      |    ~     ~    
168  |TYC 3144-58-1                                                         |Star                           |19 47 53.1588396960 +42 53 14.180166600|076.9713867397557 +08.7041358249440|  8.686 -28.834  |10.88    |~                      |    ~     ~    
169  |TYC 3144-88-1                                                         |Star                           |19 47 44.0509228752 +41 53 50.140666824|076.0839966576020 +08.2452748122449|   5.162 -6.849  |10.83    |~                      |    ~     ~    
170  |TYC 3144-118-1                                                        |Star                           |19 49 44.7641112792 +42 20 54.517596540|076.6661801643843 +08.1417763010030|    9.833 6.875  |9.72     |~                      |    ~     ~    
171  |TYC 3144-119-1                                                        |Star                           |19 49 36.3955034544 +42 59 25.149364548|077.2181177902430 +08.4799318756026|   0.806 -4.392  |10.84    |~                      |    ~     ~    
172  |TYC 3144-131-1                                                        |Eruptive Variable              |19 49 37.0490447088 +42 44 59.215406820|077.0073534489991 +08.3599611032252|    0.947 0.963  |10.22    |~                      |    ~     ~    
173  |TYC 3144-142-1                                                        |Star                           |19 47 59.5945396080 +42 28 29.328161772|076.6169973861449 +08.4856768502902|   -4.396 4.261  |10.75    |~                      |    ~     ~    
174  |TYC 3144-147-1                                                        |Red Giant Branch star          |19 48 51.1301826024 +43 05 20.174797464|077.2366912532980 +08.6484262672583| -3.268 -10.390  |10.991   |~                      |    ~     ~    
175  |TYC 3144-164-1                                                        |High Proper Motion Star        |19 48 50.6370678672 +42 24 34.222861692|076.6370989068180 +08.3168517445827| -7.639 -56.815  |10.23    |G9V                    |    ~     ~    
176  |KOI-1927                                                              |Star                           |19 47 56.6570573976 +42 43 47.925404832|076.8377511725011 +08.6181012270643|  36.095 13.154  |9.75     |G3V                    |    ~     ~    
177  |TYC 3144-209-1                                                        |Star                           |19 49 00.8639906808 +42 45 14.647550112|076.9561712607348 +08.4585092607455|  -0.862 -2.123  |9.74     |~                      |    ~     ~    
