C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:38:16

dec< 0&rah >=21.25&rah< 21.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3626

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
3233|TYC 8810-597-1                                                        |Star                              |21 29 26.8070171472 -55 01 10.599887064|341.0928433828501 -44.2802748547610|   -1.033 7.247     |10.88    |~              |    ~     ~    |    1|  236.939   pc  |  -1.0105     +1.0105    |paral   |2020yCat.1350....0G
3234|TYC 8814-279-1                                                        |Star                              |21 27 05.7736419120 -57 56 57.832381392|337.3627349450329 -43.0907367358550|  11.575 -8.510     |10.795   |~              |    ~     ~    |    1| 1095.440   pc  | -62.0000    +62.0000    |ST-L    |2020AJ....160...83S
3235|TYC 8814-723-1                                                        |Star                              |21 23 38.0424230400 -57 14 23.063185824|338.4799075486437 -42.8655315109227|  -8.902 -3.661     |10.83    |~              |    ~     ~    |    1|  493.778   pc  |  -4.0961     +4.0961    |paral   |2020yCat.1350....0G
3236|TYC 9461-19-1                                                         |Star                              |21 18 35.0829148896 -76 34 58.080722916|315.9725982731800 -34.5556163704988|  9.537 -17.410     |10.711   |~              |    ~     ~    |    1| 1166.630   pc  | -65.5000    +65.5000    |ST-L    |2020AJ....160...83S
3237|TYC 9469-1213-1                                                       |Star                              |21 16 09.4534558056 -79 48 26.699590548|312.7158204081094 -32.8033660740864|  10.337 -9.016     |10.90    |~              |    ~     ~    |    1| 1210.214   pc  | -17.8683    +17.8683    |paral   |2020yCat.1350....0G
3238|TYC 9474-1113-1                                                       |Star                              |21 28 42.6197007792 -75 17 27.876563412|316.9386125138199 -35.7482084673008|   1.507 -6.897     |10.989   |~              |    ~     ~    |    1| 2823.600   pc  |-336.7000   +336.7000    |ST-L    |2020AJ....160...83S
3239|TYC 9478-1055-1                                                       |High Proper Motion Star           |21 27 08.2562595960 -77 47 55.861033236|314.4155017023312 -34.3234177814636| 33.501 -49.483     |10.53    |~              |    ~     ~    |    1|  152.801   pc  |  -1.3760     +1.3760    |ST-L    |2020AJ....160...83S
3240|TYC 9482-170-1                                                        |Star                              |21 25 20.1220663080 -79 35 57.183572544|312.6631505056869 -33.2611418968043|   2.083 -1.528     |10.892   |~              |    ~     ~    |    1|  822.434   pc  | -39.8800    +39.8800    |ST-L    |2020AJ....160...83S
3241|TYC 9524-1862-1                                                       |Star                              |21 16 52.5312806280 -82 31 10.937027892|309.9861711875134 -31.3854337860137|   2.906 -1.014     |10.940   |~              |    ~     ~    |    1|  820.703   pc  | -30.1600    +30.1600    |ST-L    |2020AJ....160...83S
3242|TYC 9528-280-1                                                        |Star                              |21 27 32.9912329272 -85 20 41.107860420|307.1067555508100 -29.9975989261289|   0.873 -3.030     |10.949   |~              |    ~     ~    |    1|  982.047   pc  | -34.3500    +34.3500    |ST-L    |2020AJ....160...83S
3243|TYC 9528-434-1                                                        |Spectroscopic Binary              |21 18 40.6906789080 -85 09 53.529009480|307.3990876435910 -29.9542328565834|   9.913 -1.045     |10.727   |~              |    ~     ~    |    1| 1200.560   pc  | -80.0000    +80.0000    |ST-L    |2020AJ....160...83S
3244|TYC 9532-432-1                                                        |Star                              |21 27 06.3644252856 -87 13 06.417727860|305.4026865812832 -28.8539091042110|   0.835 -4.631     |10.63    |~              |    ~     ~    |    1| 1216.989   pc  | -21.4754    +21.4754    |paral   |2020yCat.1350....0G
3245|UCAC2 16294937                                                        |Star                              |21 29 28.4638337616 -36 40 14.536674300|007.1558437563134 -46.5910931130649|   5.685 -7.210     |10.990   |~              |    ~     ~    |    1|  491.669   pc  | -14.3900    +14.3900    |ST-L    |2020AJ....160...83S
3246|UCAC2 17171491                                                        |Star                              |21 15 01.1093523432 -34 44 58.895072088|009.5619082171442 -43.5231000495530|  -1.121 -0.498     |10.763   |~              |    ~     ~    |    1|  565.987   pc  | -17.6000    +17.6000    |ST-L    |2020AJ....160...83S
3247|UCAC2 18314600                                                        |Star                              |21 18 14.1686101656 -32 12 51.355697688|013.1571272311445 -43.8741259493768| -7.314 -18.024     |10.927   |~              |    ~     ~    |    1| 1849.300   pc  |-255.4000   +255.4000    |ST-L    |2020AJ....160...83S
3248|UCAC2 8680162                                                         |Star                              |21 19 52.8762714888 -53 30 51.915823128|343.5978187382687 -43.3075749430984|  10.598 -7.562     |10.985   |~              |    ~     ~    |    1| 1727.360   pc  |-154.1000   +154.1000    |ST-L    |2020AJ....160...83S
3249|UCAC2 29752436                                                        |Star                              |21 15 59.3984694120 -06 25 30.544758804|044.7297804536474 -34.9306836296857|   -1.718 2.688     |10.863   |~              |    ~     ~    |    1| 1768.180   pc  |-179.2000   +179.2000    |ST-L    |2020AJ....160...83S
3250|UCAC2 29752973                                                        |Star                              |21 22 36.0197783280 -06 03 06.019305840|046.1120465147727 -36.1852343781557|   5.798 -1.886     |10.898   |~              |    ~     ~    |    1| 1467.590   pc  |-158.1000   +158.1000    |ST-L    |2020AJ....160...83S
3251|UCAC2 16730193                                                        |Star                              |21 22 26.8670415192 -35 50 48.610527072|008.2232473970674 -45.1307446637575|  7.265 -13.622     |10.950   |~              |    ~     ~    |    1|  940.999   pc  | -34.9600    +34.9600    |ST-L    |2020AJ....160...83S
3252|UCAC2 8925384                                                         |Star                              |21 19 24.2558406624 -53 27 06.985700928|343.7029264420947 -43.2520402360250|   10.734 0.573     |10.446   |~              |    ~     ~    |    1|  786.549   pc  | -25.2500    +25.2500    |ST-L    |2020AJ....160...83S
3253|UCAC2 28467445                                                        |Star                              |21 18 24.6184519176 -09 42 58.908647304|041.4762130780667 -36.9942816223953|   0.018 -5.605     |10.866   |~              |    ~     ~    |    1|  899.723   pc  | -57.1500    +57.1500    |ST-L    |2020AJ....160...83S
3254|UCAC2 20988977                                                        |Star                              |21 17 46.6312075992 -26 36 20.430483228|020.7045402689616 -42.7254643834804|  -2.275 -8.953     |10.730   |~              |    ~     ~    |    1|  377.353   pc  |  -9.9330     +9.9330    |ST-L    |2020AJ....160...83S
3255|HD 202626B                                                            |Star                              |21 17 45.8702476104 -27 13 44.252700888|019.8764037015628 -42.8640998074372| 15.748 -21.041     |10.06    |G:             |    ~     ~    |    1|  251.335   pc  |  -5.5170     +5.5170    |ST-L    |2020AJ....160...83S
3256|UCAC2 31253277                                                        |Star                              |21 26 02.9424109128 -01 36 32.250547008|051.3333998211169 -34.6435910973081| -11.761 -2.490     |10.789   |~              |    ~     ~    |    1| 1216.510   pc  | -87.4800    +87.4800    |ST-L    |2020AJ....160...83S
3257|HD 202626A                                                            |Star                              |21 17 46.3252887569 -27 13 40.528037046|019.8782908235417 -42.8655138565964| 16.575 -20.289     |9.14     |F5V            |    ~     ~    |    1|  251.509   pc  |  -1.4991     +1.4991    |paral   |2020yCat.1350....0G
3258|CPD-88 179                                                            |Star                              |21 25 53.4544458264 -87 45 21.401683884|304.9273335470656 -28.5145348323545| 14.875 -22.235     |10.38    |K5             |    ~     ~    |    1|  661.463   pc  |  -5.0754     +5.0754    |paral   |2020yCat.1350....0G
3259|CPD-87 301                                                            |Star                              |21 28 48.2661737952 -87 27 13.387652280|305.1773437002702 -28.7245330948461| 12.142 -12.441     |10.63    |~              |    ~     ~    |    1|  646.872   pc  |  -5.3142     +5.3142    |paral   |2020yCat.1350....0G
3260|CPD-87 304                                                            |Star                              |21 26 03.8119802040 -86 51 19.240415424|305.7411069027263 -29.0644976330190|  38.151 16.549     |10.15    |F8             |    ~     ~    |    1|  142.719   pc  |  -0.2403     +0.2403    |paral   |2020yCat.1350....0G
3261|HD 201414                                                             |High Proper Motion Star           |21 22 12.6299214096 -83 12 34.666556472|309.2075455497600 -31.1396691623315| 10.453 -73.814     |7.19     |F0/2+(G)III    |    ~     ~    |    1|   67.835   pc  |  -0.9171     +0.9171    |paral   |2020yCat.1350....0G
3262|CD-80 789                                                             |Star                              |21 26 20.3888600496 -79 58 15.535851744|312.2644461888979 -33.0913539619755| 13.990 -11.809     |9.84     |M2             |    ~     ~    |    1|  777.242   pc  |  -7.6117     +7.6117    |paral   |2020yCat.1350....0G
3263|CD-80 783                                                             |High Proper Motion Star           |21 17 40.6563640968 -79 54 03.275385012|312.5793624088174 -32.8115883384641|74.970 -113.682     |9.93     |G5             |    ~     ~    |    1|   89.454   pc  |  -1.2259     +1.2259    |paral   |2020yCat.1350....0G
3264|TYC 9469-692-1                                                        |Star                              |21 15 54.5770753728 -79 41 25.622928708|312.8416701184917 -32.8545468965622| 12.223 -20.581     |10.72    |~              |    ~     ~    |    1|  966.464   pc  | -12.6097    +12.6097    |paral   |2020yCat.1350....0G
3265|CPD-76 1499                                                           |Star                              |21 21 06.1826153496 -75 37 35.663919924|316.8882609422817 -35.1661141913121|    6.523 3.186     |10.44    |~              |    ~     ~    |    1|  818.432   pc  | -24.6300    +24.6300    |ST-L    |2020AJ....160...83S
3266|CPD-76 1490                                                           |Long-Period Variable              |21 16 57.0894967872 -75 47 24.224668764|316.8695812014826 -34.8625765945754| 18.406 -10.520     |10.27    |~              |    ~     ~    |    1| 1463.700   pc  | -50.9896    +50.9896    |paral   |2020yCat.1350....0G
3267|TYC 9474-1354-1                                                       |Spectroscopic Binary              |21 28 19.0623388776 -75 57 16.622330976|316.2636733106797 -35.3748191600798| 72.383 -82.442     |10.92    |~              |    ~     ~    |    1|  197.495   pc  |  -1.9410     +1.9410    |ST-L    |2020AJ....160...83S
3268|CD-75 1200                                                            |Star                              |21 19 15.4949747712 -74 42 14.963720940|317.9428090365420 -35.5194545721206|  12.299 -5.934     |9.41     |~              |    ~     ~    |    1|  816.327   pc  |  -8.5298     +8.5298    |paral   |2020yCat.1350....0G
3269|CD-74 1447                                                            |Star                              |21 25 01.8948150240 -73 30 24.110111052|318.9904978135086 -36.4528929804191|  0.434 -14.554     |10.10    |~              |    ~     ~    |    1|  179.694   pc  |  -1.6160     +1.6160    |ST-L    |2020AJ....160...83S
3270|HD 203882                                                             |Star                              |21 29 31.5441252024 -73 00 20.215789308|319.3263770975355 -36.9851931183607| 34.348 -30.078     |9.14     |F3/5V          |    ~     ~    |    1|  191.824   pc  |  -2.2520     +2.2520    |paral   |2020yCat.1350....0G
3271|HD 202213                                                             |High Proper Motion Star           |21 19 18.6162636648 -73 17 54.715382016|319.4625570660090 -36.1967718507176| 54.545 -26.751     |9.03     |F6V            |    ~     ~    |    1|  130.485   pc  |  -2.1504     +2.1504    |paral   |2020yCat.1350....0G
3272|HD 203213                                                             |Star                              |21 25 24.3063501192 -72 35 43.443166596|319.9616119753709 -36.9270399979167|-17.651 -34.553     |7.31     |G8III          |    ~     ~    |    1|  203.128   pc  |  -2.5623     +2.5623    |paral   |2020yCat.1350....0G
3273|CD-71 1670                                                            |Star                              |21 16 33.3780161664 -71 28 38.734385592|321.5957364515298 -36.8456833719235| -28.664 -6.333     |10.19    |~              |    ~     ~    |    1|  190.299   pc  |  -1.9121     +1.9121    |paral   |2020yCat.1350....0G
3274|TYC 9330-563-1                                                        |Star                              |21 26 34.8323806440 -71 44 51.955418364|320.8345276120581 -37.4197876489909|   13.958 6.010     |10.71    |~              |    ~     ~    |    1|  463.737   pc  | -12.1300    +12.1300    |ST-L    |2020AJ....160...83S
3275|TYC 9326-653-1                                                        |Star                              |21 22 37.3387208040 -71 10 07.618609416|321.6642191753247 -37.4184744821749|  -4.979 -5.362     |10.83    |~              |    ~     ~    |    1| 1458.576   pc  | -27.6568    +27.6568    |paral   |2020yCat.1350....0G
3276|HD 202459                                                             |Star                              |21 20 19.2427882416 -71 16 37.823165544|321.6504944398608 -37.2041554798273| 29.968 -28.516     |9.22     |K0III          |    ~     ~    |    1|  414.783   pc  |  -2.2538     +2.2538    |paral   |2020yCat.1350....0G
3277|TYC 9326-389-1                                                        |Star                              |21 16 55.8371370216 -70 39 24.869365092|322.5024138292655 -37.2334967231573| -25.924 -6.985     |10.62    |~              |    ~     ~    |    1|  339.328   pc  |  -1.4278     +1.4278    |paral   |2020yCat.1350....0G
3278|HD 203397                                                             |Star                              |21 25 54.8914005480 -70 43 03.607597956|322.0081508071322 -37.8674268036247|   14.276 1.848     |7.79     |K0III          |    ~     ~    |    1|  395.679   pc  |  -3.3191     +3.3191    |paral   |2020yCat.1350....0G
3279|CD-70 1823                                                            |Star                              |21 18 40.0582019520 -69 41 55.444864092|323.5098886118465 -37.7821937363002|   3.357 -4.462     |9.82     |~              |    ~     ~    |    1|  867.152   pc  |  -9.0234     +9.0234    |paral   |2020yCat.1350....0G
3280|HD 202503                                                             |Star                              |21 20 05.0441994360 -69 00 38.846515536|324.2288298077962 -38.1918060955818|    3.507 3.315     |7.95     |K4III          |    ~     ~    |    1|  515.278   pc  |  -4.5668     +4.5668    |paral   |2020yCat.1350....0G
3281|TYC 9322-647-1                                                        |High Proper Motion Star           |21 15 18.4238153232 -68 25 56.845495236|325.1267579650088 -38.0395551985415|  5.855 -94.166     |10.83    |~              |    ~     ~    |    1|  102.080   pc  |  -0.1375     +0.1375    |paral   |2020yCat.1350....0G
3282|CD-69 1987                                                            |Star                              |21 24 36.6711326616 -68 39 38.004580224|324.4021106768793 -38.7125801971874| -17.807 -3.961     |10.18    |~              |    ~     ~    |    1|  364.411   pc  | -13.1900    +13.1900    |ST-L    |2020AJ....160...83S
3283|TYC 9322-1393-1                                                       |Star                              |21 29 30.4600472640 -68 05 50.926287804|324.7856218675948 -39.3696452643179|   4.046 -7.516     |10.853   |~              |    ~     ~    |    1| 1731.990   pc  |-150.1000   +150.1000    |ST-L    |2020AJ....160...83S
3284|TYC 9322-896-1                                                        |Star                              |21 17 26.6331899088 -68 29 25.311251544|324.9575973605222 -38.1948115676905|   5.498 -4.577     |10.00    |~              |    ~     ~    |    1| 1726.817   pc  | -86.1769    +86.1769    |paral   |2020yCat.1350....0G
3285|TYC 9114-601-1                                                        |Star                              |21 21 44.2580964840 -66 48 21.576690432|326.7075396984902 -39.2625528726265| 23.660 -15.267     |10.965   |~              |    ~     ~    |    1|  391.766   pc  |  -7.4990     +7.4990    |ST-L    |2020AJ....160...83S
3286|HD 202859                                                             |Star                              |21 22 01.2872557080 -66 45 34.031317716|326.7473969926305 -39.3072374659191|   -8.381 1.019     |9.32     |K0III          |    ~     ~    |    1|  504.083   pc  |  -3.6844     +3.6844    |paral   |2020yCat.1350....0G
3287|AKARI-IRC-V1 J2120410-643510                                          |Long-Period Variable Candidate    |21 20 41.0566967880 -64 35 10.356714960|329.4100619632100 -40.0437412759001|  -2.165 -7.164     |9.79     |~              |    ~     ~    |    1| 1015.33    pc  | -33.0918    +33.0918    |paral   |2020yCat.1350....0G
3288|TYC 9110-1017-1                                                       |Star                              |21 19 26.1888571320 -64 31 12.574200360|329.5559916636604 -39.9445973355157|    8.692 1.823     |10.94    |~              |    ~     ~    |    1|  979.624   pc  | -10.9402    +10.9402    |paral   |2020yCat.1350....0G
3289|CPD-64 4114                                                           |Star                              |21 18 08.6100227592 -63 46 05.280533148|330.5369067646846 -40.0897294419895|   24.435 6.843     |10.76    |~              |    ~     ~    |    1|  228.243   pc  |  -1.2503     +1.2503    |paral   |2020yCat.1350....0G
3290|TYC 9110-33-1                                                         |Star                              |21 24 37.5908065176 -64 00 11.976736068|329.8995699977514 -40.6628632763498|-24.468 -33.185     |10.61    |~              |    ~     ~    |    1|  229.353   pc  |  -0.7627     +0.7627    |paral   |2020yCat.1350....0G
3291|CPD-63 4663                                                           |Star                              |21 23 01.3811 -63 19 48.782            |330.8097632 -40.7559487            | -18.162 18.525     |10.44    |~              |    ~     ~    |    1|  149.458   pc  |  -1.2130     +1.2130    |ST-L    |2020AJ....160...83S
3292|CPD-63 4653                                                           |Star                              |21 19 40.0791238680 -62 34 45.999054624|331.9153100413259 -40.6729166996063|  13.146 -6.349     |10.488   |~              |    ~     ~    |    1|  417.479   pc  |  -8.9480     +8.9480    |ST-L    |2020AJ....160...83S
3293|CPD-62 6218                                                           |Star                              |21 18 44.5545506424 -62 25 17.553096768|332.1594107668616 -40.6276873571133|   9.684 -7.040     |10.603   |~              |    ~     ~    |    1|  339.484   pc  |  -6.3880     +6.3880    |ST-L    |2020AJ....160...83S
3294|CPD-62 6221                                                           |Star                              |21 20 39.2877294168 -62 06 15.264092376|332.4505817962186 -40.9464058649984|   2.936 12.678     |10.335   |~              |    ~     ~    |    1|  249.576   pc  |  -3.1370     +3.1370    |ST-L    |2020AJ....160...83S
3295|CPD-62 6225                                                           |Star                              |21 22 39.3542446368 -61 29 40.244406576|333.1000976476505 -41.3806379157876| 12.405 -16.163     |9.71     |~              |    ~     ~    |    1|  524.367   pc  | -13.3700    +13.3700    |ST-L    |2020AJ....160...83S
3296|CD-61 6580                                                            |Star                              |21 22 38.4478832208 -61 27 01.098939348|333.1561629970260 -41.3943563267610|  14.829 -1.110     |9.85     |~              |    ~     ~    |    1|  524.436   pc  | -14.8900    +14.8900    |ST-L    |2020AJ....160...83S
3297|TYC 9102-705-1                                                        |Star                              |21 18 58.8474005352 -61 27 03.538637244|333.3532225887489 -40.9829785298675|  14.808 -9.960     |10.70    |~              |    ~     ~    |    1| 2055.498   pc  | -63.3761    +63.3761    |paral   |2020yCat.1350....0G
3298|TYC 9102-708-1                                                        |Star                              |21 16 19.2280214448 -61 25 41.737233144|333.5191156391608 -40.6899527096871|   2.031 -7.877     |10.40    |~              |    ~     ~    |    1|  769.468   pc  |  -7.9931     +7.9931    |paral   |2020yCat.1350....0G
3299|TYC 9102-786-1                                                        |Star                              |21 16 57.0356917704 -61 23 34.508021784|333.5311719335885 -40.7727068602310|    2.997 2.911     |10.910   |~              |    ~     ~    |    1|  260.706   pc  |  -4.6450     +4.6450    |ST-L    |2020AJ....160...83S
3300|TYC 9103-781-1                                                        |High Proper Motion Star           |21 25 59.8520426712 -60 46 41.538338184|333.8087582764136 -42.0096917240590| 20.022 -45.923     |10.890   |~              |    ~     ~    |    1|  314.794   pc  |  -5.2160     +5.2160    |ST-L    |2020AJ....160...83S
3301|TYC 9102-242-1                                                        |Star                              |21 24 28.8493760952 -60 42 56.350338192|333.9746000986215 -41.8579517055826|  8.066 -17.910     |10.661   |~              |    ~     ~    |    1|  275.372   pc  |  -3.9840     +3.9840    |ST-L    |2020AJ....160...83S
3302|TYC 9103-1182-1                                                       |Star                              |21 26 32.6574783096 -60 07 38.907442092|334.5992931751841 -42.3004604314849|  -18.645 5.291     |10.950   |~              |    ~     ~    |    1|  276.091   pc  |  -4.4820     +4.4820    |ST-L    |2020AJ....160...83S
3303|CD-60 7715                                                            |Star                              |21 28 24.8035523880 -59 34 23.012486364|335.1944835478494 -42.7126911508794|  19.262 -3.419     |10.440   |~              |    ~     ~    |    1| 1094.820   pc  | -65.1400    +65.1400    |ST-L    |2020AJ....160...83S
3304|CD-60 7703                                                            |Star                              |21 25 13.7231375496 -59 41 54.265410780|335.2206050078607 -42.2916062012985| 18.577 -26.762     |10.63    |~              |    ~     ~    |    1|  387.327   pc  |  -1.9653     +1.9653    |paral   |2020yCat.1350....0G
3305|CD-60 7697                                                            |Star                              |21 23 22.2168684816 -59 45 59.635823616|335.2385800102521 -42.0480729169397|    4.515 1.270     |10.479   |~              |    ~     ~    |    1|  870.257   pc  | -27.9300    +27.9300    |ST-L    |2020AJ....160...83S
3306|HD 203060                                                             |Star                              |21 22 19.3314283200 -59 39 47.221113024|335.4280437350694 -41.9567524145358|-16.383 -20.333     |10.568   |F7/8           |    ~     ~    |    1|  342.337   pc  |  -6.7920     +6.7920    |ST-L    |2020AJ....160...83S
3307|HD 201923                                                             |Star                              |21 15 12.7630344504 -60 19 20.692049916|334.9626553992240 -40.9065581393057|  -7.419 -2.435     |10.40    |F7/8V          |    ~     ~    |    1|  229.658   pc  |  -3.0274     +3.0274    |paral   |2020yCat.1350....0G
3308|HD 202550                                                             |Star                              |21 18 57.1477249368 -59 50 50.420851836|335.3738676278157 -41.4959334724227|   3.378 11.551     |10.583   |F5(V)          |    ~     ~    |    1|  334.334   pc  |  -5.3180     +5.3180    |ST-L    |2020AJ....160...83S
3309|TYC 8805-477-1                                                        |Star                              |21 15 08.3171306928 -59 39 44.443551096|335.8014113532944 -41.0938356436402|  7.734 -19.904     |10.987   |~              |    ~     ~    |    1|  728.713   pc  | -28.9100    +28.9100    |ST-L    |2020AJ....160...83S
3310|CD-60 7659                                                            |Star                              |21 15 23.0802656376 -59 29 42.606273840|336.0016513903013 -41.1724004321159|   7.619 -5.285     |10.33    |~              |    ~     ~    |    1| 1107.665   pc  | -17.7904    +17.7904    |paral   |2020yCat.1350....0G
3311|HD 201933                                                             |High Proper Motion Star           |21 15 17.3095136472 -58 55 46.489715184|336.7269670509532 -41.3228890618984| 52.816 -74.228     |6.93     |G8III          |    ~     ~    |    1|  176.354   pc  |  -0.6998     +0.6998    |paral   |2020yCat.1350....0G
3312|HD 202160                                                             |Star                              |21 16 28.1593976304 -58 46 17.438808072|336.8712285938087 -41.5142025540304| 33.655 -32.611     |8.71     |F7V            |    ~     ~    |    1|   80.424   pc  |  -0.1009     +0.1009    |paral   |2020yCat.1350....0G
3313|TYC 8818-665-1                                                        |Star                              |21 29 01.9652527656 -58 28 24.666008952|336.5699967377742 -43.1613522421140|   0.722 -0.604     |10.629   |~              |    ~     ~    |    1|  594.260   pc  | -18.7900    +18.7900    |ST-L    |2020AJ....160...83S
3314|TYC 8818-885-1                                                        |Star                              |21 27 55.4782029768 -58 31 36.974134632|336.5666498411091 -43.0070826225946|   28.326 4.226     |10.882   |~              |    ~     ~    |    1|  432.073   pc  | -14.8400    +14.8400    |ST-L    |2020AJ....160...83S
3315|CD-58 8076                                                            |Star                              |21 29 54.0137482368 -58 16 26.742202284|336.7760139509604 -43.3350863978736|   0.696 -1.612     |9.95     |~              |    ~     ~    |    1|  808.277   pc  | -24.1725    +24.1725    |paral   |2020yCat.1350....0G
3316|HD 204020                                                             |Star                              |21 27 55.6388781912 -57 07 38.088899436|338.3871526928564 -43.4541119389297| -10.594 -4.556     |9.62     |K1III          |    ~     ~    |    1| 1086.838   pc  | -16.7733    +16.7733    |paral   |2020yCat.1350....0G
3317|TYC 8814-384-1                                                        |Star                              |21 28 42.5444486928 -57 04 34.271845824|338.4087124354578 -43.5708643797029|  6.785 -10.927     |10.380   |~              |    ~     ~    |    1|  773.001   pc  | -23.6900    +23.6900    |ST-L    |2020AJ....160...83S
3318|HD 203497                                                             |High Proper Motion Star           |21 24 45.8496432504 -57 15 25.852723740|338.3955220084330 -43.0064212290011| 37.685 -48.611     |7.18     |A6/7III/IV     |    ~     ~    |    1|  195.633   pc  |  -0.7999     +0.7999    |paral   |2020yCat.1350....0G
3319|TYC 8810-225-1                                                        |Spectroscopic Binary              |21 28 57.0161807448 -55 53 38.538958776|339.9548607307318 -43.9605648576899|   -2.042 4.095     |10.76    |~              |    ~     ~    |    1| 1678.416   pc  | -63.1026    +63.1026    |paral   |2020yCat.1350....0G
3320|HD 203692                                                             |Star                              |21 25 57.7331232984 -55 53 17.487519648|340.1297272163654 -43.5611152253089|  3.625 -16.487     |8.00     |K3III/IV       |    ~     ~    |    1|  726.744   pc  | -12.0948    +12.0948    |paral   |2020yCat.1350....0G
3321|IRAS 21128-5700                                                       |Long-Period Variable Candidate    |21 16 29.0297660136 -56 48 23.364364752|339.4069968975963 -42.0491551378261|   8.584 -0.672     |10.08    |~              |    ~     ~    |    1| 1497.68    pc  | -51.8143    +51.8143    |paral   |2020yCat.1350....0G
3322|CD-57 8246                                                            |High Proper Motion Star           |21 17 05.0127238968 -56 41 15.282639672|339.5333508761323 -42.1592028033956|-25.382 -51.827     |10.669   |~              |    ~     ~    |    1|  202.589   pc  |  -2.2190     +2.2190    |ST-L    |2020AJ....160...83S
3323|TYC 8797-895-1                                                        |Star                              |21 16 22.3685739624 -56 00 03.908708532|340.4636838744820 -42.2363390089185|   -2.887 0.290     |10.649   |~              |    ~     ~    |    1| 1616.530   pc  |-132.8000   +132.8000    |ST-L    |2020AJ....160...83S
3324|HD 202487                                                             |Spectroscopic Binary              |21 18 17.5052130768 -55 07 46.890714540|341.5209790603797 -42.7104253008198| -19.603 -3.902     |8.67     |F8V            |    ~     ~    |    1|  245.779   pc  |  -8.1220     +8.1220    |ST-L    |2020AJ....160...83S
3325|TYC 8797-125-1                                                        |Star                              |21 18 02.0353459920 -55 08 17.443509360|341.5217396468871 -42.6726167710020| 13.197 -45.258     |10.964   |~              |    ~     ~    |    1|  247.463   pc  |  -3.1820     +3.1820    |ST-L    |2020AJ....160...83S
3326|HD 202063                                                             |Spectroscopic Binary              |21 15 42.2069662200 -54 55 55.916829480|341.8988250575396 -42.3956766902385|   18.301 9.922     |10.015   |F0IV           |    ~     ~    |    1|  462.604   pc  | -15.7800    +15.7800    |ST-L    |2020AJ....160...83S
3327|HD 203228                                                             |Star                              |21 23 00.8591992776 -55 26 34.088949816|340.8756972067278 -43.2825584277735|  -0.934 -6.188     |9.16     |K0III          |    ~     ~    |    1|  435.275   pc  |  -3.0125     +3.0125    |paral   |2020yCat.1350....0G
3328|TYC 8810-122-1                                                        |Star                              |21 21 00.0278 -54 26 05.822            |342.3152463 -43.2559054            |   9.599 -7.284     |10.990   |~              |    ~     ~    |    1|  520.393   pc  | -38.4000    +38.4000    |ST-L    |2020AJ....160...83S
3329|HD 203011                                                             |Star                              |21 21 30.1209487968 -53 21 02.890010052|343.7434999878146 -43.5793382039758| 27.213 -22.432     |8.50     |F0IV           |    ~     ~    |    1|  223.624   pc  |  -1.0652     +1.0652    |paral   |2020yCat.1350....0G
3330|HD 202918                                                             |Star                              |21 20 52.8739801680 -53 13 23.094597036|343.9437632371860 -43.5172749270968|  19.653 -1.674     |9.45     |K2III          |    ~     ~    |    1|  496.983   pc  | -11.9600    +11.9600    |ST-L    |2020AJ....160...83S
3331|HD 202917                                                             |Eruptive Variable                 |21 20 49.9576157736 -53 02 03.155667216|344.2001934216064 -43.5514250751104| 31.427 -95.587     |8.67     |G7V            |    ~     ~    |    1|   46.772   pc  |  -0.1237     +0.1237    |ST-L    |2020AJ....160...83S
3332|CD-53 8800                                                            |Star                              |21 18 19.0610254464 -53 11 57.544742544|344.0890343344355 -43.1475379626755|  7.790 -26.149     |10.747   |~              |    ~     ~    |    1|  364.043   pc  |  -7.2440     +7.2440    |ST-L    |2020AJ....160...83S
3333|HD 202296                                                             |Star                              |21 16 50.8508474040 -53 14 38.977251972|344.0913628993241 -42.9229673152969|-11.547 -14.093     |9.14     |K2III          |    ~     ~    |    1|  619.042   pc  |  -6.0931     +6.0931    |paral   |2020yCat.1350....0G
3334|TYC 8806-266-1                                                        |Star                              |21 26 25.8166228368 -53 08 00.274607268|343.7989735163889 -44.3469809804053|   0.671 -4.978     |10.90    |~              |    ~     ~    |    1| 1058.313   pc  | -16.8004    +16.8004    |paral   |2020yCat.1350....0G
3335|HD 203126                                                             |Star                              |21 22 07.4041882368 -52 42 36.970142472|344.5790598330911 -43.8118162342837|   6.485 12.268     |8.83     |F3V            |    ~     ~    |    1|  190.396   pc  |  -0.6090     +0.6090    |paral   |2020yCat.1350....0G
3336|TYC 8806-30-1                                                         |Star                              |21 23 23.7459942120 -52 44 57.393670200|344.4675290673821 -43.9911733287653|   3.586 -3.662     |10.17    |~              |    ~     ~    |    1|  613.271   pc  |  -5.6791     +5.6791    |paral   |2020yCat.1350....0G
