C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:16:32

dec< 0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2506

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
77  |HD 2120                                                                                                  |High Proper Motion Star             |00 25 13.8152391048 -44 27 39.193748676|318.1174649425002 -71.8865231823215| 62.513 -29.486   |9.74     |G3/5V          |    ~     ~    |    1|  184.536   pc  |  -0.5176     +0.5176    |paral   |2020yCat.1350....0G
78  |HD 2144                                                                                                  |Star                                |00 25 25.2611193336 -44 22 47.624236176|318.0988355374848 -71.9741956925992|   24.944 0.809   |8.99     |K2III          |    ~     ~    |    1|  781.983   pc  | -10.7012    +10.7012    |paral   |2020yCat.1350....0G
79  |HD 2479                                                                                                  |High Proper Motion Star             |00 28 18.3102075312 -44 23 20.844697524|316.4993986890515 -72.1246740995964|  3.032 -78.766   |10.108   |G5/6V          |    ~     ~    |    1|  115.463   pc  |  -0.6985     +0.6985    |ST-L    |2020AJ....160...83S
80  |CD-44 100                                                                                                |Star                                |00 26 10.8020430936 -44 01 51.464902512|318.0481955420387 -72.3483828369457| -0.707 -10.440   |10.405   |~              |    ~     ~    |    1|  700.628   pc  | -28.0500    +28.0500    |ST-L    |2020AJ....160...83S
81  |CD-44 103                                                                                                |High Proper Motion Star             |00 27 45.0615890232 -44 11 33.900588816|317.0000122223964 -72.2827446471112|-55.069 -44.784   |10.49    |~              |    ~     ~    |    1|  208.333   pc  |  -0.8073     +0.8073    |paral   |2020yCat.1350....0G
82  |CD-43 115                                                                                                |Double or Multiple Star             |00 28 13.8981489408 -42 52 07.983012252|318.1151792356625 -73.5684935159807|  12.362 11.980   |10.722   |~              |    ~     ~    |    1|  310.174   pc  |  -1.2892     +1.2892    |paral   |2020yCat.1350....0G
83  |CD-43 116                                                                                                |Star                                |00 28 18.8726875152 -42 43 05.092732164|318.2347353309880 -73.7162742302547|   -3.627 3.111   |10.86    |~              |    ~     ~    |    1|  661.507   pc  |  -6.6076     +6.6076    |paral   |2020yCat.1350....0G
84  |CD-44 110                                                                                                |Star                                |00 28 38.1849700056 -43 47 56.636521476|316.8869874559343 -72.7060496935914|  -5.211 -1.739   |10.71    |~              |    ~     ~    |    1|  478.126   pc  |  -3.0176     +3.0176    |paral   |2020yCat.1350....0G
85  |CD-44 106                                                                                                |Double or Multiple Star             |00 28 15.2557383696 -43 18 45.800659368|317.6147884405780 -73.1484020581057|   5.519 -2.828   |10.620   |~              |    ~     ~    |    1| 2427.440   pc  |-285.8000   +285.8000    |ST-L    |2020AJ....160...83S
86  |CD-44 108                                                                                                |Star                                |00 28 20.7220538520 -43 26 28.407113448|317.4244071486086 -73.0312685828584|   7.708 -1.691   |10.409   |~              |    ~     ~    |    1|  916.817   pc  | -47.5400    +47.5400    |ST-L    |2020AJ....160...83S
87  |CD-44 109                                                                                                |Star                                |00 28 28.5947793768 -43 24 53.449848252|317.3743239160293 -73.0636725841791|   31.467 1.885   |10.80    |~              |    ~     ~    |    1|  540.103   pc  |  -3.7922     +3.7922    |paral   |2020yCat.1350....0G
88  |CD-45 100                                                                                                |Star                                |00 22 55.7118335616 -44 51 00.828037116|318.9254079988803 -71.3821977977399| -15.791 -5.826   |10.919   |~              |    ~     ~    |    1|  275.762   pc  |  -3.8420     +3.8420    |ST-L    |2020AJ....160...83S
89  |HD 2546                                                                                                  |High Proper Motion Star             |00 28 52.1849854536 -44 36 25.011694908|315.9838958793831 -71.9449460852193| 78.542 -27.623   |8.50     |F3V            |    ~     ~    |    1|  155.441   pc  |  -1.8556     +1.8556    |paral   |2020yCat.1350....0G
90  |CD-45 133                                                                                                |Star                                |00 28 19.3493297400 -44 39 41.144429556|316.2343342459647 -71.8649679848058| -28.693 -9.431   |10.95    |~              |    ~     ~    |    1|  242.242   pc  |  -0.9741     +0.9741    |paral   |2020yCat.1350....0G
91  |CD-45 138                                                                                                |Star                                |00 28 40.2535725288 -44 36 00.465308568|316.0996412312613 -71.9414491201441|   10.438 5.089   |9.86     |~              |    ~     ~    |    1| 1297.859   pc  | -24.9297    +24.9297    |paral   |2020yCat.1350....0G
92  |TYC 7530-876-1                                                                                           |Star                                |00 22 51.6039940584 -43 34 59.144870604|320.4267510419448 -72.5612307955208|    8.569 1.708   |10.883   |~              |    ~     ~    |    1| 1125.240   pc  | -74.9400    +74.9400    |ST-L    |2020AJ....160...83S
93  |TYC 7531-301-1                                                                                           |Star                                |00 29 39.4026221616 -43 44 07.634757660|316.3549873286953 -72.8206207484599|    9.302 0.433   |10.878   |~              |    ~     ~    |    1|  565.515   pc  | -32.0400    +32.0400    |ST-L    |2020AJ....160...83S
94  |TYC 7531-625-1                                                                                           |High Proper Motion Star             |00 28 40.7115409296 -44 37 28.447359240|316.0730254363013 -71.9184062018272| 78.995 -47.232   |10.98    |~              |    ~     ~    |    1|  489.524   pc  |  -7.3807     +7.3807    |paral   |2020yCat.1350....0G
