C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
82  |HD 139734                                                             |Double or Multiple Star        |15 41 13.6969673146 -38 06 09.480696750|336.0558493595403 +13.6152430376675| -18.291 -6.859     |10.286   |F2V                |    ~     ~          
83  |HD 139884                                                             |High Proper Motion Star        |15 41 59.8771229808 -37 35 41.666652276|336.5025180146141 +13.9196408209499|-50.012 -64.181     |9.84     |K2III              |    ~     ~          
84  |HD 139943                                                             |Star                           |15 42 26.5810335648 -37 35 23.940057264|336.5768083227266 +13.8686865176817|  -6.374 -6.111     |9.79     |A1V                |    ~     ~          
85  |* h Lup                                                               |High Proper Motion Star        |15 42 38.3165019600 -37 25 29.781164856|336.7139621392038 +13.9736714835718|-48.880 -17.284     |5.240    |G8/K0III           |    ~     ~          
86  |V* KV Lup                                                             |Eclipsing Binary               |15 43 10.9505253528 -37 55 05.668922424|336.4840465434918 +13.5208415894264|-21.853 -16.687     |8.687    |F3V                |    ~     ~          
87  |HD 140106                                                             |Star                           |15 43 21.4773895776 -38 01 54.214110012|336.4390646087855 +13.4105664794912|  -7.031 -4.865     |10.16    |B9V                |    ~     ~          
88  |HD 140196                                                             |Star                           |15 43 48.1076449056 -37 44 47.246676072|336.6926348465300 +13.5786439845670|   2.739 -4.254     |9.24     |K3/4III            |    ~     ~          
89  |HD 140375                                                             |Star                           |15 44 41.7388356456 -38 08 20.606061984|336.5811421375090 +13.1622006731688|  -4.731 -6.739     |9.98     |K2/3(III)          |    ~     ~          
90  |V* FQ Lup                                                             |Long-Period Variable Candidate |15 43 33.6114415776 -37 10 10.163263476|337.0259363261728 +14.0586844679786|  11.769 -1.495     |8.58     |M5/6(II)           |    ~     ~          
91  |HD 139142                                                             |Star                           |15 37 55.9896885048 -38 13 06.665699856|335.4560396210586 +13.9211508813833|  -3.112 -8.276     |9.80     |K1(IV)             |    ~     ~          
92  |HD 139292                                                             |Star                           |15 38 46.8423450240 -38 21 38.163147984|335.5024846564549 +13.7071150927641|   -1.445 2.393     |8.94     |K4III              |    ~     ~          
93  |HD 139561                                                             |Star                           |15 40 12.1736268648 -38 17 06.896874228|335.7768092710962 +13.5956641425819|-21.948 -28.317     |10.07    |F3V                |    ~     ~          
94  |HD 139767                                                             |Star                           |15 41 27.2661927024 -38 14 35.874328632|336.0023406148924 +13.4771991992527|  6.422 -10.844     |9.59     |F5V                |    ~     ~          
95  |HD 139868                                                             |Star                           |15 42 01.2363764112 -38 13 09.492413088|336.1073917482902 +13.4272072465486|  11.284 -6.269     |10.54    |G6(V)              |    ~     ~          
