C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:00:59

Vmag< 11&dec< 0&rah >=15.5&rah< 15.75
-------------------------------------

Number of objects : 6376

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |    spec. type     |      ang. size      
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|-------------------|---------------------
141 |HD 140077                                                             |Star                           |15 43 14.5426248984 -39 29 22.398929376|335.4906549071499 +12.2832715334993|   2.818 -4.341     |9.96     |K1/2(III)          |    ~     ~          
142 |CD-38 10503                                                           |Pulsating Variable             |15 36 43.1806021368 -39 00 22.474705968|334.7702877408481 +13.4387091987106|   4.964 -9.113     |10.14    |~                  |    ~     ~          
143 |AKARI-IRC-V1 J1534337-373847                                          |Long-Period Variable Candidate |15 34 33.7747131768 -37 38 47.263420140|335.2672447571630 +14.7787173525497|  -8.781 -3.273     |10.87    |~                  |    ~     ~          
144 |CD-38 10494                                                           |Star                           |15 36 08.2894433832 -38 39 17.939783412|334.8955978477100 +13.7871003515168|  -8.899 -6.498     |9.76     |~                  |    ~     ~          
145 |CD-36 10293                                                           |Star                           |15 36 14.8966439712 -37 11 15.341442972|335.8299237250245 +14.9423064022519|  -1.800 -4.469     |10.48    |~                  |    ~     ~          
146 |AKARI-IRC-V1 J1536565-370446                                          |Long-Period Variable Candidate |15 36 56.5115054832 -37 04 47.189470440|336.0113642499684 +14.9439002158823|  -2.794 -9.165     |10.29    |~                  |    ~     ~          
147 |CD-36 10302                                                           |Star                           |15 37 06.2420483088 -36 46 34.735142064|336.2294845901322 +15.1647425073269|  -8.635 -6.630     |10.87    |~                  |    ~     ~          
148 |TYC 7326-868-1                                                        |Star                           |15 34 23.5006809840 -37 17 25.533083328|335.4607412784091 +15.0836124114220|-24.346 -16.721     |10.32    |~                  |    ~     ~          
149 |TYC 7326-1086-1                                                       |Star                           |15 34 31.6200631968 -37 14 15.300287916|335.5159496028989 +15.1096131198181| -15.769 -6.761     |10.67    |~                  |    ~     ~          
150 |TYC 7339-49-1                                                         |Star                           |15 40 33.6540802080 -36 55 56.093420172|336.6949130372914 +14.6168490753670|-15.028 -18.598     |10.76    |~                  |    ~     ~          
151 |TYC 7836-294-1                                                        |Star                           |15 38 34.2166625904 -37 42 16.476223284|335.8820494319566 +14.2515633370350| -15.141 -8.180     |10.91    |~                  |    ~     ~          
152 |TYC 7836-501-1                                                        |Star                           |15 39 31.5814389936 -38 12 07.084420704|335.7215578817908 +13.7429692888333|  -1.842 -3.028     |10.77    |~                  |    ~     ~          
153 |CRTS J153456.1-374554                                                 |Eclipsing Binary               |15 34 56.2741764312 -37 45 54.389595816|335.2547059072689 +14.6393223902667|  -6.115 -5.725     |10.81    |~                  |    ~     ~          
154 |TYC 7836-878-1                                                        |Star                           |15 37 56.4196807824 -39 05 15.683814528|334.9133806908707 +13.2303454865285|-19.793 -21.144     |10.14    |~                  |    ~     ~          
155 |TYC 7836-1082-1                                                       |Star                           |15 35 32.8825289616 -38 36 05.321020572|334.8340736922094 +13.8992483231384|  -8.758 -7.980     |10.37    |~                  |    ~     ~          
156 |TYC 7836-1132-1                                                       |Star                           |15 37 20.4645036264 -38 54 44.232374016|334.9276230328883 +13.4404154292436|  -5.103 -2.490     |10.97    |~                  |    ~     ~          
157 |TYC 7836-1210-1                                                       |Star                           |15 38 36.4321787208 -38 49 48.340285392|335.1801440560907 +13.3558903287825|  30.137 -7.516     |10.49    |~                  |    ~     ~          
158 |TYC 7836-1334-1                                                       |Star                           |15 36 48.9558545976 -38 30 36.661362156|335.0943806496543 +13.8224075306530|  12.398 -3.697     |10.59    |~                  |    ~     ~          
159 |TYC 7836-1349-1                                                       |Star                           |15 38 24.1452961752 -39 03 32.326826328|335.0044545517159 +13.1986162649844|    6.090 2.522     |10.6     |~                  |    ~     ~          
160 |TYC 7836-1354-1                                                       |Star                           |15 38 23.2600483656 -38 37 47.466490476|335.2707356726950 +13.5407344019349| 38.546 -25.003     |10.62    |~                  |    ~     ~          
161 |TYC 7836-1560-1                                                       |Star                           |15 34 22.3059982824 -38 32 15.426336048|334.6840734506906 +14.0883411008611|   5.097 -0.045     |10.34    |~                  |    ~     ~          
162 |TYC 7836-1619-1                                                       |Star                           |15 33 51.2231167104 -38 19 35.512662144|334.7304888042103 +14.3181795278792|   1.476 -9.033     |10.99    |~                  |    ~     ~          
163 |TYC 7836-1661-1                                                       |Star                           |15 38 50.7779711016 -38 46 27.194758428|335.2531148591685 +13.3717510177041|  -9.131 -6.361     |10.96    |~                  |    ~     ~          
164 |TYC 7837-291-1                                                        |Star                           |15 43 12.4368258816 -37 42 17.868788892|336.6248582320449 +13.6844881337739| -5.214 -12.087     |10.76    |~                  |    ~     ~          
165 |TYC 7837-1060-1                                                       |Star                           |15 43 06.2821340016 -38 05 40.790953392|336.3586638230531 +13.3924265239171| -7.032 -19.520     |10.76    |~                  |    ~     ~          
166 |TYC 7837-1143-1                                                       |Star                           |15 40 36.7105922976 -38 17 54.947721696|335.8334165573692 +13.5357566164409| -6.451 -17.675     |10.51    |~                  |    ~     ~          
167 |TYC 7837-1437-1                                                       |Star                           |15 43 09.7816390272 -38 34 06.917633436|336.0647973915963 +13.0144277596356|  25.559 26.703     |10.70    |~                  |    ~     ~          
168 |TYC 7837-1718-1                                                       |Star                           |15 42 53.0096396808 -38 42 35.248305816|335.9308396573256 +12.9377600087156|   3.540 -0.552     |10.56    |~                  |    ~     ~          
169 |TYC 7837-1814-1                                                       |Star                           |15 43 00.9494492664 -38 39 36.091109736|335.9833316468429 +12.9607051735406|-14.167 -11.348     |10.52    |~                  |    ~     ~          
170 |TYC 7841-610-1                                                        |Star                           |15 44 51.7536215016 -39 28 56.981312508|335.7453831302493 +12.0941199765524| -29.805 -3.639     |10.87    |~                  |    ~     ~          
171 |HD 138045                                                             |Star                           |15 30 37.5181685808 -33 20 48.258483504|337.2977054246591 +18.6966570997277|-19.665 -16.331     |9.13     |G8III/IV           |    ~     ~          
172 |HD 138297                                                             |Star                           |15 32 21.0017275704 -33 16 43.529248308|337.6441053815708 +18.5332744467713|    0.342 4.763     |8.61     |A3III/IV           |    ~     ~          
173 |HD 138046                                                             |Star                           |15 30 38.2576460088 -33 34 51.074953212|337.1513947988250 +18.5080083915747| -3.388 -24.364     |7.52     |G8/K0III           |    ~     ~          
174 |CD-33 10580                                                           |Star                           |15 32 52.3719372192 -33 32 26.233531044|337.5681368695143 +18.2589016898419|-18.184 -25.487     |10.22    |F5                 |    ~     ~          
