C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:10:40

dec< 0&rah >=19.0&rah< 19.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6795

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
6470|TYC 8378-761-1                                                                                           |Star                                  |19 03 58.4122235640 -47 58 52.175940960|348.9733619830219 -21.7976878962249|  -5.708 -4.121   |10.41    |~              |    ~     ~    |    1|  922.254   pc  | -21.4339    +21.4339    |paral   |2020yCat.1350....0G
6471|CD-47 12653                                                                                              |Star                                  |19 00 06.1026277680 -46 56 16.558461780|349.8326388977437 -20.8617847143037|  2.350 -11.180   |9.94     |A7             |    ~     ~    |    1|  343.548   pc  |  -1.8884     +1.8884    |paral   |2020yCat.1350....0G
6472|TYC 8378-1105-1                                                                                          |Star                                  |19 06 28.9580835936 -47 26 56.589134604|349.6536730863687 -22.0485781284828| 13.417 -28.213   |10.46    |~              |    ~     ~    |    1|  459.495   pc  | -14.8640    +14.8640    |paral   |2020yCat.1350....0G
6473|CD-47 12751                                                                                              |Star                                  |19 08 43.4343701808 -47 08 42.087281964|350.0851071726582 -22.3265099064307|  2.258 -11.292   |10.42    |~              |    ~     ~    |    1|  823.995   pc  | -13.0362    +13.0362    |paral   |2020yCat.1350....0G
6474|TYC 8379-1425-1                                                                                          |Star                                  |19 08 55.6352110176 -46 58 49.678715748|350.2663238535381 -22.3132614167887|  -2.873 -2.256   |10.783   |~              |    ~     ~    |    1|  444.978   pc  | -16.3300    +16.3300    |ST-L    |2020AJ....160...83S
6475|HD 178347                                                                                                |Star                                  |19 10 28.4457101976 -46 47 46.169613600|350.5380287450274 -22.5150687509839|  0.552 -11.939   |10.17    |A1III/IV       |    ~     ~    |    1|  374.280   pc  |  -8.6573     +8.6573    |paral   |2020yCat.1350....0G
6476|HD 178114                                                                                                |Spectroscopic Binary                  |19 09 32.4140590944 -46 46 08.370044076|350.5176304234673 -22.3540071929397|  11.623 -8.968   |9.71     |A7II/III       |    ~     ~    |    1|  272.227   pc  |  -2.4085     +2.4085    |paral   |2020yCat.1350....0G
6477|HD 178732                                                                                                |Spectroscopic Binary                  |19 11 56.8375374024 -46 08 40.571594952|351.2921701170984 -22.5762619574455|-19.487 -11.661   |8.03     |K2/3III        |    ~     ~    |    1|  214.620   pc  |  -8.6043     +8.6043    |paral   |2020yCat.1350....0G
6478|CD-47 12702                                                                                              |Star                                  |19 04 05.8490372424 -47 06 42.580447632|349.8745745448600 -21.5635042917835| 15.865 -22.955   |10.022   |~              |    ~     ~    |    1|  539.937   pc  | -19.2000    +19.2000    |ST-L    |2020AJ....160...83S
6479|HD 176690                                                                                                |Spectroscopic Binary                  |19 03 42.5003662968 -47 00 11.318360580|349.9650932428436 -21.4680401468822|  -2.333 -0.373   |8.25     |K4III          |    ~     ~    |    1|  696.864   pc  | -16.8024    +16.8024    |paral   |2020yCat.1350....0G
6480|HD 178793                                                                                                |Star                                  |19 12 05.9431360272 -45 17 58.530648300|352.1774211526910 -22.3628355219585|  8.655 -24.717   |9.11     |K0III          |    ~     ~    |    1|  441.677   pc  |  -2.3995     +2.3995    |paral   |2020yCat.1350....0G
6481|TYC 8375-632-1                                                                                           |Star                                  |19 10 17.9181663600 -45 30 46.243806732|351.8587583605315 -22.1212978838173|  3.835 -10.493   |10.68    |~              |    ~     ~    |    1|  767.224   pc  |  -9.7713     +9.7713    |paral   |2020yCat.1350....0G
6482|HD 179328                                                                                                |Star                                  |19 14 25.3596249984 -46 30 58.725639756|351.0321630611353 -23.0894226956003| 14.589 -10.480   |9.74     |K1/2(III)      |    ~     ~    |    1|  557.693   pc  |  -6.8114     +6.8114    |paral   |2020yCat.1350....0G
6483|HD 179299                                                                                                |Star                                  |19 14 12.5016731328 -45 25 21.528509016|352.1627459095813 -22.7530182748513|  3.512 -15.061   |8.76     |K3III          |    ~     ~    |    1|  618.047   pc  |  -9.2440     +9.2440    |paral   |2020yCat.1350....0G
6484|HD 176193                                                                                                |Star                                  |19 01 15.4305596256 -46 30 37.420438716|350.3332054312823 -20.9191765789554|    4.953 3.712   |8.95     |F0V            |    ~     ~    |    1|  188.087   pc  |  -0.7005     +0.7005    |paral   |2020yCat.1350....0G
6485|HD 175953                                                                                                |Star                                  |19 00 05.3543806632 -45 43 18.470966088|351.0674916872394 -20.4820857437770|  -2.868 -3.619   |9.23     |K2(III)        |    ~     ~    |    1|  786.411   pc  | -13.9768    +13.9768    |paral   |2020yCat.1350....0G
6486|HD 175981                                                                                                |Star                                  |19 00 07.1710998384 -45 07 05.985898032|351.6801236693566 -20.2965027861371| -2.716 -17.888   |9.30     |F0IV           |    ~     ~    |    1|  324.749   pc  |  -1.8667     +1.8667    |paral   |2020yCat.1350....0G
6487|TYC 8374-728-1                                                                                           |Star                                  |19 03 39.3317354928 -45 23 00.002334264|351.6187433410307 -20.9704689403056|  4.524 -27.590   |10.89    |~              |    ~     ~    |    1|  407.498   pc  |  -2.5738     +2.5738    |paral   |2020yCat.1350....0G
6488|TYC 7929-2384-1                                                                                          |Star                                  |19 09 22.4360013480 -44 49 21.364033440|352.5191632096758 -21.7638514587597|   4.458 -4.516   |10.697   |~              |    ~     ~    |    1|  904.523   pc  | -35.1500    +35.1500    |ST-L    |2020AJ....160...83S
6489|TYC 7929-2198-1                                                                                          |Star                                  |19 03 16.6782641208 -44 47 37.444050744|352.1967121177698 -20.7248476532229|  6.985 -15.185   |10.947   |~              |    ~     ~    |    1|  919.592   pc  | -51.7300    +51.7300    |ST-L    |2020AJ....160...83S
6490|HD 177689                                                                                                |Star                                  |19 07 50.7410477880 -44 15 35.928853056|353.0087692927904 -21.3356891466683| 26.255 -15.148   |9.43     |F3V            |    ~     ~    |    1|  204.796   pc  |  -0.8221     +0.8221    |paral   |2020yCat.1350....0G
6491|HD 177952                                                                                                |Star                                  |19 08 52.5877545024 -44 27 39.262866984|352.8624692340220 -21.5718568176100|   21.503 3.220   |9.09     |F7V            |    ~     ~    |    1|  190.549   pc  |  -0.7697     +0.7697    |paral   |2020yCat.1350....0G
6492|HD 177896                                                                                                |Star                                  |19 08 34.4546251728 -43 59 36.877712532|353.3238947286404 -21.3796266798576|    0.120 9.334   |9.41     |F0IV           |    ~     ~    |    1|  343.206   pc  |  -2.1438     +2.1438    |paral   |2020yCat.1350....0G
6493|TYC 7929-148-1                                                                                           |Star                                  |19 01 10.0686850080 -44 23 09.828365856|352.4832689665163 -20.2397970570843|   2.220 -4.133   |10.64    |~              |    ~     ~    |    1|  427.332   pc  |  -3.0314     +3.0314    |paral   |2020yCat.1350....0G
6494|TYC 7929-1714-1                                                                                          |Star                                  |19 03 23.0460323520 -44 14 33.432187092|352.7624169276554 -20.5703961254745| -11.108 -3.873   |10.15    |~              |    ~     ~    |    1|  618.506   pc  |  -8.1866     +8.1866    |paral   |2020yCat.1350....0G
6495|CD-44 13039                                                                                              |Star                                  |19 00 55.1918853840 -44 15 48.292480908|352.5919797681951 -20.1585559259877|   10.542 7.409   |10.35    |~              |    ~     ~    |    1|  924.642   pc  | -11.1145    +11.1145    |paral   |2020yCat.1350....0G
6496|TYC 7929-1351-1                                                                                          |Star                                  |19 04 11.5551594096 -43 46 59.844277308|353.2769498457858 -20.5638281390084|  -2.969 -2.471   |10.461   |~              |    ~     ~    |    1|  817.482   pc  | -31.9100    +31.9100    |ST-L    |2020AJ....160...83S
6497|TYC 7929-2061-1                                                                                          |Star                                  |19 05 58.2657827448 -43 48 11.023501968|353.3641815902397 -20.8748641940969|   6.219 -9.601   |10.667   |~              |    ~     ~    |    1|  862.777   pc  | -42.7200    +42.7200    |ST-L    |2020AJ....160...83S
6498|TYC 7929-1089-1                                                                                          |Star                                  |19 09 18.0961085664 -43 26 44.818006524|353.9271731992541 -21.3386069832311| 14.767 -20.603   |10.990   |~              |    ~     ~    |    1| 1060.290   pc  | -47.6800    +47.6800    |ST-L    |2020AJ....160...83S
6499|TYC 7929-391-1                                                                                           |High Proper Motion Star               |19 04 57.7610219064 -43 21 30.886478604|353.7543970706965 -20.5622849502345|  5.162 -80.200   |10.70    |~              |    ~     ~    |    1|  246.263   pc  |  -1.6253     +1.6253    |paral   |2020yCat.1350....0G
6500|TYC 7925-1332-1                                                                                          |Star                                  |19 05 56.6420020944 -42 36 09.048998628|354.5808730538375 -20.4931540005147| -1.693 -44.499   |10.76    |~              |    ~     ~    |    1|  185.470   pc  |  -0.6020     +0.6020    |paral   |2020yCat.1350....0G
6501|TYC 7925-1635-1                                                                                          |Star                                  |19 05 25.6131608856 -42 39 26.798987124|354.4929955488510 -20.4204464942502|    4.024 3.302   |10.97    |~              |    ~     ~    |    1|  542.564   pc  |  -5.0044     +5.0044    |paral   |2020yCat.1350....0G
6502|HD 177143                                                                                                |Star                                  |19 05 20.1319641168 -42 12 51.233176980|354.9350843358677 -20.2626617919401|   0.102 -5.619   |9.79     |A9V            |    ~     ~    |    1|  271.326   pc  |  -1.2441     +1.2441    |paral   |2020yCat.1350....0G
6503|CD-43 13213                                                                                              |Star                                  |19 14 31.5723250968 -42 48 57.057282000|354.8814638318115 -22.0591845707273|    3.862 1.554   |9.98     |~              |    ~     ~    |    1| 1169.727   pc  | -29.1440    +29.1440    |paral   |2020yCat.1350....0G
6504|HD 179298                                                                                                |Star                                  |19 13 57.4487852880 -42 34 10.379223624|355.1016501648874 -21.8862977727352| -20.124 15.532   |8.13     |G8II/III       |    ~     ~    |    1|  294.777   pc  |  -3.4931     +3.4931    |paral   |2020yCat.1350....0G
6505|CD-42 13999                                                                                              |Star                                  |19 13 21.2135451744 -42 30 05.344366248|355.1357550720273 -21.7597780236813|  -3.371 -6.173   |10.433   |~              |    ~     ~    |    1| 1283.850   pc  |-118.1000   +118.1000    |ST-L    |2020AJ....160...83S
6506|HD 178816                                                                                                |Star                                  |19 11 54.5518298688 -41 30 23.458494060|356.0660871486704 -21.2007581168774|  -9.327 -3.384   |8.80     |K0III          |    ~     ~    |    1|  330.393   pc  |  -1.8557     +1.8557    |paral   |2020yCat.1350....0G
6507|TYC 7925-986-1                                                                                           |Star                                  |19 05 07.4617539816 -41 50 42.939002652|355.2936873264537 -20.1064847601134|  30.696 -5.094   |10.68    |~              |    ~     ~    |    1|  214.367   pc  |  -0.7215     +0.7215    |paral   |2020yCat.1350....0G
6508|CD-41 13309                                                                                              |Star                                  |19 04 59.2996357176 -41 35 55.993866540|355.5329599466655 -20.0024410240204|  9.946 -24.917   |10.50    |F2             |    ~     ~    |    1|  349.223   pc  |  -2.5001     +2.5001    |paral   |2020yCat.1350....0G
6509|CD-41 13273                                                                                              |Star                                  |19 00 20.3578365864 -41 41 04.499216592|355.1419266263542 -19.2112000171490|   -0.347 5.900   |10.25    |~              |    ~     ~    |    1| 1891.790   pc  | -64.4196    +64.4196    |paral   |2020yCat.1350....0G
6510|HD 176406                                                                                                |Star                                  |19 02 01.7375246808 -40 39 45.974187972|356.2740126506861 -19.1661526460260|   3.185 -6.282   |7.13     |B5III          |    ~     ~    |    1|  497.537   pc  |  -9.8027     +9.8027    |paral   |2020yCat.1350....0G
6511|HD 177641                                                                                                |Star                                  |19 07 21.3025417632 -41 03 25.982138700|356.2321788760525 -20.2469581679255| 20.567 -25.163   |9.60     |K2/3(III)      |    ~     ~    |    1|  657.073   pc  |  -7.9441     +7.9441    |paral   |2020yCat.1350....0G
6512|TYC 7921-1082-1                                                                                          |Star                                  |19 08 28.9116593424 -41 07 37.558871400|356.2344581819940 -20.4704609007964| -15.112 -9.667   |10.65    |~              |    ~     ~    |    1|  252.239   pc  |  -0.9989     +0.9989    |paral   |2020yCat.1350....0G
6513|CD-40 13094                                                                                              |Star                                  |19 11 13.5400690152 -40 30 18.953112780|357.0410082386072 -20.7642465767051|   -4.617 5.181   |10.42    |~              |    ~     ~    |    1|  331.675   pc  |  -1.7271     +1.7271    |paral   |2020yCat.1350....0G
6514|HD 178441                                                                                                |Star                                  |19 10 31.0470717144 -40 19 46.972163568|357.1729149484813 -20.5805143586114|  10.293 -7.015   |9.47     |K1/2(III)      |    ~     ~    |    1|  717.000   pc  |  -8.8423     +8.8423    |paral   |2020yCat.1350....0G
6515|HD 178607                                                                                                |Star                                  |19 11 05.3172251568 -39 49 52.063927212|357.7146700647590 -20.5239641425722|  0.560 -17.737   |9.20     |F6/7V          |    ~     ~    |    1|  462.043   pc  |  -4.2270     +4.2270    |paral   |2020yCat.1350....0G
6516|CD-40 13036                                                                                              |Star                                  |19 05 32.6495068416 -40 41 35.312493084|356.4795393808316 -19.8045559112463| 23.201 -23.290   |10.31    |~              |    ~     ~    |    1|  729.874   pc  |  -8.4702     +8.4702    |paral   |2020yCat.1350....0G
6517|CD-40 13033                                                                                              |Star                                  |19 05 14.0281190136 -40 23 02.433904656|356.7687415908715 -19.6466635272771|   8.746 -9.808   |10.35    |A2             |    ~     ~    |    1|  775.494   pc  | -11.0656    +11.0656    |paral   |2020yCat.1350....0G
6518|HD 177428                                                                                                |Star                                  |19 06 27.8696421168 -40 00 02.798509140|357.2355313381619 -19.7412999849026| -1.270 -25.038   |8.79     |F2IV           |    ~     ~    |    1|  239.383   pc  |  -2.4985     +2.4985    |paral   |2020yCat.1350....0G
6519|CD-40 13037                                                                                              |Star                                  |19 05 35.9636676744 -40 00 29.321348976|357.1697008007655 -19.5874937457695|  9.482 -13.722   |10.53    |~              |    ~     ~    |    1|  288.035   pc  |  -1.5017     +1.5017    |paral   |2020yCat.1350....0G
6520|TYC 7921-117-1                                                                                           |Star                                  |19 04 32.1814436352 -39 32 43.705694436|357.5591043488734 -19.2397885707368|  -0.152 10.624   |10.55    |~              |    ~     ~    |    1|  406.702   pc  |  -2.5142     +2.5142    |paral   |2020yCat.1350....0G
6521|HD 177219                                                                                                |Star                                  |19 05 31.4635011120 -39 35 22.453308528|357.5830905902639 -19.4339255758698|  10.699 -7.091   |8.39     |A0V            |    ~     ~    |    1|  417.955   pc  |  -4.4196     +4.4196    |paral   |2020yCat.1350....0G
6522|CD-39 13167                                                                                              |Star                                  |19 12 57.5785103808 -39 22 09.293964096|358.3056652881140 -20.7170249803106|  -17.536 6.556   |10.16    |~              |    ~     ~    |    1|  361.768   pc  |  -1.5967     +1.5967    |paral   |2020yCat.1350....0G
6523|HD 178628                                                                                                |Star                                  |19 11 01.9044534504 -39 00 16.938746532|358.5448778908408 -20.2456116415796|   0.088 -8.368   |6.344    |B7II/III       |    ~     ~    |    1|  473.238   pc  |  -7.2337     +7.2337    |paral   |2020yCat.1350....0G
6524|CD-39 13081                                                                                              |Star                                  |19 02 41.4268004136 -39 07 38.049374640|357.8460390247921 -18.7615497487681| 13.722 -21.719   |10.16    |~              |    ~     ~    |    1|  209.336   pc  |  -0.7537     +0.7537    |paral   |2020yCat.1350....0G
6525|CD-38 13297                                                                                              |Star                                  |19 03 08.1401625504 -38 43 55.890091632|358.2691152869720 -18.7065266642517|   1.389 -7.121   |9.45     |~              |    ~     ~    |    1|  825.832   pc  |  -9.8890     +9.8890    |paral   |2020yCat.1350....0G
6526|TYC 7917-397-1                                                                                           |Star                                  |19 07 29.5139066328 -37 35 59.935970724|359.7041524896127 -19.1213008344126|   5.210 -2.225   |10.97    |~              |    ~     ~    |    1|  457.603   pc  |  -5.1094     +5.1094    |paral   |2020yCat.1350....0G
6527|TYC 7422-1417-1                                                                                          |Star                                  |19 11 08.5794828456 -36 45 50.627188944|000.7994458452713 -19.5203645913842|   0.054 -7.519   |10.87    |~              |    ~     ~    |    1|  440.083   pc  |  -3.0019     +3.0019    |paral   |2020yCat.1350....0G
6528|HD 178393                                                                                                |Star                                  |19 10 02.9803923864 -36 49 46.123981212|000.6553056079123 -19.3367703175028|-13.612 -17.318   |9.44     |G8IV           |    ~     ~    |    1|  306.786   pc  | -10.7106    +10.7106    |paral   |2020yCat.1350....0G
6529|TYC 7422-115-1                                                                                           |Star                                  |19 03 24.3974430120 -36 51 10.223713044|000.1441879736490 -18.0987447766953|  -6.051 -5.107   |10.68    |~              |    ~     ~    |    1|  540.249   pc  | -10.8867    +10.8867    |paral   |2020yCat.1350....0G
6530|HD 177076                                                                                                |Young Stellar Object                  |19 04 44.4144452256 -36 50 40.971078168|000.2513960135873 -18.3454773278198|  4.953 -26.242   |8.12     |A0V            |    ~     ~    |    1|  167.802   pc  |  -3.3395     +3.3395    |paral   |2020yCat.1350....0G
6531|HD 176961                                                                                                |Star                                  |19 04 13.0403480472 -36 54 16.885542780|000.1534741611496 -18.2687297154075|   1.274 -8.889   |9.44     |G6/8(III)      |    ~     ~    |    1|  373.497   pc  | -25.2495    +25.2495    |paral   |2020yCat.1350....0G
6532|IRAS 19002-3643                                                                                          |Star                                  |19 03 39.6154689792 -36 38 40.120453860|000.3680823417439 -18.0723185374037|  -0.384 -9.096   |10.84    |~              |    ~     ~    |    1|  897.102   pc  | -13.1181    +13.1181    |paral   |2020yCat.1350....0G
6533|TYC 7422-154-1                                                                                           |Star                                  |19 04 18.4042232064 -36 01 10.663330872|001.0308690599688 -17.9715732623719| 22.687 -17.767   |10.95    |~              |    ~     ~    |    1|  239.964   pc  |  -0.9962     +0.9962    |paral   |2020yCat.1350....0G
6534|CD-35 13102                                                                                              |Star                                  |19 01 19.9340335296 -35 04 48.815420376|001.7194045036237 -17.0674736253679|  -6.827 -2.314   |10.24    |~              |    ~     ~    |    1| 2074.689   pc  | -93.4040    +93.4040    |paral   |2020yCat.1350....0G
6535|CD-35 13103                                                                                              |Star                                  |19 01 21.1208585976 -34 53 28.054363200|001.9048866063295 -17.0017148194948| -1.806 -16.870   |9.62     |A5             |    ~     ~    |    1|  316.977   pc  | -11.8058    +11.8058    |paral   |2020yCat.1350....0G
6536|TYC 7417-2234-1                                                                                          |Star                                  |19 02 21.4128363984 -34 49 34.304569896|002.0472704737379 -17.1696022789395|   23.070 1.854   |10.84    |~              |    ~     ~    |    1|  498.430   pc  |  -3.2296     +3.2296    |paral   |2020yCat.1350....0G
6537|HD 179642                                                                                                |Star                                  |19 14 58.0871288448 -37 23 03.966478656|000.4476962377193 -20.4464837756460|  3.304 -10.933   |8.60     |A2/3V          |    ~     ~    |    1|  231.401   pc  |  -1.3065     +1.3065    |paral   |2020yCat.1350....0G
6538|HD 179672                                                                                                |Star                                  |19 14 54.6977745000 -36 21 44.240373936|001.4721003672829 -20.0979250467664|   0.022 -9.340   |9.14     |A3III          |    ~     ~    |    1|  680.457   pc  | -10.9273    +10.9273    |paral   |2020yCat.1350....0G
6539|CD-36 13436                                                                                              |Star                                  |19 14 37.0323907992 -35 52 06.306285072|001.9459997856072 -19.8763351951138|    6.700 9.655   |9.66     |F5             |    ~     ~    |    1|  264.417   pc  |  -1.2795     +1.2795    |paral   |2020yCat.1350....0G
6540|CD-35 13308                                                                                              |Star                                  |19 13 30.3452751600 -35 35 44.510324784|002.1374026858510 -19.5717201546871|   4.371 -3.023   |9.39     |K0             |    ~     ~    |    1|  570.646   pc  | -21.4920    +21.4920    |paral   |2020yCat.1350....0G
6541|CD-36 13356                                                                                              |Star                                  |19 09 42.1858331736 -36 06 39.802446648|001.3444300063866 -19.0247488575835| -1.461 -10.283   |9.54     |K0             |    ~     ~    |    1|  608.421   pc  |  -5.9228     +5.9228    |paral   |2020yCat.1350....0G
6542|CD-35 13302                                                                                              |Star                                  |19 13 03.7700632008 -35 07 59.831226984|002.5653798584348 -19.3285683192349|  -4.164 -1.507   |10.56    |~              |    ~     ~    |    1|  743.826   pc  | -10.4016    +10.4016    |paral   |2020yCat.1350....0G
6543|TYC 7431-1221-1                                                                                          |Star                                  |19 12 17.0002270536 -34 32 48.795898812|003.0890648107688 -18.9754139955680|   2.284 -4.723   |10.72    |~              |    ~     ~    |    1| 1877.582   pc  | -64.1607    +64.1607    |paral   |2020yCat.1350....0G
6544|TYC 7418-2638-1                                                                                          |Star                                  |19 07 52.8561793368 -34 55 13.793716416|002.3841384645035 -18.2602953097467|    3.109 0.012   |10.78    |~              |    ~     ~    |    1|  970.292   pc  |-138.5000   +138.5000    |ST-L    |2020AJ....160...83S
6545|CD-34 13461                                                                                              |Rotating Variable                     |19 11 34.7075155488 -34 35 09.008728224|002.9969125843593 -18.8530434109755| 11.284 -15.603   |9.985    |G9III          |    ~     ~    |    1|  215.666   pc  |  -0.6698     +0.6698    |paral   |2020yCat.1350....0G
6546|CD-34 13434                                                                                              |Star                                  |19 09 42.9707252736 -34 40 02.911083528|002.7741075591436 -18.5230609489781|  -4.028 -7.172   |10.21    |~              |    ~     ~    |    1|  623.053   pc  |  -5.6288     +5.6288    |paral   |2020yCat.1350....0G
6547|HD 178297                                                                                                |Star                                  |19 09 31.4239556088 -33 59 49.081862004|003.4198376460245 -18.2479706379378|   6.936 -5.562   |9.13     |A7III/IV       |    ~     ~    |    1|  308.233   pc  |  -5.4724     +5.4724    |paral   |2020yCat.1350....0G
6548|HD 177473                                                                                                |High Proper Motion Star               |19 06 24.0803910384 -34 12 02.002877748|002.9759728550978 -17.7178456277755|65.982 -119.354   |9.47     |G2/3V          |    ~     ~    |    1|   84.566   pc  |  -2.8963     +2.8963    |paral   |2020yCat.1350....0G
6549|HD 177974                                                                                                |Star                                  |19 08 19.1540000832 -33 56 14.638524288|003.3842773181998 -17.9934589663823|   0.668 -8.367   |9.27     |F0V            |    ~     ~    |    1|  348.068   pc  |  -3.5861     +3.5861    |paral   |2020yCat.1350....0G
6550|TYC 7414-239-1                                                                                           |Star                                  |19 06 46.8048407568 -33 43 08.848317144|003.4767523740692 -17.6165425159457|  0.169 -20.370   |10.65    |~              |    ~     ~    |    1| 1613.163   pc  | -51.7857    +51.7857    |paral   |2020yCat.1350....0G
6551|HD 178111                                                                                                |Star                                  |19 08 49.1761699536 -33 21 12.776778360|003.9961774696528 -17.8802499440233| -6.309 -11.036   |8.29     |K1III          |    ~     ~    |    1|  184.986   pc  |  -0.8281     +0.8281    |paral   |2020yCat.1350....0G
6552|HD 178868                                                                                                |Star                                  |19 11 39.8826528552 -33 44 41.695616832|003.8346001805304 -18.5737958619186|-36.803 -12.284   |8.30     |K2III          |    ~     ~    |    1|  285.927   pc  |  -1.8640     +1.8640    |paral   |2020yCat.1350....0G
6553|CD-32 14911                                                                                              |Star                                  |19 09 52.2052669872 -32 30 40.980524796|004.9046150811447 -17.7805285194443|  2.942 -13.561   |9.92     |~              |    ~     ~    |    1|  172.819   pc  |  -1.7890     +1.7890    |paral   |2020yCat.1350....0G
6554|CD-32 14915                                                                                              |Star                                  |19 10 03.6109246056 -32 25 50.873870100|004.9987607888060 -17.7885887078325|   0.082 -5.033   |9.55     |~              |    ~     ~    |    1|  543.272   pc  |  -4.6928     +4.6928    |paral   |2020yCat.1350....0G
6555|TYC 7417-510-1                                                                                           |Star                                  |19 00 25.9901703528 -33 46 22.768363632|002.9151694555238 -16.4102009849775|  15.192 -9.935   |10.35    |~              |    ~     ~    |    1|  734.754   pc  | -12.9027    +12.9027    |paral   |2020yCat.1350....0G
6556|TYC 7413-940-1                                                                                           |Star                                  |19 00 31.2327401424 -33 22 45.824885796|003.3024217287426 -16.2792020188600|  -6.629 -7.128   |10.59    |~              |    ~     ~    |    1|  607.238   pc  | -25.4600    +25.4600    |ST-L    |2020AJ....160...83S
6557|HD 177098                                                                                                |Star                                  |19 04 40.6535259312 -33 24 20.361188160|003.6144544374560 -17.0942109163837|   4.969 -2.553   |9.41     |K1(III)        |    ~     ~    |    1|  510.856   pc  |  -4.4626     +4.4626    |paral   |2020yCat.1350....0G
6558|TYC 7413-1960-1                                                                                          |Star                                  |19 02 15.4529515080 -32 46 50.103747624|004.0232210176683 -16.3910786179950|    0.709 9.149   |10.95    |~              |    ~     ~    |    1|  749.120   pc  |  -9.4278     +9.4278    |paral   |2020yCat.1350....0G
6559|TYC 7414-1270-1                                                                                          |Star                                  |19 09 38.2209783264 -32 07 03.028798668|005.2707241810439 -17.5910617937809|    2.296 2.207   |10.887   |~              |    ~     ~    |    1| 1815.910   pc  |-205.3000   +205.3000    |ST-L    |2020AJ....160...83S
6560|CD-32 14849                                                                                              |Star                                  |19 05 52.8277587336 -32 03 55.939620492|005.0137644321467 -16.8324501387364|   5.200 -0.849   |10.28    |~              |    ~     ~    |    1| 1044.386   pc  | -24.9780    +24.9780    |paral   |2020yCat.1350....0G
6561|CD-32 14843                                                                                              |Star                                  |19 05 30.2456784696 -31 55 13.483937100|005.1232679872975 -16.7042436712171|  -7.862 -5.833   |10.686   |~              |    ~     ~    |    1| 1085.340   pc  | -69.4200    +69.4200    |ST-L    |2020AJ....160...83S
6562|HD 177020                                                                                                |Star                                  |19 04 07.8046682736 -31 39 51.244914384|005.2564775025544 -16.3374183000264|   20.081 5.691   |9.37     |A2/4V          |    ~     ~    |    1|  424.268   pc  |  -8.6762     +8.6762    |paral   |2020yCat.1350....0G
6563|CD-30 16653                                                                                              |Star                                  |19 06 42.8155262928 -30 40 01.986896316|006.4363786856832 -16.4728544390942| -4.459 -13.513   |9.44     |~              |    ~     ~    |    1|  413.326   pc  |  -3.0409     +3.0409    |paral   |2020yCat.1350....0G
6564|V* V525 Sgr                                                                                              |Spectroscopic Binary                  |19 07 13.5300684936 -30 09 37.699300332|006.9689730896929 -16.3833907707909|   5.677 -8.294   |8.44     |A5/7V          |    ~     ~    |    1|  204.574   pc  |  -1.0630     +1.0630    |paral   |2020yCat.1350....0G
6565|TYC 7423-1617-1                                                                                          |Star                                  |19 12 20.0197743216 -31 06 41.250304332|006.4738512733478 -17.7573070645910|   1.003 -8.916   |10.74    |~              |    ~     ~    |    1|  500.576   pc  |  -8.0936     +8.0936    |paral   |2020yCat.1350....0G
6566|HD 179696                                                                                                |Star                                  |19 14 49.9756472256 -30 50 14.782088904|006.9473638869883 -18.1562729237435|  -3.130 -0.110   |7.80     |G8III          |    ~     ~    |    1|  232.126   pc  |  -6.1426     +6.1426    |paral   |2020yCat.1350....0G
6567|TYC 7423-1416-1                                                                                          |Star                                  |19 12 58.5589040208 -30 35 47.567386824|007.0298469368307 -17.6967577358701|   0.734 -9.231   |10.12    |~              |    ~     ~    |    1| 1004.924   pc  | -17.7738    +17.7738    |paral   |2020yCat.1350....0G
6568|CD-30 16801                                                                                              |Star                                  |19 14 39.9308340624 -30 14 57.102009612|007.5095613990710 -17.9081765707127|   4.700 -1.050   |9.99     |~              |    ~     ~    |    1|  944.287   pc  | -15.1585    +15.1585    |paral   |2020yCat.1350....0G
6569|CD-30 16679                                                                                              |Star                                  |19 08 11.3892089736 -29 57 24.329941200|007.2479160914884 -16.4994134357144|  21.132 -3.131   |10.38    |~              |    ~     ~    |    1|  583.601   pc  |  -7.1183     +7.1183    |paral   |2020yCat.1350....0G
6570|CD-29 15803                                                                                              |Star                                  |19 11 17.5224898800 -29 44 12.130232928|007.7251465905886 -17.0399131007203|   4.065 -5.860   |10.42    |~              |    ~     ~    |    1|  808.277   pc  | -14.8302    +14.8302    |paral   |2020yCat.1350....0G
6571|HD 179695                                                                                                |Star                                  |19 14 39.8479594992 -29 14 35.677580496|008.4911096565832 -17.5369847151427|  2.205 -35.225   |7.41     |A3/5V(+F)      |    ~     ~    |    1|  261.650   pc  |  -5.9698     +5.9698    |paral   |2020yCat.1350....0G
