C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:01:29

Vmag< 11&dec< 0&rah >=7.75&rah< 8.0
-----------------------------------

Number of objects : 10348

  #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
-----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
99   |TYC 4832-915-1                                                                                                                              |Star                                  |07 49 40.3090346616 -01 47 12.762790512|221.3005758410750 +12.0864480446256|  -3.108 -3.457   |10.56    |~              |    ~     ~    
100  |TYC 4832-938-1                                                                                                                              |Star                                  |07 46 51.9268904304 -00 34 25.614693372|219.8684779045995 +12.0387340388317|   0.694 -3.931   |10.6     |~              |    ~     ~    
101  |TYC 4832-960-1                                                                                                                              |Star                                  |07 46 02.9268447576 -00 58 28.993319112|220.1325577205691 +11.6704499895704| -4.943 -26.328   |9.98     |~              |    ~     ~    
102  |TYC 4832-970-1                                                                                                                              |Star                                  |07 48 00.3413925144 -00 29 44.864545704|219.9346229330689 +12.3270981973225|  -9.838 -4.947   |10.8     |~              |    ~     ~    
103  |TYC 4832-1372-1                                                                                                                             |Star                                  |07 49 15.9331093104 -00 32 34.547676432|220.1285270737490 +12.5831585870521|  -12.058 9.346   |10.05    |~              |    ~     ~    
104  |TYC 4832-1400-1                                                                                                                             |High Proper Motion Star               |07 46 44.5364723208 -00 08 10.389545988|219.4581694328227 +12.2161793382604| -59.031 -7.340   |10.8     |~              |    ~     ~    
105  |TYC 4832-1560-1                                                                                                                             |Star                                  |07 47 39.468 -00 11 01.09              |219.610552 +12.396371              |    -3.50 -4.80   |10.5     |~              |    ~     ~    
106  |TYC 4832-1571-1                                                                                                                             |Star                                  |07 47 28.9826856600 -00 14 30.696189180|219.6423243302319 +12.3305267550685|   -5.228 0.489   |10.11    |~              |    ~     ~    
107  |TYC 4832-1696-1                                                                                                                             |Star                                  |07 47 57.3621773880 -00 54 57.790396944|220.3083827148039 +12.1189257602258|  10.587 -9.244   |10.8     |~              |    ~     ~    
108  |TYC 4832-1775-1                                                                                                                             |Star                                  |07 48 51.8553236616 -00 53 53.610424584|220.4014712451702 +12.3276881997343|-21.443 -11.494   |10.7     |~              |    ~     ~    
109  |TYC 4832-1832-1                                                                                                                             |Star                                  |07 46 22.4385568440 -01 02 04.682702724|220.2255432736695 +11.7141066076291|  -2.947 -7.410   |10.34    |~              |    ~     ~    
110  |TYC 4832-1911-1                                                                                                                             |Star                                  |07 49 52.6054821816 -00 23 17.792994984|220.0620312073107 +12.7906585287307|   -5.000 4.787   |10.7     |~              |    ~     ~    
111  |TYC 4832-1914-1                                                                                                                             |High Proper Motion Star               |07 50 41.9622607680 -01 06 35.538614856|220.8139613338699 +12.6326568151538|-52.463 -14.402   |10.15    |~              |    ~     ~    
112  |TYC 4832-1923-1                                                                                                                             |Star                                  |07 45 00.8560105224 -01 04 42.350428056|220.1022308468507 +11.3934300126569|   -5.192 3.856   |10.03    |~              |    ~     ~    
113  |TYC 4832-2027-1                                                                                                                             |Eclipsing Binary                      |07 45 05.9082868896 -01 11 20.416487028|220.2119082210380 +11.3601356901481|  -3.387 -1.080   |10.82    |~              |    ~     ~    
114  |TYC 4832-2163-1                                                                                                                             |Star                                  |07 46 56.0191440432 -01 05 53.634616656|220.3500126358306 +11.8077350615717| -8.529 -13.672   |10.17    |~              |    ~     ~    
115  |TYC 4832-2225-1                                                                                                                             |Star                                  |07 46 58.4293708320 -00 32 59.013108276|219.8597203321711 +12.0739382745862|  -3.230 -2.429   |10.9     |~              |    ~     ~    
116  |TYC 4832-2264-1                                                                                                                             |Star                                  |07 52 29.0676965568 -01 12 45.403379352|221.1229439603635 +12.9774070167395|    4.157 1.444   |10.19    |~              |    ~     ~    
