C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:51:18

dec< 0&rah >=22.75&rah< 23.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2769

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
80  |HD 215437                                                                                                |High Proper Motion Star               |22 45 42.3646163784 -38 05 09.572906472|002.3314925839247 -61.5184096015805|  85.077 41.540     |9.03     |F2/3V          |    ~     ~    |    1|  125.298   pc  |  -1.2510     +1.2510    |ST-L    |2020AJ....160...83S
81  |HD 215724                                                                                                |High Proper Motion Star               |22 47 47.1486394536 -38 13 19.573006116|001.8489649659084 -61.8835930334768|-61.856 -77.224     |6.710    |F6V            |    ~     ~    |    1|   71.864   pc  |  -0.1188     +0.1188    |paral   |2020yCat.1350....0G
82  |HD 215570                                                                                                |Star                                  |22 46 45.8031834072 -39 19 24.626984700|359.7153123515224 -61.4080416530918| 16.530 -21.247     |10.21    |F3V            |    ~     ~    |    1|  257.712   pc  |  -3.6927     +3.6927    |paral   |2020yCat.1350....0G
83  |HD 215584                                                                                                |Star                                  |22 46 52.9373857536 -38 28 36.952493448|001.4181177693575 -61.6495506016807| -2.510 -25.535     |10.48    |F6/7V          |    ~     ~    |    1|  210.828   pc  |  -0.7201     +0.7201    |paral   |2020yCat.1350....0G
84  |HD 215967                                                                                                |Star                                  |22 49 33.9603232920 -39 05 27.215057400|359.8736176814791 -61.9938995665680|  -7.617 -1.923     |9.72     |G8III          |    ~     ~    |    1|  836.330   pc  | -11.1212    +11.1212    |paral   |2020yCat.1350....0G
85  |HD 216149                                                                                                |Star                                  |22 51 02.1589579824 -39 09 24.608634876|359.5671773334017 -62.2490390820593|  17.775 -7.583     |5.400    |K3III          |    ~     ~    |    1|  275.687   pc  |  -5.4342     +5.4342    |paral   |2020yCat.1350....0G
86  |HD 216270                                                                                                |Star                                  |22 52 09.0969708000 -38 57 07.615191708|359.8578437406171 -62.5148652753657|  26.143 -4.191     |7.59     |K1III          |    ~     ~    |    1|  361.102   pc  |  -2.9078     +2.9078    |paral   |2020yCat.1350....0G
87  |HD 216301                                                                                                |Star                                  |22 52 26.0259247296 -39 18 01.838823084|359.1015572358543 -62.4664097037242|  22.202 -5.980     |7.87     |K0III          |    ~     ~    |    1|  321.130   pc  |  -2.3822     +2.3822    |paral   |2020yCat.1350....0G
88  |HD 215603                                                                                                |Spectroscopic Binary                  |22 47 00.5098669872 -39 22 25.663247220|359.5871574718766 -61.4399272332075| 63.859 -45.520     |10.52    |G8/K0          |    ~     ~    |    1|  129.157   pc  |  -0.2886     +0.2886    |paral   |2020yCat.1350....0G
89  |HD 215643                                                                                                |High Proper Motion Star               |22 47 16.1312956656 -39 27 22.724825148|359.3921713761685 -61.4655222282231| 61.872 -20.711     |7.87     |K0III          |    ~     ~    |    1|  267.058   pc  |  -1.9399     +1.9399    |paral   |2020yCat.1350....0G
90  |CD-40 14912                                                                                              |Star                                  |22 49 01.5054417600 -39 32 43.351296504|359.0110998804605 -61.7653390493717| 27.274 -26.432     |9.97     |F2             |    ~     ~    |    1|  217.524   pc  |  -0.6956     +0.6956    |paral   |2020yCat.1350....0G
91  |V* XZ Gru                                                                                                |RR Lyrae Variable                     |22 47 34.6858824888 -39 03 33.009014556|000.1601212077548 -61.6312094316760| 27.378 -23.805     |10.70    |~              |    ~     ~    |    1| 1183.01    pc  | -25.8911    +25.8911    |paral   |2020yCat.1350....0G
92  |HD 215787                                                                                                |Star                                  |22 48 11.5617095568 -38 02 51.069735168|002.1683533155148 -62.0032368490071|  12.757 -1.527     |9.25     |K2III          |    ~     ~    |    1|  601.757   pc  |  -6.3370     +6.3370    |paral   |2020yCat.1350....0G
93  |HD 215354                                                                                                |Star                                  |22 45 10.3736373336 -39 51 44.921533248|358.8157186055365 -60.9648686983871|  19.685 12.692     |9.87     |A2/3II         |    ~     ~    |    1|  339.351   pc  |  -9.5928     +9.5928    |paral   |2020yCat.1350....0G
94  |HD 215891                                                                                                |High Proper Motion Star               |22 49 05.2572094992 -39 52 23.925489456|358.3417426290427 -61.6808512093436| 69.686 -22.220     |7.78     |K2III          |    ~     ~    |    1|  205.212   pc  |  -1.5792     +1.5792    |paral   |2020yCat.1350....0G
