C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:13:54

dec< 0&rah >=19.25&rah< 19.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6568

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-------------------------|--------|-------------------
95  |HD 182946                                                                                                |High Proper Motion Star               |19 28 59.3784853464 -40 50 33.883655280|357.7698311233493 -24.0812219758055| 34.050 -48.942   |9.82     |G8IV/V          |    ~     ~          |    1|   94.865   pc  |  -0.2484     +0.2484    |paral   |2020yCat.1350....0G
96  |HD 183004                                                                                                |Star                                  |19 29 14.8701425328 -41 01 07.130401896|357.5989885475090 -24.1761422486662|  5.707 -33.651   |9.17     |F2V             |    ~     ~          |    1|  189.093   pc  |  -0.7545     +0.7545    |paral   |2020yCat.1350....0G
97  |HD 183023                                                                                                |Double or Multiple Star               |19 29 23.8962860304 -40 56 45.312327816|357.6841701534726 -24.1836773652466| 30.958 -39.854   |7.74     |F5V             |    ~     ~          |    1|   89.641   pc  |  -6.1070     +6.1070    |paral   |2020yCat.1350....0G
98  |HD 181895                                                                                                |Star                                  |19 24 00.9438311664 -41 51 31.414984020|356.4211795537577 -23.4646187061602|  2.049 -10.672   |10.65    |A5/7IV/V        |    ~     ~          |    1|  545.971   pc  |  -6.0809     +6.0809    |paral   |2020yCat.1350....0G
99  |HD 182328                                                                                                |Star                                  |19 25 57.3810707160 -41 53 13.689744036|356.5002385902369 -23.8196822736781|   6.388 -9.851   |8.84     |A0V             |    ~     ~          |    1|  290.368   pc  |  -2.3692     +2.3692    |paral   |2020yCat.1350....0G
100 |HD 182393                                                                                                |Star                                  |19 26 17.9029554288 -41 53 20.049884592|356.5173942573002 -23.8813998973737|   27.533 5.219   |9.14     |K1III           |    ~     ~          |    1|  255.663   pc  |  -6.2880     +6.2880    |paral   |2020yCat.1350....0G
101 |HD 183005                                                                                                |Double or Multiple Star               |19 29 11.660 -41 49 23.82              |356.745874 -24.383007              |     -6.7 -11.0   |9.3      |G8/K0+A         |    ~     ~          |    0|                |                         |        |                   
102 |HD 181587                                                                                                |Star                                  |19 22 54.5542435152 -42 20 15.649390464|355.8575496196977 -23.4007032093780|  5.004 -22.373   |9.84     |F7/8V           |    ~     ~          |    1|  167.673   pc  |  -4.3717     +4.3717    |paral   |2020yCat.1350....0G
103 |HD 181789                                                                                                |Star                                  |19 23 43.2156138576 -42 17 15.537460812|355.9552395596364 -23.5309080164845|   1.604 -1.914   |9.26     |G8IV            |    ~     ~          |    1|  440.354   pc  |  -2.7729     +2.7729    |paral   |2020yCat.1350....0G
104 |HD 181845                                                                                                |Star                                  |19 23 55.7712580056 -42 14 36.641347728|356.0131741138397 -23.5559305024672|  -1.256 11.151   |10.48    |A3/5II/III      |    ~     ~          |    1|  680.041   pc  |  -7.4918     +7.4918    |paral   |2020yCat.1350....0G
105 |CD-42 14162                                                                                              |High Proper Motion Star               |19 24 24.7113784632 -42 12 53.507188476|356.0700720193374 -23.6338685404852| 80.254 -45.846   |10.38    |G0              |    ~     ~          |    1|  194.500   pc  |  -0.9533     +0.9533    |paral   |2020yCat.1350....0G
106 |HD 182049                                                                                                |Star                                  |19 24 38.5962049992 -42 21 39.583801116|355.9294445131280 -23.7151019849171|   5.629 -4.737   |10.11    |F6V             |    ~     ~          |    1|  299.034   pc  |  -1.8510     +1.8510    |paral   |2020yCat.1350....0G
107 |HD 182122                                                                                                |Star                                  |19 25 02.9160945648 -42 31 20.444937096|355.7820563804990 -23.8310018874512|   8.498 -5.877   |9.67     |F3V             |    ~     ~          |    1|  211.752   pc  |  -0.6860     +0.6860    |paral   |2020yCat.1350....0G
108 |HD 182583                                                                                                |Star                                  |19 27 09.6870442128 -41 57 32.023831356|356.4913663306243 -24.0549097892552|   -0.180 3.992   |9.60     |G8(III)         |    ~     ~          |    1|  621.620   pc  | -12.2492    +12.2492    |paral   |2020yCat.1350....0G
109 |HD 182584                                                                                                |Star                                  |19 27 13.3116979656 -42 35 50.294052852|355.8205745249648 -24.2366284083606| -31.907 -3.425   |10.19    |F5V             |    ~     ~          |    1|  203.273   pc  |  -0.9008     +0.9008    |paral   |2020yCat.1350....0G
110 |HD 182651                                                                                                |Star                                  |19 27 27.9657329520 -42 16 33.202176420|356.1734335155593 -24.1944868110133|   21.100 8.864   |8.73     |F0V             |    ~     ~          |    1|  242.260   pc  |  -3.8383     +3.8383    |paral   |2020yCat.1350....0G
111 |HD 182731                                                                                                |Star                                  |19 27 54.3324035832 -42 33 37.359013284|355.8961896051820 -24.3482230481331|  5.103 -17.998   |7.79     |K2III           |    ~     ~          |    1|  217.836   pc  |  -1.1578     +1.1578    |paral   |2020yCat.1350....0G
112 |HD 182819                                                                                                |Star                                  |19 28 17.2518111528 -42 28 46.051087836|356.0022612391694 -24.3947707283061| -3.909 -12.615   |9.76     |K0/1(III)       |    ~     ~          |    1|  939.232   pc  | -14.2027    +14.2027    |paral   |2020yCat.1350....0G
113 |HD 182818                                                                                                |Star                                  |19 28 17.8297106568 -41 53 56.179845600|356.6169236701174 -24.2422298712676|  -2.736 -8.173   |9.63     |K2(III)         |    ~     ~          |    1|  843.170   pc  | -48.7702    +48.7702    |paral   |2020yCat.1350....0G
114 |HD 182929                                                                                                |Star                                  |19 28 48.8661899280 -42 06 58.146527808|356.4152702806828 -24.3927171058062|   -5.148 0.354   |7.99     |M2III           |    ~     ~          |    1|  729.980   pc  | -22.9135    +22.9135    |paral   |2020yCat.1350....0G
115 |HD 183006                                                                                                |Star                                  |19 29 14.7744397248 -42 26 36.306848652|356.0914789193356 -24.5559224593092| 16.196 -23.793   |9.90     |G5IV            |    ~     ~          |    1|   99.051   pc  |  -0.1432     +0.1432    |paral   |2020yCat.1350....0G
116 |HD 183115                                                                                                |Star                                  |19 29 41.8007152128 -42 01 09.120535644|356.5655292038868 -24.5250090308444|  1.870 -14.202   |9.23     |K4(III)         |    ~     ~          |    1|  548.336   pc  |  -6.6749     +6.6749    |paral   |2020yCat.1350....0G
117 |HD 181817                                                                                                |Star                                  |19 23 51.0268901544 -42 56 09.739661388|355.2816999920283 -23.7314605462164|   4.645 -9.256   |8.61     |M2III           |    ~     ~          |    1|  806.972   pc  | -23.3131    +23.3131    |paral   |2020yCat.1350....0G
118 |HD 181924                                                                                                |Star                                  |19 24 11.6472357696 -42 53 00.144462624|355.3557234618461 -23.7777565234249|  12.807 18.827   |9.73     |G6V             |    ~     ~          |    1|  110.353   pc  |  -0.8512     +0.8512    |paral   |2020yCat.1350....0G
119 |HD 182607                                                                                                |Star                                  |19 27 20.9705312520 -42 48 13.650287256|355.6089275314436 -24.3138550993391|  -3.046 10.932   |10.23    |F5IV/V          |    ~     ~          |    1|  490.436   pc  |  -4.9068     +4.9068    |paral   |2020yCat.1350....0G
120 |CD-41 13512                                                                                              |Star                                  |19 26 32.2370921592 -41 30 11.093164128|356.9364646260952 -23.8186317818749|  12.260 -9.506   |10.80    |~               |    ~     ~          |    1|  571.821   pc  |  -6.2126     +6.2126    |paral   |2020yCat.1350....0G
