C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:09:51

Vmag< 11&dec >=0&rah >=5.0&rah< 5.25
------------------------------------

Number of objects : 5549

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------
135 |TYC 3352-1214-1                                                                                          |Star                           |05 00 22.7128281192 +48 54 26.717770764|158.5994562066019 +04.0798853583506|      -2.0 -3.2    |10.80    |~                 |    ~     ~    
136 |TYC 3353-114-1                                                                                           |High Proper Motion Star        |05 06 20.2112374224 +49 14 06.693101808|158.9313011024109 +05.0546951283915| 96.172 -68.785    |10.12    |~                 |    ~     ~    
137 |TYC 3353-1400-1                                                                                          |Star                           |05 04 08.3218740456 +48 54 51.326315712|158.9713601052135 +04.5740750121068|  -9.754 -9.323    |10.80    |~                 |    ~     ~    
138 |TYC 3353-1911-1                                                                                          |Star                           |05 05 19.8413070360 +49 26 35.589328224|158.6655110944853 +05.0482710940207|  -0.518 -2.157    |10.81    |~                 |    ~     ~    
139 |TYC 3353-2071-1                                                                                          |Star                           |05 05 22.0895373456 +49 22 43.670625744|158.7208855109701 +05.0144394232560|  3.754 -10.151    |9.94     |~                 |    ~     ~    
140 |BD+45 1019                                                                                               |High Proper Motion Star        |05 01 09.1305546624 +45 50 30.956842824|161.1039444418084 +02.3017286469029| 90.272 -56.348    |9.35     |G5                |    ~     ~    
141 |HD 31844                                                                                                 |Star                           |05 01 18.3625505976 +45 26 46.588123032|161.4331101986995 +02.0801957345076|  -4.858 -1.397    |8.00     |B9                |    ~     ~    
142 |HD 31855                                                                                                 |Spectroscopic Binary           |05 01 21.5154139176 +45 53 20.307869124|161.0888230283841 +02.3589642396434|  2.494 -72.753    |7.41     |F2                |    ~     ~    
143 |LS V +45 20                                                                                              |Star                           |05 03 12.7704652968 +45 32 45.524399640|161.5585083106485 +02.4056087935688|   0.016 -1.029    |10.54    |B                 |    ~     ~    
144 |BD+45 1028                                                                                               |Star                           |05 03 36.7871983056 +45 57 57.212961372|161.2673862279114 +02.7164455293204|   2.748 -6.318    |9.39     |A0                |    ~     ~    
145 |BD+45 1031                                                                                               |Star                           |05 04 01.1206570728 +45 48 02.709341208|161.4416448935908 +02.6722455455825|  -6.617 -2.254    |9.72     |G0                |    ~     ~    
146 |HD 31991                                                                                                 |Star                           |05 02 12.8309146848 +45 01 33.725061156|161.8634553073658 +01.9491453035865|  6.908 -14.941    |8.29     |F2V               |    ~     ~    
147 |BD+44 1082                                                                                               |Star                           |05 02 50.6251394688 +44 50 41.826758856|162.0750470349632 +01.9268214141151|   10.038 7.592    |9.64     |A8V               |    ~     ~    
148 |BD+44 1084                                                                                               |Spectroscopic Binary           |05 03 34.6316130144 +44 42 49.687030800|162.2584447391110 +01.9501451236733|  5.386 -35.221    |10.70    |K0                |    ~     ~    
149 |HD 32358                                                                                                 |Be Star                        |05 04 44.15411 +44 57 30.9908          |162.18849450 +02.26197815          |    -3.06 -6.82    |9.311    |B6V               |    ~     ~    
150 |HD 32446                                                                                                 |Star                           |05 05 25.3658360328 +45 03 29.439146412|162.1825820553441 +02.4188789447532|  -0.192 -1.395    |8.28     |B5III             |    ~     ~    
151 |BD+44 1092                                                                                               |Double or Multiple Star        |05 06 54.4743 +44 15 01.698            |162.9871080 +02.1433670            |    -3.10 -8.20    |9.58     |K0                |    ~     ~    
152 |HD 32050                                                                                                 |Eclipsing Binary               |05 02 46.6458895872 +46 39 36.890090712|160.6277661998428 +03.0244469617450|  8.195 -16.653    |7.74     |B9V               |    ~     ~    
153 |BD+46 956                                                                                                |Star                           |05 04 10.9909743768 +46 51 53.240474052|160.6115392312058 +03.3399335819099|  4.860 -10.208    |9.33     |K0                |    ~     ~    
154 |BD+46 957                                                                                                |Star                           |05 04 06.9072576312 +46 12 50.523819552|161.1228433255730 +02.9362366330915|   0.302 -1.463    |8.40     |K0                |    ~     ~    
155 |HD 32416                                                                                                 |Double or Multiple Star        |05 05 27.2868119 +46 54 58.963901      |160.7018529197 +03.5442177563      |    -5.13 -3.74    |6.61     |F8                |0.0050  0.0    
156 |HD 32697                                                                                                 |Star                           |05 07 22.2138675696 +46 28 41.353051584|161.2505375067046 +03.5437434414705|  4.486 -11.060    |8.93     |A0                |    ~     ~    
157 |BD+46 965                                                                                                |Emission-line Star             |05 08 46.2776311176 +46 40 30.943193880|161.2358966073672 +03.8545592484424|   2.189 -3.470    |9.15     |B8                |    ~     ~    
