C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:43:24

dec< 0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 3385

 #  |                                                                 identifier                                                                 |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |         pm         |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|--------------------|---------|----------------|---------------|-----|----------------|-------------------------|--------|-------------------
96  |HD 27015                                                                                                                                    |Star                                  |04 15 52.7567605176 -09 57 35.915645592|203.4507757872625 -38.9911658635583|   1.176 -5.538     |8.39     |A0V             |    ~     ~    |    1|  218.341   pc  |  -1.4349     +1.4349    |paral   |2020yCat.1350....0G
97  |V* IU Eri                                                                                                                                   |delta Sct Variable                    |04 16 35.9778657672 -10 05 08.756567160|203.6981698423107 -38.8899446097195|  12.826 30.215     |7.48     |A2III           |    ~     ~    |    1|  226.752   pc  |  -1.1980     +1.1980    |paral   |2020yCat.1350....0G
98  |BD-10 885                                                                                                                                   |Long-Period Variable Candidate        |04 17 45.8995889568 -10 06 14.449315716|203.8849811861279 -38.6421780527180|   11.015 3.310     |9.87     |M6              |    ~     ~    |    1|  594.849   pc  | -14.9676    +14.9676    |paral   |2020yCat.1350....0G
99  |BD-10 877                                                                                                                                   |Star                                  |04 15 45.7045086384 -10 06 30.795682932|203.6044750780082 -39.0842264422675|-33.321 -13.489     |9.88     |~               |    ~     ~    |    1|  138.637   pc  |  -0.3786     +0.3786    |paral   |2020yCat.1350....0G
100 |BD-08 814                                                                                                                                   |High Proper Motion Star               |04 15 27.8091004776 -08 12 34.911750672|201.4042536208886 -38.2711930449030|  2.778 -56.189     |9.56     |G0              |    ~     ~    |    1|  119.992   pc  |  -0.9166     +0.9166    |ST-L    |2020AJ....160...83S
101 |HD 26993                                                                                                                                    |Star                                  |04 15 43.0568870544 -08 38 13.532639352|201.9227897889228 -38.4168695873646| 16.021 -30.440     |7.82     |K0III           |    ~     ~    |    1|  264.271   pc  |  -1.2850     +1.2850    |paral   |2020yCat.1350....0G
102 |BD-08 819                                                                                                                                   |Star                                  |04 16 12.7175569176 -08 08 43.798440372|201.4437475142814 -38.0776409928267| -15.666 -9.072     |8.84     |G5              |    ~     ~    |    1|  214.929   pc  |  -0.8315     +0.8315    |paral   |2020yCat.1350....0G
103 |HD 27047                                                                                                                                    |Star                                  |04 16 14.3225459928 -08 12 01.392903144|201.5091757780728 -38.0977545292734|   -4.759 6.373     |8.67     |G8/K1(III)+F/G  |    ~     ~    |    1|  525.458   pc  |  -5.3289     +5.3289    |paral   |2020yCat.1350....0G
104 |BD-08 822                                                                                                                                   |Star                                  |04 16 30.3716463480 -08 05 05.491673592|201.4196768673841 -37.9847922646096|   2.412 -8.354     |10.47    |~               |    ~     ~    |    1|  293.394   pc  |  -5.5020     +5.5020    |ST-L    |2020AJ....160...83S
105 |BD-08 825                                                                                                                                   |Spectroscopic Binary                  |04 17 47.7726441504 -08 08 09.107014020|201.6677141867471 -37.7275228480574|  -10.887 1.949     |9.49     |~               |    ~     ~    |    1|  566.476   pc  |  -7.3485     +7.3485    |paral   |2020yCat.1350....0G
106 |BD-08 826                                                                                                                                   |Spectroscopic Binary                  |04 18 07.1064749304 -08 02 22.692468012|201.6081232400561 -37.6117832474402|  30.224 24.408     |10.71    |~               |    ~     ~    |    1|  379.593   pc  | -10.1728    +10.1728    |paral   |2020yCat.1350....0G
107 |HD 26938                                                                                                                                    |High Proper Motion Star               |04 15 14.1554393688 -09 29 31.210188288|202.8222746490439 -38.9186652182889| 14.160 -52.587     |8.41     |K2/3III         |    ~     ~    |    1|  286.985   pc  |  -1.9355     +1.9355    |paral   |2020yCat.1350....0G
108 |BD-09 857                                                                                                                                   |Star                                  |04 15 35.6417317224 -08 55 08.041895472|202.2230309093134 -38.5753970670803|  37.813 -2.512     |10.787   |~               |    ~     ~    |    1|  181.671   pc  |  -1.8120     +1.8120    |ST-L    |2020AJ....160...83S
109 |BD-09 858                                                                                                                                   |Star                                  |04 16 37.5 -09 03 15                   |202.5271 -38.4127                  |            ~ ~     |9.6      |~               |    ~     ~    |    0|                |                         |        |                   
110 |HD 27132                                                                                                                                    |Star                                  |04 16 40.3824313032 -09 27 14.605263828|202.9875543694406 -38.5863834286051|  7.575 -10.050     |8.47     |K2III           |    ~     ~    |    1|  793.021   pc  | -15.9107    +15.9107    |paral   |2020yCat.1350....0G
111 |BD-09 860                                                                                                                                   |Star                                  |04 17 13.0437281568 -09 05 56.439295440|202.6640217689047 -38.3037363517176| -16.913 -3.288     |10.293   |~               |    ~     ~    |    1|  222.711   pc  |  -2.7740     +2.7740    |ST-L    |2020AJ....160...83S
