C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
77  |BD+49 1242                                                            |Star                           |04 47 50.6989827216 +49 18 53.604979092|156.9894693747855 +02.7421325652048|   0.683 -1.244  |9.46     |B8                |    ~     ~    
78  |HD 30297                                                              |Star                           |04 48 45.3107373120 +49 33 02.483869608|156.9040542885279 +03.0071292485387|  5.810 -17.826  |8.57     |G6IIIbCH-4Ca1     |    ~     ~    
79  |BD+49 1249                                                            |Star                           |04 49 08.7053881680 +49 26 14.701730028|157.0317315623198 +02.9829951403376| -10.906 -4.009  |9.63     |K0                |    ~     ~    
80  |HD 30389                                                              |Star                           |04 49 40.9116612816 +49 35 17.869905348|156.9715990983070 +03.1465510640225|   -8.437 6.536  |7.86     |A3                |    ~     ~    
81  |BD+48 1141                                                            |Star                           |04 45 22.5356280360 +49 14 42.629428068|156.7815674685010 +02.3901130819482|   1.872 -1.723  |9.48     |B8                |    ~     ~    
82  |BD+48 1145                                                            |Star                           |04 46 30.9646505976 +49 09 06.787406952|156.9736579799005 +02.4712404753231|   -2.287 1.455  |9.85     |F0                |    ~     ~    
83  |BD+49 1243                                                            |Variable Star                  |04 48 12.4293722952 +49 30 02.310789600|156.8851921668218 +02.9068358469851|   2.146 -7.125  |9.61     |M2                |    ~     ~    
84  |TYC 3351-133-1                                                        |Star                           |04 49 47.9227874400 +50 02 57.948211104|156.6286066580299 +03.4559785518408|  3.441 -21.036  |10.27    |~                 |    ~     ~    
85  |TYC 3351-192-1                                                        |Star                           |04 45 08.8072545984 +49 13 17.425741260|156.7752153088812 +02.3463522454767|  -2.186 -7.305  |10.86    |~                 |    ~     ~    
86  |TYC 3351-295-1                                                        |Star                           |04 47 50.1409639752 +50 31 04.613254608|156.0670014796148 +03.5160524486535| -1.233 -15.522  |10.90    |~                 |    ~     ~    
87  |TYC 3351-300-1                                                        |Star                           |04 46 00.1405593744 +49 13 15.937137048|156.8664386058933 +02.4522243401191|  -0.000 -3.770  |10.90    |~                 |    ~     ~    
88  |TYC 3351-324-1                                                        |High Proper Motion Star        |04 51 17.5337216160 +49 40 11.566100532|157.0752723087263 +03.3994235183517| 36.056 -34.703  |10.63    |~                 |    ~     ~    
