C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:07:53

Vmag< 11&dec >=0&rah >=4.75&rah< 5.0
------------------------------------

Number of objects : 4641

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
141 |LS V +47 20                                                           |Star                           |04 52 31.8693435024 +48 02 31.927113528|158.4642114253207 +02.5237032799346|   0.376 -0.176  |10.49    |B                 |    ~     ~    
142 |BD+47 1061                                                            |High Proper Motion Star        |04 52 34.7470782432 +47 51 14.503330296|158.6150166053962 +02.4106827925976| 22.982 -62.361  |10.33    |A2                |    ~     ~    
143 |HD 30882                                                              |High Proper Motion Star        |04 53 50.3705995416 +47 57 22.607731908|158.6693418146699 +02.6389970775672| 52.644 -40.455  |8.35     |K0                |    ~     ~    
144 |BD+47 1066                                                            |Star                           |04 54 30.0525673416 +48 04 34.575915864|158.6457363299072 +02.8004724237117|  -1.740 -9.455  |9.58     |K0                |    ~     ~    
145 |BD+47 1067                                                            |Star                           |04 55 00.8759315376 +47 50 38.122259604|158.8808114177637 +02.7214144695266|    3.775 1.644  |9.26     |K0                |    ~     ~    
146 |BD+47 1071                                                            |Star                           |04 55 42.8562451488 +47 37 12.114869628|159.1292764958513 +02.6727283776243|  -1.622 -5.009  |9.57     |K0                |    ~     ~    
147 |BD+47 1073                                                            |Pulsating Variable             |04 56 05.9967616992 +47 28 11.778876732|159.2872545635649 +02.6295980860188|   -4.434 0.244  |10.30    |F0                |    ~     ~    
148 |HD 30377                                                              |Star                           |04 49 25.1978100528 +47 11 41.069690988|158.7829670358750 +01.5794751157964|   -1.896 0.672  |8.17     |B9                |    ~     ~    
149 |HD 30417                                                              |Star                           |04 49 47.7916286880 +46 31 24.924151020|159.3394480536235 +01.1985551192113| -6.353 -16.529  |8.27     |K2                |    ~     ~    
150 |TYC 3347-107-1                                                        |Star                           |04 50 10.7510787840 +46 53 11.583315996|159.1025856152384 +01.4813468562639|  -0.423 -4.621  |9.53     |A2                |    ~     ~    
151 |BD+46 924                                                             |Star                           |04 50 06.4368249384 +46 54 02.290676184|159.0838948083009 +01.4809195988359|  8.299 -20.862  |9.61     |A2                |    ~     ~    
152 |HD 30597                                                              |Star                           |04 51 17.0544005400 +46 38 31.408076796|159.4116855671914 +01.4708872003343| -11.763 -6.213  |8.62     |K5                |    ~     ~    
153 |HD 30624                                                              |Star                           |04 51 34.7386195632 +46 56 16.629307620|159.2155910738285 +01.6982091640944|   0.772 -1.700  |9.10     |A0                |    ~     ~    
154 |BD+46 936                                                             |Star                           |04 55 07.9829928504 +46 43 43.669070364|159.7621898637397 +02.0369955566390|  -2.151 -3.716  |9.90     |A0                |    ~     ~    
155 |LS V +46 23                                                           |Star                           |04 55 24.1469216880 +46 47 46.761588240|159.7385512373995 +02.1152912074186|   0.332 -0.464  |10.62    |B                 |    ~     ~    
156 |HD 31205                                                              |Star                           |04 56 14.7357732888 +47 26 26.939727600|159.3254161793054 +02.6306151646985|  -0.202 -2.873  |8.77     |~                 |    ~     ~    
157 |HD 31265                                                              |Star                           |04 56 42.7131689808 +47 20 24.459389160|159.4534770785067 +02.6294037338157|  -0.763 -2.745  |8.81     |B9                |    ~     ~    
158 |IRAS 04415+4815                                                       |Star                           |04 45 17.7711977640 +48 20 42.975896244|157.4566630620831 +01.7944157508676|   1.113 -1.974  |10.38    |~                 |    ~     ~    
159 |IRAS 04418+4804                                                       |Star                           |04 45 33.1045474104 +48 10 27.343077636|157.6142469260733 +01.7153973869852|   1.417 -1.812  |9.91     |~                 |    ~     ~    
160 |TYC 3347-1499-1                                                       |Star                           |04 48 15.3478122480 +47 16 28.842100680|158.5946213831064 +01.4795090103360| 14.309 -27.047  |9.25     |~                 |    ~     ~    
161 |TYC 3343-406-1                                                        |Star                           |04 51 09.9525787560 +46 45 05.418176652|159.3143775670411 +01.5250002289271| -1.750 -12.488  |10.41    |~                 |    ~     ~    
162 |TYC 3343-480-1                                                        |Star                           |04 50 03.3201412944 +46 40 19.123355604|159.2539404921006 +01.3277360199164|  -3.403 -8.824  |9.77     |~                 |    ~     ~    
163 |TYC 3343-614-1                                                        |Spectroscopic Binary           |04 51 05.5508942136 +46 31 52.206477816|159.4761484452681 +01.3748212835501| 51.793 -47.031  |9.71     |~                 |    ~     ~    
164 |TYC 3343-684-1                                                        |Star                           |04 52 20.1722437872 +46 36 16.951880880|159.5554218122947 +01.5865290542173|  -2.746 -3.179  |10.44    |~                 |    ~     ~    
165 |TYC 3343-714-1                                                        |Star                           |04 47 21.9873824952 +46 40 19.069990140|158.9571321992547 +00.9746069531734|  0.685 -17.146  |9.81     |~                 |    ~     ~    
166 |TYC 3343-844-1                                                        |Star                           |04 46 46.9882685856 +46 47 15.313249824|158.8042756996051 +00.9732548642715|  -2.493 -2.534  |10.30    |~                 |    ~     ~    
167 |TYC 3343-1120-1                                                       |Star                           |04 48 53.9512870584 +46 43 17.756082876|159.0886618561179 +01.2074987487328|   1.599 -5.761  |10.57    |~                 |    ~     ~    
168 |IRAS 04427+4630                                                       |Star                           |04 46 21.2710789368 +46 35 35.619880812|158.9045710110167 +00.7912623536203|   1.760 -1.667  |9.91     |~                 |    ~     ~    
169 |TYC 3343-1317-1                                                       |Star                           |04 48 40.1422367976 +46 49 16.870797516|158.9869084795068 +01.2414819386199|   3.798 -5.627  |10.2     |~                 |    ~     ~    
170 |TYC 3343-1375-1                                                       |Star                           |04 48 38.1505655184 +46 50 26.310732000|158.9684857719852 +01.2495478596165|   2.308 -7.195  |10.21    |~                 |    ~     ~    
171 |TYC 3343-1387-1                                                       |Star                           |04 46 25.0501581504 +46 23 10.609893204|159.0690689951495 +00.6652089003657|  -0.076 -0.126  |10.56    |~                 |    ~     ~    
172 |TYC 3343-1587-1                                                       |Star                           |04 49 45.3711492096 +46 38 35.918582496|159.2430760550444 +01.2699542490042| 14.440 -25.784  |10.87    |~                 |    ~     ~    
173 |TYC 3344-1490-1                                                       |Star                           |04 52 51.8113507920 +46 34 24.521997792|159.6370462768416 +01.6367866338253|   1.699 -2.739  |10.72    |~                 |    ~     ~    
174 |TYC 3344-1556-1                                                       |Star                           |04 53 47.4648937128 +46 36 47.720641068|159.7070129259929 +01.7853903338288|  7.801 -10.950  |9.95     |~                 |    ~     ~    
175 |TYC 3344-1570-1                                                       |Star                           |04 55 43.9517184720 +46 42 19.709048448|159.8448494552819 +02.1024015611427| 14.827 -15.308  |10.25    |~                 |    ~     ~    
176 |TYC 3344-1831-1                                                       |Star                           |04 57 56.1131658264 +46 51 23.957819388|159.9619783571767 +02.4914482682820|  4.848 -11.642  |10.92    |~                 |    ~     ~    
177 |TYC 3344-1912-1                                                       |Star                           |04 53 05.0723737632 +46 45 18.569531088|159.5203700069354 +01.7811618933635|   8.900 -8.699  |10.40    |~                 |    ~     ~    
178 |TYC 3344-2825-1                                                       |Star                           |04 52 31.9382566272 +46 34 00.125821020|159.6061962543639 +01.5884601183726|-15.661 -20.703  |9.55     |~                 |    ~     ~    
179 |TYC 3347-42-1                                                         |Star                           |04 52 29.4909204552 +47 44 08.455014780|158.6973080018296 +02.3242993632632|  -5.344 -3.558  |10.16    |~                 |    ~     ~    
180 |TYC 3347-170-1                                                        |Star                           |04 51 43.6784217000 +47 01 42.289134600|159.1619404616596 +01.7753662946726|   1.197 -3.998  |9.15     |~                 |    ~     ~    
181 |TYC 3347-286-1                                                        |Star                           |04 52 13.5192873984 +48 38 43.664817156|157.9648665723536 +02.8667957882392|  9.352 -38.165  |10.05    |~                 |    ~     ~    
